Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10729723599032974858;FL 210;Isaacson,Nathaniel Kenneth;71.67;25.00;1.67;1.67;0.00;96.38;86.67
16682266063800713277;FL 216;Marchi PhD,Dudley Michael;84.31;13.73;1.96;0.00;0.00;98.08;88.24
11569275909556403846;FL 216;Beckman,Diane Susan;91.43;8.57;0.00;0.00;0.00;99.06;89.14
14706261429066206760;FL 218;Marchi PhD,Dudley Michael;64.29;35.71;0.00;0.00;0.00;96.07;86.43
6319062527902708206;FL 219;Fosque,Meredith G;22.64;54.72;18.87;1.89;1.89;88.66;79.43
2065771348831512806;FL 219;Phukan,Nilakshi;84.29;15.71;0.00;0.00;0.00;98.27;88.43
13234784674724458774;FL 219;Mody,Sujata S.;95.24;0.00;4.76;0.00;0.00;99.00;89.05
15328690011936814579;FL 219;Isaacson,Nathaniel Kenneth;80.00;15.00;5.00;0.00;0.00;97.30;87.50
2059843700159459687;FL 219;Mykyta,Larysa Anna;37.04;35.19;24.07;0.00;3.70;89.56;80.19
15965075522881376090;FL 220;Fosque,Meredith G;52.17;39.13;8.70;0.00;0.00;93.87;84.35
1071616158630734744;FL 222;Beckman,Diane Susan;63.64;13.64;15.91;2.27;4.55;92.59;82.95
16726721840686016728;FL 224;Mody,Sujata S.;81.13;13.21;1.89;0.00;3.77;96.60;86.79
14501938837307632768;FL 224;Mertz,John P;44.44;37.04;11.11;0.00;7.41;90.56;81.11
11503650346925639044;FL 246;Kellner PhD,Hans Dodds;45.45;54.55;0.00;0.00;0.00;94.00;84.55
3254431617881178513;FL 246;Mordzak,Lucjan;81.97;16.39;1.64;0.00;0.00;97.85;88.03
12397506076815769653;FL 250;Brown,James Hamilton;92.31;7.69;0.00;0.00;0.00;99.15;89.23
10118353128857017104;FL 250;Kube,Lutz;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1847688149217617843;FL 275;Lalo,Alexei;55.56;38.89;5.56;0.00;0.00;94.56;85.00
15926341449972367947;FL 275;Fosque,Meredith G;32.73;38.18;21.82;0.00;7.27;88.24;78.91
16456034352429675404;FL 295;Davisonova,Lenka;87.80;12.20;0.00;0.00;0.00;98.66;88.78
16313245460228490393;FL 295;Gross,Ruth Vera;75.00;25.00;0.00;0.00;0.00;97.25;87.50
16446692903906731702;FL 295;Messiha,Inas Tawfik;79.41;20.59;0.00;0.00;0.00;97.74;87.94
12748841561845281640;FL 295;Polonskaya,Ellina;75.00;16.67;8.33;0.00;0.00;96.42;86.67
16374823284784850203;FL 295;Farag,Bethany J;56.45;30.65;8.06;0.00;4.84;92.95;83.39
8347563054637735663;FL 295;Elsergany,Abla;92.31;7.69;0.00;0.00;0.00;99.15;89.23
17529567962878677555;FL 295;Khater,Jodi Stewart;63.83;23.40;8.51;2.13;2.13;94.11;84.47
11414799821036460491;FL 295;Rice,Arthur R;92.31;7.69;0.00;0.00;0.00;99.15;89.23
4184422633184389336;FL 295;Bilenkin,Vladimir;52.94;47.06;0.00;0.00;0.00;94.82;85.29
12424418468971506766;FL 295;Liu,Xuhua;76.36;20.00;3.64;0.00;0.00;97.04;87.27
9417396719878455627;FL 295;Young,Hannah Sun;86.36;13.64;0.00;0.00;0.00;98.50;88.64
3190542496539556201;FL 295;Marchi PhD,Dudley Michael;67.65;32.35;0.00;0.00;0.00;96.44;86.76
3404373918840322013;FL 295;Wang,Lijuan;87.50;10.00;0.00;2.50;0.00;98.13;88.25
10561153282700877838;FL 295;Tai,Eiko;23.08;53.85;0.00;7.69;15.38;85.38;76.15
9473796892840175687;FL 295;Marchant Montenegro,Hernan Pedro;86.67;13.33;0.00;0.00;0.00;98.53;88.67
2887347730735380147;FL 295;Jain,Pankaj;76.92;15.38;0.00;0.00;7.69;95.15;85.38
1233020114860074993;FL 295;Schmid,David Neil;75.00;25.00;0.00;0.00;0.00;97.25;87.50
16859844691694180959;FL 295U;Wang,Lijuan;52.17;34.78;4.35;8.70;0.00;92.57;83.04
8480150204985858715;FL 298;Isaacson,Nathaniel Kenneth;86.96;4.35;8.70;0.00;0.00;97.70;87.83
