Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9207272671127837457;FLA 101;Di Cassio,Tara Lauren;64.71;26.47;2.94;2.94;2.94;94.35;84.71
7779975639892590270;FLA 101;Farag,Bethany J;65.00;25.00;7.50;2.50;0.00;94.90;85.25
11680036922079705781;FLA 101;Messiha,Inas Tawfik;68.89;26.67;2.22;2.22;0.00;95.91;86.22
3844519419558758973;FLA 101;Khater,Jodi Stewart;72.60;21.92;2.74;1.37;1.37;96.03;86.30
6178069198522169889;FLA 102;Di Cassio,Tara Lauren;65.00;20.00;12.50;0.00;2.50;94.15;84.50
5413145436700256420;FLA 102;Messiha,Inas Tawfik;76.67;10.00;6.67;3.33;3.33;95.10;85.33
8068669602571101199;FLA 102;Farag,Bethany J;85.37;12.20;0.00;0.00;2.44;97.66;87.80
10944660552491677783;FLA 102;Khater,Jodi Stewart;71.43;21.43;4.76;0.00;2.38;95.67;85.95
11721036634674755666;FLA 103;Messiha,Inas Tawfik;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4228063852185921463;FLA 103;Khater,Jodi Stewart;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8217105588631695637;FLA 103;Farag,Bethany J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7683691984839500144;FLA 104;Di Cassio,Tara Lauren;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5946813491912272039;FLA 104;Khater,Jodi Stewart;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13350159012475215820;FLA 104;Farag,Bethany J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7192357553120143386;FLA 201;Messiha,Inas Tawfik;64.52;25.81;3.23;0.00;6.45;93.84;84.19
14976751375959328651;FLA 201;Khater,Jodi Stewart;74.24;16.67;7.58;0.00;1.52;95.95;86.21
16088413872682831367;FLA 202;Messiha,Inas Tawfik;67.65;23.53;2.94;2.94;2.94;94.68;85.00
8554543038090340645;FLA 202;Saylor,Elizabeth C;60.87;30.43;0.00;0.00;8.70;93.09;83.48
14852382636073007414;FLA 202;Di Cassio,Tara Lauren;77.78;22.22;0.00;0.00;0.00;97.56;87.78
9285156608494264799;FLA 202;Khater,Jodi Stewart;67.50;22.50;7.50;2.50;0.00;95.18;85.50
16951235556731243215;FLA 203;Khater,Jodi Stewart;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4086218497278115530;FLA 204;Khater,Jodi Stewart;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6009301691401150660;FLA 301;Khater,Jodi Stewart;71.88;25.00;3.13;0.00;0.00;96.59;86.88
10520989347536461939;FLA 318;Messiha,Inas Tawfik;72.00;22.67;2.67;1.33;1.33;95.99;86.27
6211260065882293262;FLA 330;Khater,Jodi Stewart;77.50;20.00;2.50;0.00;0.00;97.28;87.50
6920300895146306769;FLA 351;Saylor,Elizabeth C;81.82;15.15;3.03;0.00;0.00;97.70;87.88
9877954936562196013;FLA 440;Saylor,Elizabeth C;81.82;18.18;0.00;0.00;0.00;98.00;88.18
7364130526385288715;FLA 440;Khater,Jodi Stewart;90.00;10.00;0.00;0.00;0.00;98.90;89.00
