Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4207609779937576539;FLC 101;Young,Hannah Sun;89.66;6.90;3.45;0.00;0.00;98.52;88.62
15778957381295183899;FLC 101;Emerson,Audrey Chen;93.48;4.35;0.00;0.00;2.17;98.63;88.70
14335349332085849242;FLC 101;Isaacson,Nathaniel Kenneth;77.14;22.86;0.00;0.00;0.00;97.49;87.71
2234717569263435375;FLC 101;Zhai,Runlei;71.88;18.75;6.25;0.00;3.13;95.34;85.63
3982264444170483262;FLC 101;Park,Young Mae;64.29;21.43;7.14;3.57;3.57;93.57;83.93
17607564474902304471;FLC 102;Isaacson,Nathaniel Kenneth;85.71;11.43;0.00;0.00;2.86;97.57;87.71
14901454101006537016;FLC 102;Young,Hannah Sun;50.00;34.00;12.00;2.00;2.00;92.30;82.80
3960027124125399688;FLC 102;Emerson,Audrey Chen;68.42;21.05;0.00;7.89;2.63;94.16;84.47
9147845657703845200;FLC 102;Park,Young Mae;40.74;51.85;7.41;0.00;0.00;92.74;83.33
4447135226377403952;FLC 103;Emerson,Audrey Chen;88.46;7.69;0.00;3.85;0.00;97.96;88.08
2535553721942454957;FLC 103;Young,Hannah Sun;81.25;15.63;3.13;0.00;0.00;97.63;87.81
8575429870985729986;FLC 103;Chen,Zhizi;80.00;20.00;0.00;0.00;0.00;97.80;88.00
8841621087482911783;FLC 103;Burnette,Carly Renee;81.25;18.75;0.00;0.00;0.00;97.94;88.13
42327402079653229;FLC 103;Isaacson,Nathaniel Kenneth;48.72;48.72;0.00;0.00;2.56;93.59;84.10
4881464227325822672;FLC 103;Park,Young Mae;84.62;7.69;7.69;0.00;0.00;97.54;87.69
1410407472844245143;FLC 103;Liu,Xuhua;78.43;19.61;1.96;0.00;0.00;97.43;87.65
270993840270707427;FLC 104;Young,Hannah Sun;95.00;5.00;0.00;0.00;0.00;99.45;89.50
8692529585183242536;FLC 104;Chen,Ying-Ju;60.00;40.00;0.00;0.00;0.00;95.60;86.00
11292153081168536727;FLC 104;Emerson,Audrey Chen;71.43;17.14;0.00;8.57;2.86;94.29;84.57
6220496271451980478;FLC 104;Chen,Zhizi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16180636974139695315;FLC 104;Zhai,Runlei;91.67;0.00;0.00;8.33;0.00;97.42;87.50
896769682126426512;FLC 104;Burnette,Carly Renee;72.73;27.27;0.00;0.00;0.00;97.00;87.27
5535716115291497986;FLC 104;Isaacson,Nathaniel Kenneth;61.54;23.08;7.69;0.00;7.69;92.69;83.08
5162854213946701082;FLC 104;Liu,Xuhua;57.58;42.42;0.00;0.00;0.00;95.33;85.76
7506655476851160952;FLC 201;Emerson,Audrey Chen;71.43;14.29;9.52;0.00;4.76;94.48;84.76
3776928840468616611;FLC 201;Young,Hannah Sun;68.75;18.75;12.50;0.00;0.00;95.31;85.63
13429787304225847268;FLC 201;Zhai,Runlei;81.82;13.64;2.27;2.27;0.00;97.32;87.50
6008369310565452795;FLC 201;Isaacson,Nathaniel Kenneth;70.69;17.24;10.34;1.72;0.00;95.40;85.69
2650940799274707237;FLC 201;Park,Young Mae;60.00;26.67;13.33;0.00;0.00;94.27;84.67
18421463492493982789;FLC 202;Zhai,Runlei;84.62;7.69;2.56;2.56;2.56;96.77;86.92
