Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17007506605103226007;FLE 100;Monea,Bethany Anne;40.00;50.00;10.00;0.00;0.00;92.40;83.00
5561602606579386302;FLE 100;Schneier,Joel Ira;54.55;36.36;0.00;0.00;9.09;92.27;82.73
9352890434070008962;FLE 100;Kube,Robin Meche;60.98;36.59;2.44;0.00;0.00;95.46;85.85
879428441569861787;FLE 100;Mordzak,Lucjan;80.00;20.00;0.00;0.00;0.00;97.80;88.00
168503622514755399;FLE 101;Ivey,Starr A;44.44;50.00;2.78;0.00;2.78;92.78;83.33
25755658043528564;FLE 101;Najjaj,April Louise;76.00;24.00;0.00;0.00;0.00;97.36;87.60
14978964212686931460;FLE 101;Kube,Robin Meche;76.60;19.15;4.26;0.00;0.00;97.00;87.23
11383557392947013135;FLE 101;Estrada,Mary Michaels;80.43;8.70;4.35;0.00;6.52;95.46;85.65
4324673161910658461;FLE 101;Van Scooter,Bethany Erin;92.86;7.14;0.00;0.00;0.00;99.21;89.29
10620505082473887822;FLE 101;Turner,Alison M.;44.44;35.56;11.11;4.44;4.44;90.56;81.11
7568132435061213799;FLE 101;Yashpreet,Dr.;57.69;26.92;11.54;3.85;0.00;93.42;83.85
17829078359882285478;FLE 101;Vu,Minh Thanh;83.33;11.90;2.38;0.00;2.38;97.21;87.38
3346843922137112375;FLE 101;Pybus,Juliana;71.43;19.05;7.14;0.00;2.38;95.43;85.71
2047341322294587249;FLE 101;Dolan,Louise A;46.15;42.31;3.85;3.85;3.85;91.77;82.31
697742238674541742;FLE 101;Monea,Bethany Anne;65.12;27.91;2.33;0.00;4.65;94.53;84.88
187864720686886090;FLE 101;Schneier,Joel Ira;41.51;52.83;3.77;0.00;1.89;92.62;83.21
15545680246638795183;FLE 101;Michels,Kelly Lynn;36.84;18.42;23.68;13.16;7.89;85.68;76.32
7661797167348551192;FLE 101;Mordzak,Lucjan;63.49;33.33;0.00;0.00;3.17;95.03;85.40
14466260239594031313;FLE 201;Yashpreet,Dr.;85.37;12.20;0.00;0.00;2.44;97.66;87.80
11212262834005432636;FLE 201;Pybus,Juliana;72.73;27.27;0.00;0.00;0.00;97.00;87.27
9561306127704963410;FLE 201;Swisher,Nancy Martin;55.81;25.58;13.95;4.65;0.00;92.81;83.26
2856310284277307645;FLE 201;Kube,Robin Meche;70.45;27.27;2.27;0.00;0.00;96.52;86.82
3319864939466755984;FLE 400;Kube,Robin Meche;94.12;5.88;0.00;0.00;0.00;99.35;89.41
11097350009876549137;FLE 400;Despain,Jennifer Anne;55.56;33.33;11.11;0.00;0.00;94.00;84.44
1318803099074156655;FLE 400;Estrada,Mary Michaels;97.30;0.00;2.70;0.00;0.00;99.43;89.46
17940611121810100507;FLE 400;Quarterman,Carolyn;91.18;8.82;0.00;0.00;0.00;99.03;89.12
5826130210169397284;FLE 400;Swisher,Nancy Martin;77.27;18.18;0.00;0.00;4.55;96.14;86.36
7635794441869095620;FLE 401;Kube,Robin Meche;95.00;5.00;0.00;0.00;0.00;99.45;89.50
15812245916682419392;FLE 401;Ivey,Starr A;93.75;6.25;0.00;0.00;0.00;99.31;89.38
15014390621334065055;FLE 401;Turner,Alison M.;96.67;3.33;0.00;0.00;0.00;99.63;89.67
10592171023296039454;FLE 401;Estrada,Mary Michaels;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1124961508111419760;FLE 401;Vu,Minh Thanh;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7304088823970858634;FLE 401;Yashpreet,Dr.;50.00;40.00;10.00;0.00;0.00;93.50;84.00
14268754243592260401;FLE 401;Swisher,Nancy Martin;81.82;18.18;0.00;0.00;0.00;98.00;88.18
2229640331826202301;FLE 401;Pybus,Juliana;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5097402827624026457;FLE 401;Quarterman,Carolyn;92.00;8.00;0.00;0.00;0.00;99.12;89.20
12666920679141044853;FLE 402;Homar,Katie;94.12;5.88;0.00;0.00;0.00;99.35;89.41
2162295776810406531;FLE 402;Yashpreet,Dr.;93.75;0.00;6.25;0.00;0.00;98.69;88.75
99001398766498506;FLE 402;Swisher,Nancy Martin;77.78;22.22;0.00;0.00;0.00;97.56;87.78
12892768062789916816;FLE 402;Mordzak,Lucjan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13323253633698489610;FLE 402;Kube,Robin Meche;36.36;63.64;0.00;0.00;0.00;93.00;83.64
