Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13663721469670149766;FLF 101;Henneton,Diane;71.43;25.71;0.00;2.86;0.00;96.29;86.57
1117491709342230826;FLF 101;Morel,Katherine;73.03;23.60;1.12;0.00;2.25;96.25;86.52
11127071209309805483;FLF 101;Larkin,Nicole Angelique;77.78;22.22;0.00;0.00;0.00;97.56;87.78
10050858104934752999;FLF 101;Call,Laura K;37.50;44.57;11.96;2.72;3.26;90.41;81.03
7737394244788530214;FLF 101;Lambert,Valerie Ann;50.00;33.85;13.08;0.00;3.08;92.27;82.77
14360672974504669711;FLF 101;Allen,Jeffrey Landon;29.65;43.72;17.09;5.03;4.52;88.19;78.89
4904114290616349445;FLF 101;Messiha,Inas Tawfik;46.20;37.34;11.39;3.16;1.90;91.74;82.28
15808849737097025970;FLF 101;Roche,Carla Jean;58.49;30.19;1.89;0.00;9.43;92.42;82.83
5835344171541765020;FLF 101;Johnson,Chuck;47.06;35.29;15.69;0.00;1.96;92.02;82.55
11767745970931592123;FLF 101;Tucker,Andrea Michelle;56.67;31.67;5.00;0.00;6.67;92.73;83.17
15794362416852482973;FLF 101;Davidson,Ashleigh Hope;60.66;21.31;11.48;6.56;0.00;93.21;83.61
7176257913167769557;FLF 101;McCoy,Bryan Ashley;27.45;41.18;17.65;5.88;7.84;86.73;77.45
9937161969439518918;FLF 101;Barnas,Stephanie Marie;40.63;40.63;9.38;6.25;3.13;90.34;80.94
1757151596525707678;FLF 101;Beckman,Diane Susan;90.00;10.00;0.00;0.00;0.00;98.90;89.00
5032590065129824850;FLF 101;Krohn,Taylor A;50.00;38.89;11.11;0.00;0.00;93.39;83.89
6502261230790502118;FLF 101;Trujillo,Elizabeth Benson;55.00;35.00;5.00;0.00;5.00;93.05;83.50
17548287995227267626;FLF 102;Lambert,Valerie Ann;72.92;27.08;0.00;0.00;0.00;97.02;87.29
17962027350830974738;FLF 102;Brown,Jiana;80.85;14.89;4.26;0.00;0.00;97.47;87.66
6308974927495319439;FLF 102;Morel,Katherine;69.57;23.91;2.17;2.17;2.17;95.35;85.65
17234756624290956760;FLF 102;Henneton,Diane;58.06;35.48;6.45;0.00;0.00;94.74;85.16
15144155253645494608;FLF 102;Bohn,Katelyn  ;63.64;36.36;0.00;0.00;0.00;96.00;86.36
7822634022690706584;FLF 102;Cotter,Maggie;55.26;31.58;10.53;2.63;0.00;93.50;83.95
2298248150862244974;FLF 102;Kozhanova,Tatiana O;15.38;61.54;7.69;0.00;15.38;85.31;76.15
4120208366440331477;FLF 102;Call,Laura K;50.00;35.71;4.76;4.76;4.76;91.64;82.14
17439433044983130968;FLF 102;Hoversten,Turi Kristi Liv;44.19;25.58;20.93;6.98;2.33;89.67;80.23
17036664171977078535;FLF 102;Bulkeley,Charlotte Ann;50.00;36.67;10.00;3.33;0.00;92.83;83.33
3553153810377873955;FLF 102;Randriamiadana,Irina Arimanana;54.55;45.45;0.00;0.00;0.00;95.00;85.45
2445191398536449912;FLF 102;Fowler,Elizabeth  ;51.72;41.38;3.45;3.45;0.00;93.66;84.14
17451275124825793887;FLF 102;Lowdermilk,Lyndsay  ;59.18;38.78;2.04;0.00;0.00;95.31;85.71
12235228193995172518;FLF 102;Wehiong-Bassega,Lionel  ;47.62;23.81;21.43;2.38;4.76;90.19;80.71
764393646321641253;FLF 102;Seguin,Ryan  ;50.88;29.82;12.28;5.26;1.75;91.79;82.28
170533733429619109;FLF 102;Woodbridge,Marie Casado;56.00;30.00;10.00;0.00;4.00;92.96;83.40
15405971704623080933;FLF 102;Hay,Bastien  ;42.55;38.30;10.64;0.00;8.51;90.06;80.64
16295086632626657936;FLF 102;Allen,Jeffrey Landon;31.91;34.04;17.02;12.77;4.26;86.98;77.66
16103277043882882203;FLF 102;Hanks,Tyler Marshall;29.41;41.18;23.53;5.88;0.00;88.71;79.41
13754223060239221011;FLF 102;Presotto,Lisa Michele;41.94;45.16;9.68;0.00;3.23;91.68;82.26
11894400661207289891;FLF 102;Messiha,Inas Tawfik;35.14;27.03;27.03;0.00;10.81;86.92;77.57
11024607305140029593;FLF 102;Magill,Michele M.;27.59;55.17;10.34;3.45;3.45;89.28;80.00
11471260229728994704;FLF 102;Montlouis-Gabriel,Johanna;54.05;35.14;8.11;0.00;2.70;93.32;83.78
9187594395452106589;FLF 102;Verstraet,Charly Bernard Eugene;46.88;34.38;12.50;3.13;3.13;91.34;81.88
302972807275575013;FLF 102;Roche,Carla Jean;52.63;35.09;10.53;0.00;1.75;93.21;83.68
4832607576710084758;FLF 102;Johnson,Chuck;33.93;50.00;14.29;0.00;1.79;90.77;81.43
17016574675031698999;FLF 102;Davidson,Ashleigh Hope;56.41;33.33;10.26;0.00;0.00;94.18;84.62
9513004621630518574;FLF 102;Tucker,Andrea Michelle;55.81;25.58;13.95;2.33;2.33;92.58;83.02
4791892128712248917;FLF 102;McCoy,Bryan Ashley;16.28;46.51;27.91;6.98;2.33;85.91;76.74
10358616736202598813;FLF 102;Stephens III,Dwight F;45.45;36.36;18.18;0.00;0.00;92.18;82.73
2231983089239096837;FLF 102;Trujillo,Elizabeth Benson;36.36;42.42;18.18;3.03;0.00;90.58;81.21
12516974977668051842;FLF 102;Bell,Martine Michele;30.61;46.94;20.41;0.00;2.04;89.71;80.41
4963743554309960324;FLF 102;Rollins,Sophie Marie;64.29;28.57;7.14;0.00;0.00;95.36;85.71
3374361971695051732;FLF 102;Krohn,Taylor A;47.06;35.29;17.65;0.00;0.00;92.41;82.94
9605602208780767015;FLF 110;Henneton,Diane;52.94;35.29;5.88;5.88;0.00;93.06;83.53
10419296142983591305;FLF 110;Hoversten,Turi Kristi Liv;50.00;45.24;2.38;2.38;0.00;93.79;84.29
4252568694326274115;FLF 110;Morel,Katherine;72.58;20.97;4.84;0.00;1.61;96.02;86.29
252663883162437883;FLF 110;Call,Laura K;68.09;27.66;4.26;0.00;0.00;96.06;86.38
6834723583014439263;FLF 110;Beckman,Diane Susan;68.00;24.00;8.00;0.00;0.00;95.68;86.00
12165619852327372683;FLF 201;Morel,Katherine;63.64;29.55;4.55;2.27;0.00;95.09;85.45
1037803064798543094;FLF 201;Kozhanova,Tatiana O;82.50;15.00;0.00;2.50;0.00;97.58;87.75
2446915251716828309;FLF 201;Lambert,Valerie Ann;64.91;22.81;12.28;0.00;0.00;94.91;85.26
15890046054569678692;FLF 201;Larkin,Nicole Angelique;67.39;23.91;6.52;2.17;0.00;95.33;85.65
15677899542337709934;FLF 201;Call,Laura K;64.00;36.00;0.00;0.00;0.00;96.04;86.40
6922374329284897285;FLF 201;Montlouis-Gabriel,Johanna;44.44;44.44;8.89;0.00;2.22;92.33;82.89
2994051781514951338;FLF 201;Hoversten,Turi Kristi Liv;38.46;44.23;13.46;0.00;3.85;90.73;81.35
4923028099251516647;FLF 201;Roland,Alexa  ;56.10;34.15;4.88;2.44;2.44;93.46;83.90
15524985454161371549;FLF 201;Allen,Jeffrey Landon;51.16;32.56;9.30;4.65;2.33;92.07;82.56
9412400493556845022;FLF 201;Monjanel-Townsend,Julie;43.90;36.59;9.76;7.32;2.44;90.66;81.22
15663592181228813552;FLF 201;Randriamiadana,Irina Arimanana;65.08;26.98;7.94;0.00;0.00;95.37;85.71
2262104978207160151;FLF 201;Graham,Cameron  ;48.84;30.23;11.63;6.98;2.33;91.12;81.63
8320277151352800109;FLF 201;Mvula,Philippe  ;54.55;27.27;18.18;0.00;0.00;93.18;83.64
6608457827645427773;FLF 201;Bouley,Elise  ;28.79;40.91;27.27;0.00;3.03;88.53;79.24
5910684055759915085;FLF 201;Demeny,Megan  ;51.67;36.67;11.67;0.00;0.00;93.52;84.00
14783430276403842510;FLF 201;Messiha,Inas Tawfik;53.52;39.44;5.63;1.41;0.00;94.04;84.51
4066815952742901636;FLF 201;Darrah,Michele S;41.18;43.14;7.84;5.88;1.96;90.98;81.57
11101516426622608537;FLF 201;Woodbridge,Marie Casado;63.64;30.30;4.55;1.52;0.00;95.24;85.61
6056534926296910237;FLF 201;Mykyta,Larysa Anna;23.40;48.94;17.02;8.51;2.13;87.53;78.30
2053484525433131455;FLF 201;Magill,Michele M.;25.49;60.78;11.76;1.96;0.00;90.24;80.98
6077989846136510028;FLF 201;Garval,Michael D;27.66;57.45;10.64;2.13;2.13;89.91;80.64
6792922192845394216;FLF 201;Johnson,Chuck;33.93;55.36;10.71;0.00;0.00;91.66;82.32
15851902438619989675;FLF 201;Rollins,Yvonne B.;33.33;33.33;29.63;0.00;3.70;88.59;79.26
12844439685090057405;FLF 201;Granger,Monique Heitz;36.84;43.86;14.04;3.51;1.75;90.42;81.05
3935021945860934444;FLF 202;Morel,Katherine;86.79;11.32;0.00;0.00;1.89;97.98;88.11
5195767312000781893;FLF 202;Marchi PhD,Dudley Michael;66.67;33.33;0.00;0.00;0.00;96.33;86.67
11925591278195025788;FLF 202;Allen,Jeffrey Landon;50.00;32.69;7.69;7.69;1.92;91.62;82.12
16986434291857385459;FLF 202;Darrah,Michele S;43.24;48.65;5.41;0.00;2.70;92.41;82.97
7250772213042521429;FLF 202;Messiha,Inas Tawfik;72.73;27.27;0.00;0.00;0.00;97.00;87.27
15791565602916482801;FLF 202;Kubiak,Aubrey Devon;46.67;37.78;13.33;0.00;2.22;92.13;82.67
12249269345206753190;FLF 202;Magill,Michele M.;62.22;28.89;2.22;2.22;4.44;93.84;84.22
15221538825714071528;FLF 202;Chirila,Ileana Daniela;43.64;49.09;5.45;0.00;1.82;92.71;83.27
6786230528661778696;FLF 202;Bell,Martine Michele;54.55;36.36;9.09;0.00;0.00;94.09;84.55
6528663435768837840;FLF 202;Granger,Monique Heitz;47.92;39.58;12.50;0.00;0.00;93.02;83.54
16523823967550560367;FLF 202;Lambert,Valerie Ann;34.29;48.57;11.43;5.71;0.00;90.49;81.14
18234567974031838806;FLF 212;Call,Laura K;53.19;34.04;4.26;4.26;4.26;92.30;82.77
1949458014112267289;FLF 212;Allen,Jeffrey Landon;62.16;35.14;2.70;0.00;0.00;95.57;85.95
3781588256246247900;FLF 212;Granger,Monique Heitz;43.75;43.75;0.00;6.25;6.25;90.69;81.25
8845705074786638107;FLF 301;Kozhanova,Tatiana O;76.92;23.08;0.00;0.00;0.00;97.46;87.69
17923988541581568237;FLF 301;Garval,Michael D;38.89;53.70;7.41;0.00;0.00;92.54;83.15
3672539638272503059;FLF 301;Rollins,Yvonne B.;54.76;35.71;9.52;0.00;0.00;94.07;84.52
2055950196152950113;FLF 301;Magill,Michele M.;61.54;23.08;7.69;3.85;3.85;93.08;83.46
11082250101798815174;FLF 302;Call,Laura K;62.50;33.33;2.08;0.00;2.08;95.04;85.42
8491423880059125074;FLF 302;Mykyta,Larysa Anna;32.50;37.50;17.50;2.50;10.00;87.33;78.00
2891285153396159365;FLF 302;Magill,Michele M.;57.63;25.42;15.25;1.69;0.00;93.47;83.90
12366284005345421053;FLF 302;Kubiak,Aubrey Devon;58.33;25.00;8.33;0.00;8.33;92.08;82.50
8041011426513002301;FLF 302;Rollins,Yvonne B.;35.00;45.00;15.00;0.00;5.00;89.85;80.50
7035425110635311204;FLF 302;Garval,Michael D;37.50;50.00;12.50;0.00;0.00;91.88;82.50
6501391705077038251;FLF 307;Montlouis-Gabriel,Johanna;90.91;9.09;0.00;0.00;0.00;99.00;89.09
17540713522414666351;FLF 307;Call,Laura K;77.78;16.67;5.56;0.00;0.00;97.00;87.22
15915815731494131494;FLF 307;Darrah,Michele S;77.27;18.18;4.55;0.00;0.00;97.05;87.27
6824497784576837880;FLF 307;Granger,Monique Heitz;34.55;50.91;12.73;0.00;1.82;90.98;81.64
14230495468502072236;FLF 308;Morel,Katherine;86.49;13.51;0.00;0.00;0.00;98.51;88.65
7999345848709276748;FLF 308;Montlouis-Gabriel,Johanna;88.89;11.11;0.00;0.00;0.00;98.78;88.89
3019458311644853357;FLF 308;Kozhanova,Tatiana O;75.86;20.69;0.00;0.00;3.45;96.31;86.55
15285136246014134754;FLF 308;Lambert,Valerie Ann;93.88;6.12;0.00;0.00;0.00;99.33;89.39
1328600369580497195;FLF 308;Allen,Jeffrey Landon;50.00;42.86;0.00;7.14;0.00;93.07;83.57
11300619264491358346;FLF 308;Rollins,Yvonne B.;67.74;29.03;3.23;0.00;0.00;96.13;86.45
13120469539284927788;FLF 308;Kubiak,Aubrey Devon;47.62;38.10;14.29;0.00;0.00;92.81;83.33
12125612183588562355;FLF 308;Chirila,Ileana Daniela;82.76;17.24;0.00;0.00;0.00;98.10;88.28
13460110191820873409;FLF 308;Darrah,Michele S;50.00;25.00;25.00;0.00;0.00;92.00;82.50
1756189531992276871;FLF 309;Kozhanova,Tatiana O;86.54;9.62;3.85;0.00;0.00;98.13;88.27
16098044349252303101;FLF 309;Allen,Jeffrey Landon;40.91;50.00;6.82;2.27;0.00;92.36;82.95
4789831407066622348;FLF 309;Bell,Martine Michele;49.15;45.76;3.39;1.69;0.00;93.73;84.24
7252144569720338458;FLF 310;Messiha,Inas Tawfik;73.81;21.43;2.38;0.00;2.38;96.17;86.43
13828848531195690501;FLF 310;Chirila,Ileana Daniela;55.88;38.24;5.88;0.00;0.00;94.56;85.00
13980262227346262743;FLF 310;Magill,Michele M.;38.10;52.38;9.52;0.00;0.00;92.24;82.86
10298054443765514928;FLF 315;Garval,Michael D;41.03;53.85;2.56;0.00;2.56;92.49;83.08
13366638729215411322;FLF 315;Call,Laura K;63.04;32.61;4.35;0.00;0.00;95.50;85.87
5350217670248373556;FLF 315;Morel,Katherine;76.36;21.82;0.00;0.00;1.82;96.85;87.09
15453243606425475299;FLF 315;Marchi PhD,Dudley Michael;77.78;22.22;0.00;0.00;0.00;97.56;87.78
16913375464451374547;FLF 315;Magill,Michele M.;61.22;32.65;2.04;2.04;2.04;94.51;84.90
17290301927071503347;FLF 315;Granger,Monique Heitz;47.37;42.11;10.53;0.00;0.00;93.16;83.68
6091321178062230708;FLF 318;Messiha,Inas Tawfik;88.89;7.41;3.70;0.00;0.00;98.41;88.52
5423112089366343835;FLF 318;Beckman,Diane Susan;50.00;33.33;9.52;2.38;4.76;91.64;82.14
7712439302557260640;FLF 318;Magill,Michele M.;60.00;30.00;10.00;0.00;0.00;94.60;85.00
17633994731499838722;FLF 321;Call,Laura K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14510067179735360147;FLF 321;Magill,Michele M.;52.63;47.37;0.00;0.00;0.00;94.79;85.26
10163367981406874699;FLF 321;Rollins,Yvonne B.;33.33;46.67;20.00;0.00;0.00;90.67;81.33
5619506598764770590;FLF 401;Marchi PhD,Dudley Michael;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10901206537800088065;FLF 411;Lambert,Valerie Ann;87.50;12.50;0.00;0.00;0.00;98.63;88.75
3722107735989362152;FLF 411;Magill,Michele M.;33.33;60.00;6.67;0.00;0.00;92.00;82.67
6860592538121640510;FLF 492;Garval,Michael D;52.17;39.13;0.00;4.35;4.35;92.57;83.04
8009600371844549128;FLF 492;Mykyta,Larysa Anna;37.50;50.00;12.50;0.00;0.00;91.88;82.50
16437886525888241147;FLF 502;Lambert,Valerie Ann;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2539579136028909139;FLF 511;Magill,Michele M.;85.71;14.29;0.00;0.00;0.00;98.43;88.57
