Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
78754150884670531;FLG 101;Brooks,Lauren J;47.37;39.47;5.26;2.63;5.26;91.58;82.11
6381745091308012685;FLG 101;Kube,Lutz;36.67;20.00;20.00;6.67;16.67;84.70;75.33
11949590263763383476;FLG 101;Nyota,Lynda Kemei;56.67;36.67;6.67;0.00;0.00;94.57;85.00
17908898711993836064;FLG 101;Brown,James Hamilton;69.57;28.26;0.00;0.00;2.17;96.00;86.30
1783979388242675934;FLG 101;Reibold PhD,Marc;47.27;36.36;12.73;3.64;0.00;92.20;82.73
10472731669569133275;FLG 101;Haeseler,Jillian Susan;35.71;35.71;7.14;14.29;7.14;87.21;77.86
12801325547893897677;FLG 101;Eley,Michelle Rene;36.21;37.93;18.97;3.45;3.45;89.36;80.00
18218652472068075236;FLG 101;Ham,Oliver Benjamin;42.59;38.89;7.41;7.41;3.70;90.35;80.93
6837733519532484725;FLG 102;Brooks,Lauren J;50.00;34.78;13.04;2.17;0.00;92.76;83.26
8387142940379338180;FLG 102;Brown,James Hamilton;46.51;39.53;11.63;0.00;2.33;92.26;82.79
11719683634680282358;FLG 102;Kube,Lutz;50.00;25.00;16.67;2.78;5.56;90.61;81.11
11602816352495133441;FLG 102;Nyota,Lynda Kemei;58.33;25.00;16.67;0.00;0.00;93.75;84.17
2129701264842031060;FLG 102;Reibold PhD,Marc;40.00;41.82;9.09;5.45;3.64;90.31;80.91
17084880325213543335;FLG 102;Eley,Michelle Rene;26.53;36.73;32.65;4.08;0.00;87.84;78.57
1388659647911960491;FLG 102;Ham,Oliver Benjamin;56.00;28.00;10.00;2.00;4.00;92.56;83.00
5989499906516456907;FLG 102;Bridges,Sabine J;6.25;56.25;33.33;0.00;4.17;85.10;76.04
4042900675003106201;FLG 201;Kube,Lutz;35.48;32.26;22.58;9.68;0.00;88.71;79.35
399542941328699813;FLG 201;Brooks,Lauren J;63.16;21.05;5.26;2.63;7.89;92.53;82.89
18217225354285401413;FLG 201;Nyota,Lynda Kemei;39.47;36.84;18.42;0.00;5.26;89.92;80.53
6127448988318245508;FLG 201;Brown,James Hamilton;20.59;47.06;32.35;0.00;0.00;88.03;78.82
9320672925536895236;FLG 201;Reibold PhD,Marc;48.89;44.44;6.67;0.00;0.00;93.71;84.22
8517030502373633444;FLG 201;Eley,Michelle Rene;19.15;46.81;29.79;4.26;0.00;87.28;78.09
2487998497468754432;FLG 201;Ham,Oliver Benjamin;60.98;31.71;4.88;0.00;2.44;94.49;84.88
16637950074265458975;FLG 201;Wipplinger,Jonathan Otto;32.79;54.10;8.20;1.64;3.28;90.48;81.15
4087739871049705434;FLG 201;Bridges,Sabine J;9.43;62.26;22.64;1.89;3.77;86.26;77.17
11967068789780940699;FLG 202;Nyota,Lynda Kemei;66.67;19.44;5.56;5.56;2.78;93.83;84.17
14695492064362300888;FLG 202;Braunbeck,Helga G;67.57;27.03;5.41;0.00;0.00;95.89;86.22
3898149848948277037;FLG 202;Brown,James Hamilton;36.84;47.37;10.53;0.00;5.26;90.42;81.05
5515775511615538496;FLG 202;Eley,Michelle Rene;44.44;52.78;2.78;0.00;0.00;93.61;84.17
11224744204122855159;FLG 202;Ham,Oliver Benjamin;56.25;37.50;6.25;0.00;0.00;94.56;85.00
2671950333536433879;FLG 202;Reibold PhD,Marc;40.00;50.00;10.00;0.00;0.00;92.40;83.00
712648256243550089;FLG 202;Bridges,Sabine J;21.57;54.90;17.65;1.96;3.92;88.04;78.82
2326018328910896217;FLG 212;Braunbeck,Helga G;61.90;23.81;9.52;0.00;4.76;93.43;83.81
18346653650580528403;FLG 212;Ham,Oliver Benjamin;75.86;10.34;6.90;3.45;3.45;94.93;85.17
10990491896006720097;FLG 300;Gross,Ruth Vera;43.75;25.00;18.75;6.25;6.25;88.81;79.38
13763629097076335451;FLG 301;Kube,Lutz;59.46;32.43;8.11;0.00;0.00;94.73;85.14
233670365667225031;FLG 301;Brown,James Hamilton;62.96;29.63;3.70;0.00;3.70;94.44;84.81
15270937218958289660;FLG 301;Nyota,Lynda Kemei;74.07;11.11;3.70;7.41;3.70;94.19;84.44
18371992345649002287;FLG 302;Brooks,Lauren J;58.06;22.58;9.68;0.00;9.68;91.52;81.94
16625535831921719515;FLG 302;Kube,Lutz;57.78;33.33;6.67;2.22;0.00;94.24;84.67
17884205234990051267;FLG 302;Braunbeck,Helga G;63.16;21.05;15.79;0.00;0.00;94.37;84.74
15294966404624401905;FLG 302;Reibold PhD,Marc;52.17;39.13;4.35;0.00;4.35;93.00;83.48
15577049519439321557;FLG 302;Bridges,Sabine J;65.00;20.00;10.00;0.00;5.00;93.65;84.00
10123785003930856905;FLG 307;Nyota,Lynda Kemei;65.79;26.32;5.26;0.00;2.63;94.92;85.26
353844879032062087;FLG 307;Wipplinger,Jonathan Otto;57.81;40.63;1.56;0.00;0.00;95.20;85.63
12307928518146235709;FLG 309;Wipplinger,Jonathan Otto;39.29;42.86;17.86;0.00;0.00;91.54;82.14
4112479334307057715;FLG 311;Kube,Lutz;83.33;8.33;8.33;0.00;0.00;97.33;87.50
