Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12003674879817726473;FLI 101;Bonaduce Dresler,Anna Rita;42.42;33.33;15.15;6.06;3.03;90.03;80.61
1947031275871480539;FLI 101;Pesoli,Sandra;37.25;41.18;9.80;5.88;5.88;89.18;79.80
17504953687108212233;FLI 101;Allen,Jeffrey Landon;37.50;37.50;7.50;10.00;7.50;88.13;78.75
11242329632506454153;FLI 101;Feeny,Thomas P.;41.18;26.47;26.47;0.00;5.88;89.12;79.71
7540064945521921777;FLI 101;Darrah,Michele S;48.00;44.00;4.00;2.00;2.00;92.88;83.40
1951704512933085093;FLI 102;Bonaduce Dresler,Anna Rita;39.47;44.74;13.16;0.00;2.63;91.24;81.84
17497084842861077826;FLI 102;Pesoli,Sandra;55.56;22.22;22.22;0.00;0.00;92.89;83.33
16548779720896010760;FLI 102;Feeny,Thomas P.;50.00;18.75;25.00;6.25;0.00;90.75;81.25
10610779513675909332;FLI 102;Darrah,Michele S;28.57;59.52;7.14;4.76;0.00;90.48;81.19
9394638935504651888;FLI 201;Bonaduce Dresler,Anna Rita;36.96;32.61;21.74;4.35;4.35;88.72;79.35
11461484744155304853;FLI 201;Feeny,Thomas P.;39.39;39.39;15.15;6.06;0.00;90.61;81.21
14150652226346935199;FLI 202;Feeny,Thomas P.;51.72;41.38;6.90;0.00;0.00;94.00;84.48
5395628377681518585;FLI 202;Bonaduce Dresler,Anna Rita;65.22;34.78;0.00;0.00;0.00;96.17;86.52
5870958472776329599;FLI 208;Feeny,Thomas P.;51.43;31.43;11.43;5.71;0.00;92.37;82.86
11889885876794267117;FLI 308;Bonaduce Dresler,Anna Rita;56.67;30.00;6.67;3.33;3.33;92.90;83.33
16668693720857712760;FLI 315;Bonaduce Dresler,Anna Rita;84.21;13.16;2.63;0.00;0.00;98.00;88.16
9545415921961641213;FLI 318;Bonaduce Dresler,Anna Rita;78.13;15.63;3.13;0.00;3.13;96.34;86.56
