Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2346055587218015465;FLJ 101;Sera,Wakako;55.32;31.91;10.64;2.13;0.00;93.60;84.04
15300809322114581287;FLJ 101;Ishikawa,Momoko;52.08;29.17;10.42;4.17;4.17;91.60;82.08
3027608364541250795;FLJ 101;Nitta,Reiko;37.70;32.79;14.75;6.56;8.20;87.90;78.52
5708858993283897449;FLJ 101;Ueda,Keiko;62.50;25.00;8.33;2.08;2.08;94.00;84.38
4237356032159412813;FLJ 101;Mertz,John P;60.47;27.91;6.98;0.00;4.65;93.56;83.95
6017637062835373251;FLJ 102;Ishikawa,Momoko;42.86;42.86;10.71;3.57;0.00;91.93;82.50
9170163520383597313;FLJ 102;Fujioka,Junko;40.54;40.54;13.51;5.41;0.00;91.03;81.62
2114043385580031232;FLJ 102;Sera,Wakako;60.34;31.03;6.90;1.72;0.00;94.60;85.00
2510328661818246026;FLJ 102;Nitta,Reiko;37.78;42.22;15.56;2.22;2.22;90.49;81.11
7845698861531590288;FLJ 102;Mertz,John P;40.82;28.57;18.37;10.20;2.04;89.00;79.59
18191073886454906881;FLJ 102;Madihian,Roshanak;42.86;40.00;17.14;0.00;0.00;92.00;82.57
16283988051714875523;FLJ 102;Ueda,Keiko;44.00;24.00;20.00;10.00;2.00;89.24;79.80
11553163926302805173;FLJ 102;Fukushima,Ako;31.25;25.00;25.00;6.25;12.50;84.94;75.63
2569829946766612452;FLJ 103;Ishikawa,Momoko;59.46;32.43;5.41;2.70;0.00;94.46;84.86
8477325743882853753;FLJ 103;Sera,Wakako;56.25;31.25;9.38;0.00;3.13;93.31;83.75
6922324044839489193;FLJ 103;Ha,Kyung Hee;57.14;30.61;10.20;2.04;0.00;93.86;84.29
15146847216264706747;FLJ 103;Tai,Eiko;43.86;29.82;12.28;5.26;8.77;88.91;79.47
4970109424963600945;FLJ 103;Nitta,Reiko;48.89;31.11;15.56;2.22;2.22;91.71;82.22
6357369681827429895;FLJ 103;Fujioka,Junko;69.81;22.64;7.55;0.00;0.00;95.92;86.23
11705348488540957697;FLJ 103;Ueda,Keiko;62.90;29.03;4.84;3.23;0.00;94.79;85.16
16760587886052691159;FLJ 103;Mertz,John P;46.81;38.30;10.64;0.00;4.26;91.81;82.34
5334588601407337231;FLJ 103;Madihian,Roshanak;39.71;29.41;19.12;4.41;7.35;88.37;78.97
15410068485517701206;FLJ 103;Fukushima,Ako;45.59;33.82;11.76;4.41;4.41;90.63;81.18
5129837232425036514;FLJ 104;Fujioka,Junko;44.23;36.54;11.54;7.69;0.00;91.17;81.73
14517437992270717559;FLJ 104;Ishikawa,Momoko;62.71;28.81;6.78;1.69;0.00;94.88;85.25
5991384921156320638;FLJ 104;Mertz,John P;32.79;50.82;13.11;1.64;1.64;90.48;81.15
1298862065151685602;FLJ 104;Nitta,Reiko;15.00;50.00;20.00;10.00;5.00;85.15;76.00
18061914413094648156;FLJ 104;Madihian,Roshanak;41.67;45.83;12.50;0.00;0.00;92.33;82.92
9454649850400159976;FLJ 104;Sera,Wakako;56.14;31.58;8.77;1.75;1.75;93.42;83.86
1405151859151938552;FLJ 104;Fukushima,Ako;39.29;19.64;26.79;8.93;5.36;87.25;77.86
2037430761917166076;FLJ 201;Fujioka,Junko;47.14;35.71;11.43;4.29;1.43;91.76;82.29
6771012685077117523;FLJ 201;Ueda,Keiko;42.31;40.38;15.38;1.92;0.00;91.73;82.31
11669149622216410939;FLJ 201;Tai,Eiko;51.92;26.92;17.31;1.92;1.92;92.02;82.50
1957737554591931875;FLJ 201;Nitta,Reiko;36.36;36.36;20.45;6.82;0.00;89.59;80.23
4375586641457426428;FLJ 201;Shingu,Ikue;27.50;35.00;30.00;5.00;2.50;87.28;78.00
12891269419454219641;FLJ 201;Sera,Wakako;46.34;26.83;17.07;7.32;2.44;90.20;80.73
2446318173753363082;FLJ 201;Fukushima,Ako;27.27;27.27;45.45;0.00;0.00;87.45;78.18
3250894233217513334;FLJ 202;Sera,Wakako;57.14;36.73;6.12;0.00;0.00;94.67;85.10
504988705640545519;FLJ 202;Ishikawa,Momoko;43.75;31.25;25.00;0.00;0.00;91.31;81.88
4455160048695431917;FLJ 202;Ueda,Keiko;59.26;31.48;5.56;1.85;1.85;94.04;84.44
1294305265582901789;FLJ 202;Shingu,Ikue;38.10;33.33;19.05;9.52;0.00;89.38;80.00
3222313364248910815;FLJ 203;Fujioka,Junko;47.14;35.71;11.43;4.29;1.43;91.76;82.29
3363335334510638112;FLJ 203;Kato,Makiko;51.11;37.78;6.67;2.22;2.22;92.84;83.33
13305240940314346131;FLJ 203;Sera,Wakako;38.46;41.03;17.95;2.56;0.00;90.92;81.54
13671255663724225924;FLJ 203;Tai,Eiko;59.09;34.09;4.55;2.27;0.00;94.59;85.00
2994015106158588625;FLJ 203;Mertz,John P;51.92;26.92;17.31;1.92;1.92;92.02;82.50
11821354323918402563;FLJ 203;Ueda,Keiko;32.61;45.65;19.57;2.17;0.00;90.20;80.87
7867091995216664103;FLJ 203;Shingu,Ikue;28.95;36.84;31.58;2.63;0.00;88.50;79.21
5581633245553379627;FLJ 204;Ishikawa,Momoko;54.39;33.33;10.53;1.75;0.00;93.58;84.04
3576079565137431719;FLJ 204;Ueda,Keiko;58.33;31.25;6.25;2.08;2.08;93.75;84.17
8677026531711973206;FLJ 204;Shingu,Ikue;41.67;33.33;16.67;8.33;0.00;90.25;80.83
14682736331115530894;FLJ 204;Mertz,John P;50.65;27.27;11.69;9.09;1.30;91.19;81.69
946493553079914128;FLJ 204;Sera,Wakako;36.11;30.56;30.56;0.00;2.78;89.08;79.72
15910357779457308458;FLJ 301;Ishikawa,Momoko;66.67;19.61;11.76;0.00;1.96;94.57;84.90
7492623542265697454;FLJ 301;Sera,Wakako;42.11;38.60;14.04;3.51;1.75;91.00;81.58
154349312960209623;FLJ 301;Ueda,Keiko;68.42;31.58;0.00;0.00;0.00;96.53;86.84
14650752244570994953;FLJ 301;Nitta,Reiko;40.00;53.33;6.67;0.00;0.00;92.73;83.33
9272300150478907969;FLJ 301;Mertz,John P;50.88;42.11;3.51;0.00;3.51;93.19;83.68
6943118620107304163;FLJ 301;Tai,Eiko;47.62;23.81;19.05;4.76;4.76;89.95;80.48
16896530691800169394;FLJ 302;Ishikawa,Momoko;50.00;18.75;18.75;12.50;0.00;90.13;80.63
10946240362467511043;FLJ 302;Fujioka,Junko;45.45;36.36;13.64;0.00;4.55;91.27;81.82
5352137905944769113;FLJ 302;Ueda,Keiko;30.95;47.62;16.67;2.38;2.38;89.55;80.24
10038218762565310735;FLJ 302;Sera,Wakako;48.72;35.90;5.13;0.00;10.26;90.77;81.28
13674665515575708707;FLJ 302;Tai,Eiko;38.46;46.15;15.38;0.00;0.00;91.69;82.31
2523445067050313696;FLJ 302;Mertz,John P;33.33;35.90;23.08;7.69;0.00;88.82;79.49
12118613852157498869;FLJ 302;Madihian,Roshanak;53.33;46.67;0.00;0.00;0.00;94.87;85.33
3673185970397172221;FLJ 302;Shingu,Ikue;18.18;54.55;9.09;0.00;18.18;84.64;75.45
3768303918319666638;FLJ 342;Mertz,John P;57.89;35.53;3.95;0.00;2.63;94.18;84.61
1604481606411655047;FLJ 344;Mertz,John P;61.04;31.17;5.19;1.30;1.30;94.55;84.94
6717114630482382688;FLJ 345;Mertz,John P;65.33;33.33;1.33;0.00;0.00;96.05;86.40
5077715805044442623;FLJ 351;Ha,Kyung Hee;58.14;25.58;13.95;2.33;0.00;93.53;83.95
9327657832462828881;FLJ 351;Tai,Eiko;54.39;42.11;1.75;0.00;1.75;94.28;84.74
3117606847896623488;FLJ 401;Ha,Kyung Hee;43.24;43.24;10.81;2.70;0.00;92.14;82.70
15764212412109089853;FLJ 401;Sera,Wakako;64.29;21.43;11.90;0.00;2.38;94.17;84.52
4144712761591836577;FLJ 401;Ueda,Keiko;42.31;34.62;19.23;3.85;0.00;90.96;81.54
8711054869984889296;FLJ 401;Mertz,John P;35.85;39.62;20.75;1.89;1.89;89.92;80.57
9763760820355601290;FLJ 401;Tai,Eiko;33.33;46.67;20.00;0.00;0.00;90.67;81.33
8040052905018784798;FLJ 402;Mertz,John P;48.78;48.78;0.00;0.00;2.44;93.63;84.15
2747548729909966491;FLJ 402;Ueda,Keiko;66.67;0.00;33.33;0.00;0.00;93.00;83.33
12110472326328336954;FLJ 402;Fukushima,Ako;66.67;25.00;0.00;8.33;0.00;94.67;85.00
