Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11695219423682327759;FLN 101;Phukan,Nilakshi;71.43;28.57;0.00;0.00;0.00;96.86;87.14
8362945654144562931;FLN 101;Mody,Sujata S.;69.05;23.81;7.14;0.00;0.00;95.88;86.19
4371541697306976251;FLN 101;Jain,Pankaj;55.56;33.33;0.00;0.00;11.11;91.78;82.22
3229870120533108356;FLN 102;Mody,Sujata S.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
11009006609976855263;FLN 103;Phukan,Nilakshi;71.43;28.57;0.00;0.00;0.00;96.86;87.14
16990966238824909533;FLN 103;Mody,Sujata S.;69.05;23.81;7.14;0.00;0.00;95.88;86.19
4217340165650836874;FLN 103;Jain,Pankaj;54.55;36.36;0.00;0.00;9.09;92.27;82.73
9268259646928450240;FLN 104;Mody,Sujata S.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
14370544914093490949;FLN 201;Phukan,Nilakshi;45.45;45.45;9.09;0.00;0.00;93.09;83.64
7603554890933859337;FLN 203;Phukan,Nilakshi;72.73;27.27;0.00;0.00;0.00;97.00;87.27
393569858370936644;FLN 301;Mody,Sujata S.;78.57;21.43;0.00;0.00;0.00;97.64;87.86
17059482339365872081;FLN 302;Phukan,Nilakshi;71.43;28.57;0.00;0.00;0.00;96.86;87.14
6598986117848699047;FLN 351;Phukan,Nilakshi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
