Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4542389953995270040;FLR 101;Lalo,Alexei;80.00;12.00;0.00;0.00;8.00;95.40;85.60
15673854962383771704;FLR 101;Bilenkin,Vladimir;89.19;2.70;5.41;0.00;2.70;97.46;87.57
10808970895146019043;FLR 101;Polonskaya,Ellina;66.67;11.11;22.22;0.00;0.00;94.11;84.44
4494776435585320777;FLR 101;Stephens III,Dwight F;75.00;8.33;16.67;0.00;0.00;95.58;85.83
3027979838474546524;FLR 102;Lalo,Alexei;45.45;27.27;9.09;0.00;18.18;87.64;78.18
14436826839834826266;FLR 102;Bilenkin,Vladimir;84.21;15.79;0.00;0.00;0.00;98.26;88.42
15863177150157486632;FLR 102;Stephens III,Dwight F;75.00;8.33;16.67;0.00;0.00;95.58;85.83
13490360703814293466;FLR 201;Lalo,Alexei;75.00;25.00;0.00;0.00;0.00;97.25;87.50
15037816319073661397;FLR 201;Bilenkin,Vladimir;72.00;18.00;8.00;0.00;2.00;95.52;85.80
3833342577939069564;FLR 202;Bilenkin,Vladimir;79.31;17.24;0.00;0.00;3.45;96.69;86.90
7493953887095696830;FLR 303;Lalo,Alexei;75.34;15.07;4.11;1.37;4.11;95.37;85.62
9166161740606586927;FLR 303;Bilenkin,Vladimir;36.17;40.43;17.02;2.13;4.26;89.57;80.21
9339251726557579040;FLR 304;Lalo,Alexei;74.32;16.22;1.35;1.35;6.76;94.74;85.00
5973453299869388510;FLR 304;Bilenkin,Vladimir;14.81;85.19;0.00;0.00;0.00;90.63;81.48
17098149530329385431;FLR 318;Lalo,Alexei;79.07;11.63;2.33;2.33;4.65;95.60;85.81
4806788426041648392;FLR 318;Bilenkin,Vladimir;34.69;46.94;12.24;0.00;6.12;89.76;80.41
