Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
721730920831785710;FLS 101;Despain,Jennifer Anne;15.00;35.00;22.50;15.00;12.50;81.65;72.50
9236985327040068030;FLS 101;McConnell II,James David;28.99;37.68;21.74;2.90;8.70;86.83;77.54
4332751106763801109;FLS 101;Parker,Casey;40.00;30.00;10.00;15.00;5.00;87.90;78.50
3810796398700931811;FLS 101;Rowe,Sarah Chetty;66.10;18.64;10.17;1.69;3.39;93.90;84.24
1483819144952490298;FLS 101;Peterson,Hannah Bollinger;52.27;34.09;4.55;2.27;6.82;91.80;82.27
5912543032204168583;FLS 101;Despain,Scott;25.85;36.73;22.45;7.48;7.48;85.86;76.60
4630063661255513227;FLS 101;Darhower,Mark Anthony;87.50;6.25;6.25;0.00;0.00;98.00;88.13
5035712365539932435;FLS 101;Wright,A. Carolyn;16.67;66.67;8.33;0.00;8.33;87.50;78.33
11138733776489956771;FLS 101;Carson,Debbera Anne;28.95;34.21;26.32;2.63;7.89;86.66;77.37
15539295341844735964;FLS 101;Kane,Deborah Truesdell;47.37;28.95;7.89;10.53;5.26;89.74;80.26
11141605919955632722;FLS 101;Miller,Jeremy  ;45.45;27.27;0.00;18.18;9.09;87.64;78.18
11563658589106402838;FLS 101;Sferruzzo,Caroline;30.56;44.44;16.67;5.56;2.78;88.75;79.44
15180298687058676627;FLS 101;Coachman,Karen;40.00;30.00;20.00;5.00;5.00;88.90;79.50
10402599575772290674;FLS 101;Johnson,Chuck;56.25;25.00;12.50;0.00;6.25;92.06;82.50
14207599279144808096;FLS 101;Crowther,Celia A.;33.33;47.62;9.52;9.52;0.00;89.81;80.48
9522122014181824085;FLS 101;Place,Soraya Valdez;37.70;31.15;19.67;8.20;3.28;88.56;79.18
15853408859616627689;FLS 101;Wiedmer,Paul;52.17;34.78;11.59;0.00;1.45;93.14;83.62
9805213560004204719;FLS 101;Gray,Ana E;53.33;20.00;26.67;0.00;0.00;92.20;82.67
3064068558964538547;FLS 101;Feeny,Thomas P.;20.00;36.00;32.00;8.00;4.00;85.20;76.00
1254312199930916300;FLS 102;Akuffo,Jemmima Abena;22.22;55.56;0.00;11.11;11.11;85.89;76.67
5473080319219208159;FLS 102;Brandt,Sarah  ;52.73;32.73;14.55;0.00;0.00;93.35;83.82
16031631142297868358;FLS 102;Darhower,Mark Anthony;40.00;46.67;0.00;6.67;6.67;90.07;80.67
354469526611258813;FLS 102;Cedamanos,Yasmin Rosio;53.85;34.62;7.69;0.00;3.85;93.00;83.46
6957248284917719810;FLS 102;Coggins,Colton Garrett;64.00;22.00;6.00;4.00;4.00;93.44;83.80
7698937058578866402;FLS 102;Arcos Vasquez,Cristina;26.47;50.00;17.65;0.00;5.88;88.38;79.12
17839786501948654153;FLS 102;Parker,Casey;47.37;36.84;15.79;0.00;0.00;92.63;83.16
5310610152446941515;FLS 102;From,Delaney;55.17;20.69;24.14;0.00;0.00;92.66;83.10
12777269113719112645;FLS 102;Frost,Olivia  ;38.46;34.62;15.38;7.69;3.85;89.00;79.62
9630334541841303615;FLS 102;Elkins,Anne  ;27.27;18.18;27.27;27.27;0.00;83.82;74.55
13231980024261750345;FLS 102;McConnell II,James David;7.69;30.77;30.77;23.08;7.69;79.85;70.77
14785377521699912235;FLS 102;Carson,Debbera Anne;27.50;27.50;25.00;15.00;5.00;85.03;75.75
5908761972502682192;FLS 102;Atterbury,Ellen  ;20.69;31.03;44.83;3.45;0.00;86.10;76.90
9255488221407683603;FLS 102;Wagner,Dane Reilly;52.63;28.95;7.89;5.26;5.26;91.37;81.84
16659245888686375291;FLS 102;Perez Labra,Luis Daniel;50.00;23.53;14.71;5.88;5.88;90.09;80.59
