Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14975390476848042869;FM 425;Fahrenholz,Adam Charles;38.55;40.96;10.84;3.61;6.02;89.63;80.24
2758841917732990154;FM 460;Fahrenholz,Adam Charles;56.00;32.00;12.00;0.00;0.00;93.96;84.40
7312955969821430966;FM 480;Fahrenholz,Adam Charles;33.33;16.67;41.67;0.00;8.33;86.00;76.67
7877699246479652795;FM 525;Fahrenholz,Adam Charles;50.00;34.62;11.54;0.00;3.85;92.19;82.69
10199446168334063077;FM 525;Ferket,Peter R.;75.00;25.00;0.00;0.00;0.00;97.25;87.50
2615782535162409174;FM 560;Fahrenholz,Adam Charles;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5527934400071784123;FM 580;Fahrenholz,Adam Charles;62.50;33.33;4.17;0.00;0.00;95.46;85.83
8160728020696375749;FM 580;Stark,Charles Robert;66.67;33.33;0.00;0.00;0.00;96.33;86.67
6182498485517584844;FM 706;Ferket,Peter R.;73.33;20.00;6.67;0.00;0.00;96.40;86.67
1942407765063267996;FM 790;Ferket,Peter R.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
