Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17923840906786221133;FOR 150;Aguilos,Maricar Morales;92.75;7.25;0.00;0.00;0.00;99.20;89.28
14157333684490427310;FOR 150;Blank,Gary B.;72.34;17.02;8.51;0.00;2.13;95.47;85.74
14688999689037165056;FOR 150;Henderson,Jesse David;74.07;18.52;7.41;0.00;0.00;96.41;86.67
10551624128347747048;FOR 150;Stomp,Anne Marie;35.56;28.89;28.89;2.22;4.44;88.24;78.89
10144674739170053870;FOR 172;Forrester,Jodi;78.00;18.67;2.67;0.67;0.00;97.18;87.40
8506225239605238258;FOR 172;Schnake,David Kenneth;42.68;37.58;14.65;2.55;2.55;90.96;81.53
1959487259966562677;FOR 172;Bullock,Bronson P;25.87;45.77;21.89;4.98;1.49;88.21;78.96
94806522383762746;FOR 172;McCarter,James B;54.17;31.25;14.58;0.00;0.00;93.50;83.96
11426531940198893380;FOR 204;Martin,Meredith;85.71;14.29;0.00;0.00;0.00;98.43;88.57
8653336164134073958;FOR 204;Forrester,Jodi;85.00;5.00;10.00;0.00;0.00;97.35;87.50
3097229752151902021;FOR 204;Schnake,David Kenneth;86.49;10.81;2.70;0.00;0.00;98.24;88.38
9186957794440804182;FOR 204;Gower,Stith;88.89;11.11;0.00;0.00;0.00;98.78;88.89
1304206266751306619;FOR 204;Snider,Elizabeth;75.00;25.00;0.00;0.00;0.00;97.25;87.50
11094138753896554763;FOR 204;Catts,Glenn P;35.00;35.00;30.00;0.00;0.00;89.85;80.50
2353690783149396942;FOR 204;Cox Jr,Joseph Leo;53.49;44.19;2.33;0.00;0.00;94.65;85.12
12542138984973347389;FOR 220;McHale,Melissa R;71.29;21.78;3.96;0.99;1.98;95.65;85.94
17803541638624951622;FOR 220;Peterson,Nils;27.27;36.36;31.82;4.55;0.00;87.91;78.64
12085658934927752467;FOR 220;Warren,Sarah Timberlake;33.33;58.33;8.33;0.00;0.00;91.83;82.50
13990097617851340881;FOR 248;Blank,Gary B.;62.22;22.22;8.89;5.19;1.48;93.47;83.85
1339922531238616584;FOR 250;Cubbage,Frederick Willis;86.21;6.90;6.90;0.00;0.00;97.79;87.93
17401771806219068996;FOR 250;Blank,Gary B.;67.21;27.87;3.28;0.00;1.64;95.57;85.90
2783636504209986748;FOR 250;Frederick,Douglas J.;78.57;21.43;0.00;0.00;0.00;97.64;87.86
1780315455908914563;FOR 250;Conkling,Barbara Lynn;78.38;16.22;2.70;0.00;2.70;96.54;86.76
15108637583138199731;FOR 252;Smith,Kurt;83.02;13.21;1.89;1.89;0.00;97.57;87.74
17208514658996026724;FOR 252;Shear,Theodore Henry;78.43;15.69;3.92;1.96;0.00;96.84;87.06
12051704199137460719;FOR 252;Roise,Joseph Peter;73.50;12.82;7.69;2.56;3.42;94.78;85.04
14713217312472301782;FOR 252;Braham,Richard Riley;18.18;37.66;29.87;10.39;3.90;84.77;75.58
667090791755028663;FOR 260;Martin,Katie;59.09;22.73;13.64;2.27;2.27;93.00;83.41
527174177263082005;FOR 260;Shear,Theodore Henry;48.21;18.75;16.07;4.46;12.50;88.05;78.57
5670476714442255091;FOR 261;Jeffries,Steph;55.00;40.00;5.00;0.00;0.00;94.55;85.00
2836653870540665790;FOR 261;Snider,Elizabeth;65.79;28.95;5.26;0.00;0.00;95.71;86.05
1981490476282066351;FOR 261;Braham,Richard Riley;17.65;49.02;29.41;1.96;1.96;87.02;77.84
9688504991716057722;FOR 264;Moorman,Christopher E;51.61;38.71;9.68;0.00;0.00;93.71;84.19
17611932845210096142;FOR 264;Dodson Jr,James W;12.50;41.67;41.67;4.17;0.00;85.38;76.25
6925966544263998482;FOR 265;Roise,Joseph Peter;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17346924034540165749;FOR 265;Dodson Jr,James W;12.90;77.42;9.68;0.00;0.00;89.45;80.32
3238742147859727981;FOR 273;Monti,Cassio Augusto;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16274907518047567313;FOR 273;Rathbun,Leah;55.26;44.74;0.00;0.00;0.00;95.08;85.53
9925061639382045418;FOR 273;Gower,Stith;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8483236944153848295;FOR 273;McCarter,James B;95.00;2.50;2.50;0.00;0.00;99.20;89.25
16906698230083472005;FOR 273;Haunsperger,Matthew Michael;45.45;54.55;0.00;0.00;0.00;94.00;84.55
8501353912709116047;FOR 273;Catts,Glenn P;54.55;45.45;0.00;0.00;0.00;95.00;85.45
3265209067757553903;FOR 273;Bullock,Bronson P;36.17;53.19;10.64;0.00;0.00;91.91;82.55
9497815833570241744;FOR 293;Jeffries,Steph;81.82;9.09;0.00;0.00;9.09;95.27;85.45
4420862408728310527;FOR 295;Walker,Trevor Davis;73.08;26.92;0.00;0.00;0.00;97.04;87.31
13002864577443494588;FOR 295;Blank,Gary B.;56.25;31.25;6.25;6.25;0.00;93.31;83.75
13657417855930298842;FOR 295;Shear,Theodore Henry;9.68;25.81;29.03;9.68;25.81;77.48;68.39
10905477690346503181;FOR 295;McLean,Tiffany;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1164500175787968434;FOR 303;King,John S;31.51;56.16;10.96;1.37;0.00;91.10;81.78
18411601515044556605;FOR 303;Aguilos,Maricar Morales;73.68;15.79;0.00;10.53;0.00;95.00;85.26
14777250684080120582;FOR 303;Domec,Jean-Christophe;36.36;59.09;4.55;0.00;0.00;92.55;83.18
5025565019460638669;FOR 304;Cook,Rachel Louise;53.19;38.30;6.38;2.13;0.00;93.79;84.26
9239791957156265675;FOR 304;Allen,Howard Lee;32.56;58.14;6.98;0.00;2.33;91.19;81.86
