Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12745311906297564020;FPS 710;El-Shafei,Ahmed Mohamed;36.36;63.64;0.00;0.00;0.00;93.00;83.64
17767228705577012309;FPS 750;Mathur,Kavita;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12061008038531897534;FPS 750;Rust,Jon P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7350327502477015063;FPS 770;Krause,Wendy E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
125757687027652381;FPS 770;Tonelli,Alan E;68.42;31.58;0.00;0.00;0.00;96.53;86.84
10854869078825409200;FPS 792;Yin,Rong;95.65;4.35;0.00;0.00;0.00;99.52;89.57
13501398595525290890;FPS 792;Gluck,Jessica;100.00;0.00;0.00;0.00;0.00;100.00;90.00
642994319805760288;FPS 792;DenHartog,Emiel A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4556933510108698504;FPS 792;El-Shafei,Ahmed Mohamed;81.82;18.18;0.00;0.00;0.00;98.00;88.18
16814966794423908797;FPS 792;Tonelli,Alan E;42.67;57.33;0.00;0.00;0.00;93.69;84.27
13166570747522017647;FPS 792;Oxenham,William;84.85;15.15;0.00;0.00;0.00;98.33;88.48
15756843308810190411;FPS 792;Seyam,Abdel-Fattah Mohamed;86.67;13.33;0.00;0.00;0.00;98.53;88.67
16988395138102596263;FPS 801;Leonas,Karen K.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8591397422637364467;FPS 801;Mathur,Kavita;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14014306669134062654;FPS 801;Godfrey,A. Blanton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16411291476732385061;FPS 801;Yin,Rong;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3385703189753325923;FPS 801;Tonelli,Alan E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10043398347611328108;FPS 801;Little,Trevor J.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3978989999768559179;FPS 801;Jin,Byoungho Ellie;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2107898349704194791;FPS 801;Shim,Eunkyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18016132014683910267;FPS 801;Rothenberg,Lori Fay;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13222156382428692420;FPS 801;Hergeth,Helmut H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18018336942837062999;FPS 801;Suh,Moon Won;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8123969795418093741;FPS 801;Zhang,Xiangwu;0.00;0.00;0.00;0.00;0.00;0.00;0.00
11206461317555076804;FPS 801;Hinks,David;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1277432220559346447;FPS 801;Lamar,Traci Ann May;0.00;0.00;0.00;0.00;0.00;0.00;0.00
906797645711753510;FPS 830;Suh,Minyoung;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12088449867819473607;FPS 830;Ford,Ericka N;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12750262719086008249;FPS 830;Jur,Jesse Stephen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
