Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12662493674780002698;FS 201;Luck,Paige J;90.00;6.67;2.92;0.00;0.42;98.48;88.58
14380877330756595557;FS 201;Watkins,Ruth H;59.69;24.08;6.28;4.19;5.76;92.37;82.77
5026800800228901259;FS 201;Harris,Gabriel Keith;75.82;15.57;6.56;0.82;1.23;96.15;86.39
13470675687503086161;FS 231;Salvi,Deepti;40.23;43.68;12.64;2.30;1.15;91.36;81.95
12162866003424517329;FS 231;Sandeep,KP;21.69;45.78;24.10;4.82;3.61;86.93;77.71
14068829806689757005;FS 231;Farkas,Brian E;39.13;17.39;24.64;13.04;5.80;86.49;77.10
14634135479131851812;FS 250;Stevenson,Clint;61.27;22.54;7.75;2.11;6.34;92.64;83.03
13360941515646682084;FS 290;Morrison,April Hix;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8624578593745909780;FS 290;Daubert,Christopher R;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2069163010599746683;FS 295;Stevenson,Clint;63.33;10.00;3.33;3.33;20.00;88.97;79.33
2969010462501908698;FS 301;Ash,Sarah L;50.00;50.00;0.00;0.00;0.00;94.50;85.00
17820573669523464517;FS 301;Fogleman,April;53.33;33.33;10.00;3.33;0.00;93.20;83.67
8576537326788546675;FS 301;Matsey,Gary John;59.38;25.00;9.38;0.00;6.25;92.72;83.13
4904429774112310305;FS 322;Hanson,Dana J.;43.33;30.00;20.00;3.33;3.33;90.10;80.67
5251504343153054956;FS 324;Allen,Jonathan C.;55.22;29.85;8.96;2.99;2.99;92.69;83.13
10021408404898373770;FS 330;Luck,Paige J;46.43;37.50;12.50;3.57;0.00;92.14;82.68
15023365935840426447;FS 350;Stevenson,Clint;48.89;31.11;8.89;8.89;2.22;91.04;81.56
6494226844323885152;FS 350;Turner,Lynn G.;89.47;10.53;0.00;0.00;0.00;98.84;88.95
14929430847647279046;FS 350;Hanson,Dana J.;51.16;25.58;4.65;2.33;16.28;88.81;79.30
8791278076172330739;FS 351;Stevenson,Clint;37.50;37.50;12.50;6.25;6.25;88.75;79.38
10108582652296690634;FS 351;Ward,Donn R.;71.43;14.29;0.00;0.00;14.29;92.57;82.86
14115214851241905155;FS 352;Stevenson,Clint;54.55;27.27;0.00;0.00;18.18;89.55;80.00
9109527209919081268;FS 352;Ward,Donn R.;90.91;9.09;0.00;0.00;0.00;99.00;89.09
5005889045515434365;FS 353;Stevenson,Clint;40.00;40.00;10.00;10.00;0.00;90.40;81.00
13185056522561872683;FS 353;Arritt III,Fletcher M;66.67;25.00;8.33;0.00;0.00;95.50;85.83
12291131464406663085;FS 353;Ward,Donn R.;73.91;13.04;0.00;0.00;13.04;93.22;83.48
16603542190808075161;FS 354;Stevenson,Clint;23.68;42.11;10.53;5.26;18.42;83.97;74.74
15333757031735911585;FS 354;Green,David Patrick;72.73;27.27;0.00;0.00;0.00;97.00;87.27
3285096325813097057;FS 401;Allen,Jonathan C.;28.57;57.14;14.29;0.00;0.00;90.71;81.43
7657600733295832536;FS 402;Zheng,Haotian;59.30;29.07;10.47;1.16;0.00;94.24;84.65
18387441371072099401;FS 402;Harris,Gabriel Keith;87.14;8.57;2.86;1.43;0.00;98.01;88.14
10906975277137471209;FS 402;Foegeding,Edward Allen;36.69;39.05;19.53;2.96;1.78;89.96;80.59
11154618554702766074;FS 403;Harris,Gabriel Keith;57.69;32.05;7.69;1.28;1.28;93.94;84.36
9627096320557032104;FS 405;Johnston,Lynette Marie;52.31;44.62;3.08;0.00;0.00;94.45;84.92
10853707422213968245;FS 405;Kathariou,Sophia;18.18;53.25;18.18;9.09;1.30;86.97;77.79
11700294214742828863;FS 405;Arritt III,Fletcher M;13.33;40.00;24.00;18.67;4.00;83.13;74.00
1165494162185715562;FS 405;Jaykus,Lee-Ann;19.35;45.16;19.35;9.68;6.45;85.32;76.13
6369055063959931009;FS 406;Johnston,Lynette Marie;85.71;14.29;0.00;0.00;0.00;98.43;88.57
11706209326682727416;FS 406;Jaykus,Lee-Ann;29.69;48.44;18.75;0.00;3.13;89.45;80.16
6769699333036081619;FS 406;Gutierrez Rodriguez,Eduardo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6715780306087399037;FS 416;Stevenson,Clint;51.14;37.50;7.95;1.14;2.27;92.92;83.41
12154484371854002300;FS 416;Daubert,Christopher R;44.64;19.64;28.57;7.14;0.00;89.63;80.18
16073042971362834637;FS 421;Hanson,Dana J.;26.53;61.22;8.16;4.08;0.00;90.29;81.02
8381164140769563928;FS 421;Johnston,Lynette Marie;86.96;13.04;0.00;0.00;0.00;98.57;88.70
1830569351601972096;FS 421;Arritt III,Fletcher M;33.33;60.00;6.67;0.00;0.00;92.00;82.67
15280884442422090053;FS 435;Stevenson,Clint;68.42;26.32;5.26;0.00;0.00;96.00;86.32
7821029977144569127;FS 471;Morrison,April Hix;69.49;22.03;6.78;1.69;0.00;95.63;85.93
407957410755715620;FS 475;Santos,Fernanda;90.79;9.21;0.00;0.00;0.00;98.99;89.08
6402769934466137222;FS 475;Harris,Gabriel Keith;91.89;5.41;2.70;0.00;0.00;98.84;88.92
3722829524813368713;FS 475;Lanier,Tyre C.;73.11;24.37;2.52;0.00;0.00;96.79;87.06
10469479139506513375;FS 475;Farkas,Brian E;71.43;28.57;0.00;0.00;0.00;96.86;87.14
14669842720685788535;FS 495E;Foegeding,Edward Allen;40.00;46.67;13.33;0.00;0.00;92.07;82.67
6832167335042308429;FS 501;Allen,Jonathan C.;73.08;19.23;7.69;0.00;0.00;96.27;86.54
6548334703276225378;FS 502;Zheng,Haotian;80.00;20.00;0.00;0.00;0.00;97.80;88.00
13059535365812072912;FS 502;Harris,Gabriel Keith;84.85;6.06;6.06;3.03;0.00;97.12;87.27
16931332176793128072;FS 502;Foegeding,Edward Allen;63.33;30.00;6.67;0.00;0.00;95.30;85.67
10166803053726649017;FS 505;Johnston,Lynette Marie;68.42;31.58;0.00;0.00;0.00;96.53;86.84
17581083605357379474;FS 505;Kathariou,Sophia;38.10;33.33;14.29;14.29;0.00;88.90;79.52
14862759795918317325;FS 505;Arritt III,Fletcher M;29.03;48.39;22.58;0.00;0.00;89.94;80.65
7776848586056711718;FS 506;Johnston,Lynette Marie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16055936843704887905;FS 506;Jaykus,Lee-Ann;73.33;26.67;0.00;0.00;0.00;97.07;87.33
12896492989657243197;FS 510;Lanier,Tyre C.;93.33;6.67;0.00;0.00;0.00;99.27;89.33
1862032534240895758;FS 516;Stevenson,Clint;82.14;17.86;0.00;0.00;0.00;98.04;88.21
9164613534113539974;FS 520;Gunter,Christopher;100.00;0.00;0.00;0.00;0.00;100.00;90.00
