Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15270206157643317916;FTD 104;Porterfield,Anne;88.37;10.47;1.16;0.00;0.00;98.60;88.72
17385570924855970189;FTD 104;Webster,Nancy Wilson;20.00;70.00;3.33;6.67;0.00;89.53;80.33
10562650678748286385;FTD 104;Chapman,Lisa P;31.25;62.50;6.25;0.00;0.00;91.81;82.50
9206145385623662335;FTD 105;Porterfield,Anne;89.87;10.13;0.00;0.00;0.00;98.89;88.99
13220050128616768004;FTD 105;Woodbridge,Janie Fleming;33.33;59.26;7.41;0.00;0.00;91.93;82.59
381832122034640219;FTD 105;Webster,Nancy Wilson;31.25;62.50;6.25;0.00;0.00;91.81;82.50
9701920869091995252;FTD 200;Nartker,Kate;88.37;9.30;2.33;0.00;0.00;98.49;88.60
12258068735467285441;FTD 200;Little,Trevor J.;53.85;46.15;0.00;0.00;0.00;94.92;85.38
9532637798669851280;FTD 200;Suh,Minyoung;69.23;23.08;7.69;0.00;0.00;95.85;86.15
9651419567517998696;FTD 200;Villarreal,Nicole  ;46.15;46.15;7.69;0.00;0.00;93.31;83.85
5221519677685048035;FTD 201;Lamar,Traci Ann May;77.63;18.42;3.95;0.00;0.00;97.14;87.37
14515005100833870980;FTD 215;Suh,Minyoung;45.65;41.30;10.87;2.17;0.00;92.50;83.04
1960835506813481783;FTD 215;Villarreal,Nicole  ;52.94;47.06;0.00;0.00;0.00;94.82;85.29
4608676729436329357;FTD 215;Foster,Karis R;37.50;56.25;6.25;0.00;0.00;92.50;83.13
536310717392143125;FTD 215;Xia,Sibei;70.37;25.93;3.70;0.00;0.00;96.37;86.67
10717668634121901112;FTD 215;West,Andre J;97.62;0.00;2.38;0.00;0.00;99.50;89.52
14765776818348924055;FTD 215;Annett-Hitchcock,Kate Emma;93.33;6.67;0.00;0.00;0.00;99.27;89.33
5011404438475352091;FTD 216;Singleton,Jessica Lache;75.00;12.50;6.25;0.00;6.25;94.75;85.00
18042876328410717858;FTD 216;Hwang,Chanmi Gloria;92.86;7.14;0.00;0.00;0.00;99.21;89.29
14446807304286820245;FTD 216;Law,Emily Candace;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1538889652563447780;FTD 216;Li,Jiayin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17730654144021949660;FTD 216;West,Andre J;93.48;6.52;0.00;0.00;0.00;99.28;89.35
3530113317529547180;FTD 216;Istook,Cynthia L;20.00;60.00;20.00;0.00;0.00;89.20;80.00
18163561641566481035;FTD 218;Altilmisani,Maram Mustafa;93.33;0.00;0.00;0.00;6.67;97.27;87.33
14288159999834587382;FTD 218;Slade,Marcela;94.87;5.13;0.00;0.00;0.00;99.44;89.49
16892749316724723843;FTD 218;Wagner,Anna Florence;75.00;25.00;0.00;0.00;0.00;97.25;87.50
10619493556617236688;FTD 218;Porterfield,Anne;96.55;3.45;0.00;0.00;0.00;99.62;89.66
4349517216013339230;FTD 218;Annett-Hitchcock,Kate Emma;59.26;33.33;7.41;0.00;0.00;94.78;85.19
4114785348349197450;FTD 218;Lamar,Traci Ann May;75.86;20.69;0.00;3.45;0.00;96.66;86.90
10351657683493478655;FTD 319;Annett-Hitchcock,Kate Emma;76.92;23.08;0.00;0.00;0.00;97.46;87.69
2683056851487357483;FTD 321;Singleton,Jessica Lache;85.71;7.14;7.14;0.00;0.00;97.71;87.86
15234037364313446132;FTD 321;Porterfield,Anne;80.00;17.14;2.86;0.00;0.00;97.51;87.71
16655934282311169970;FTD 321;Istook,Cynthia L;68.97;20.69;10.34;0.00;0.00;95.55;85.86
577040334066988775;FTD 373;Woodbridge,Janie Fleming;94.44;5.56;0.00;0.00;0.00;99.39;89.44
9237212741840168212;FTD 373;anderson,kim Suzanne;56.00;40.00;0.00;0.00;4.00;93.96;84.40
4278114227266824806;FTD 373;Powell,Nancy C.;52.00;48.00;0.00;0.00;0.00;94.72;85.20
2123562132969470840;FTD 373;Oxenham,William;60.00;40.00;0.00;0.00;0.00;95.60;86.00
17712256416861971759;FTD 374;Chapman,Lisa P;91.89;8.11;0.00;0.00;0.00;99.11;89.19
14175242229343956084;FTD 375;Nartker,Kate;75.00;19.44;5.56;0.00;0.00;96.69;86.94
6426529191635471146;FTD 375;Woodbridge,Janie Fleming;96.15;3.85;0.00;0.00;0.00;99.58;89.62
10986024477285452894;FTD 375;anderson,kim Suzanne;60.00;10.00;30.00;0.00;0.00;92.60;83.00
12499000875545334712;FTD 375;Powell,Nancy C.;76.47;23.53;0.00;0.00;0.00;97.41;87.65
4847714579261534694;FTD 376;Chapman,Lisa P;88.89;11.11;0.00;0.00;0.00;98.78;88.89
6161850898737732871;FTD 376;Powell,Nancy C.;47.37;52.63;0.00;0.00;0.00;94.21;84.74
9507897380262280785;FTD 419;Hwang,Chanmi Gloria;91.89;8.11;0.00;0.00;0.00;99.11;89.19
10548660567419182479;FTD 419;Little,Trevor J.;93.10;0.00;3.45;0.00;3.45;97.86;87.93
4867119330469192440;FTD 419;Annett-Hitchcock,Kate Emma;69.70;27.27;3.03;0.00;0.00;96.36;86.67
12474355492664708734;FTD 475;Woodbridge,Janie Fleming;91.89;8.11;0.00;0.00;0.00;99.11;89.19
4494229702471319811;FTD 475;Powell,Nancy C.;70.59;29.41;0.00;0.00;0.00;96.76;87.06
14155781654220240959;FTD 476;Chapman,Lisa P;89.19;10.81;0.00;0.00;0.00;98.81;88.92
12911722555712470286;FTD 479;Lamar,Traci Ann May;71.88;25.00;0.00;3.13;0.00;96.28;86.56
1992969581151963319;FTD 498;Law,Emily Candace;82.61;17.39;0.00;0.00;0.00;98.09;88.26
17408285204355999387;FTD 498;Suh,Minyoung;75.00;25.00;0.00;0.00;0.00;97.25;87.50
