Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12316373264112567514;FTM 217;Hood,Sara Lewis;85.51;14.49;0.00;0.00;0.00;98.41;88.55
16889282622239102304;FTM 217;Carter,Lonny Langston;78.57;20.00;0.00;1.43;0.00;97.36;87.57
40126692181669494;FTM 217;Leonas,Karen K.;31.72;48.92;17.74;1.61;0.00;90.39;81.08
14037959873777943803;FTM 217;Lin,Xiaohan;91.18;8.82;0.00;0.00;0.00;99.03;89.12
3725189864137666220;FTM 217;Godfrey,A. Blanton;87.60;11.63;0.78;0.00;0.00;98.56;88.68
2298630589105211219;FTM 217;Rothenberg,Lori Fay;60.31;32.06;6.11;0.76;0.76;94.64;85.04
14257994929503698075;FTM 217;Kwon,Cassandra;55.56;40.74;3.70;0.00;0.00;94.74;85.19
747197929499473926;FTM 217;McDonald,Michael Alexander;43.75;53.13;3.13;0.00;0.00;93.50;84.06
11326175632023349223;FTM 217;Gibson,Fay York;63.55;34.58;1.87;0.00;0.00;95.80;86.17
17386213718531084843;FTM 217;Suh,Minyoung;18.75;64.58;10.42;6.25;0.00;88.77;79.58
8153526785169119116;FTM 217;Devine,Genessa Marie;51.85;43.70;4.44;0.00;0.00;94.26;84.74
17071564179947143692;FTM 217;Lee,Hoon Joo;83.43;15.98;0.00;0.59;0.00;98.06;88.22
17241802131651896729;FTM 217;Powell,Nancy C.;35.48;64.52;0.00;0.00;0.00;92.90;83.55
882225231735419988;FTM 217;Hatch,Leslie Ann;71.88;21.88;4.69;1.56;0.00;96.13;86.41
8131529202158208752;FTM 217;Moore,Marguerite Murray;31.25;67.19;1.56;0.00;0.00;92.28;82.97
14614500932210383659;FTM 217;Hodge,George L;34.38;46.88;12.50;0.00;6.25;89.66;80.31
5951020196355287938;FTM 219;Singleton,Jessica Lache;47.46;38.98;8.47;1.69;3.39;92.02;82.54
320265755004985607;FTM 219;Barrios,Keysi Katlyn;72.41;6.90;10.34;6.90;3.45;93.52;83.79
14376938406844066909;FTM 219;Suh,Minyoung;14.04;64.91;14.04;5.26;1.75;87.56;78.42
