Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11129397129559755543;FW 221;Pacifici,Lara B;86.27;9.38;2.10;1.54;0.70;97.76;87.90
8738498318543900378;FW 221;Kays,Roland Wesley;75.06;18.58;3.31;2.04;1.02;96.21;86.46
11064179107665947662;FW 221;Moody,Tess;78.06;11.87;3.96;2.52;3.60;95.61;85.83
10821684185890530684;FW 221;Rieder,Erica;52.94;35.29;11.76;0.00;0.00;93.65;84.12
15470224432554758764;FW 221;Cooper,Caren;70.57;18.79;5.14;2.84;2.66;94.88;85.18
6868506824796148942;FW 221;Dorgeloh,Werner G;48.57;22.86;17.14;5.71;5.71;89.77;80.29
1312467035310806479;FW 221;Nielsen,Larry Andrew;65.34;20.10;10.57;2.95;1.04;94.23;84.58
3165389042925134526;FW 221;Peterson,Nils;20.45;42.05;31.82;4.55;1.14;86.82;77.61
14853382255307957751;FW 311;DePerno,Christopher S;60.00;30.00;10.00;0.00;0.00;94.60;85.00
7285841400918949036;FW 312;Cope,William Gregory;82.72;16.05;1.23;0.00;0.00;97.98;88.15
2670268115254280165;FW 312;Kwak,Tom;98.84;1.16;0.00;0.00;0.00;99.87;89.88
14160231913476246354;FW 313;Mihnovets,A. Nicole;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17589348755270688182;FW 313;Pacifici,Lara B;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3879030908046568094;FW 313;Peterson,Nils;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18131736444072097589;FW 313;DePerno,Christopher S;96.91;2.06;0.00;0.00;1.03;99.35;89.38
7148806803102267557;FW 314;Buckel,Jeffrey A.;95.12;4.88;0.00;0.00;0.00;99.46;89.51
12610095621458596927;FW 314;Miller,John M.;69.70;28.79;1.52;0.00;0.00;96.52;86.82
11935868622101744164;FW 333;Mali,Ivana;55.71;35.71;8.57;0.00;0.00;94.27;84.71
11269423271854354893;FW 333;Hess,George R.;71.96;26.17;0.93;0.93;0.00;96.64;86.92
15047520412457330961;FW 353;DePerno,Christopher S;51.01;38.62;8.36;1.73;0.29;93.34;83.83
9817872643566123436;FW 353;Lancia,Richard Angelo;21.68;53.85;18.88;2.80;2.80;88.10;78.88
4298907081539955120;FW 373;Pacifici,Lara B;66.30;22.65;9.39;1.10;0.55;94.97;85.30
5798578858019403818;FW 403;Katti,Madhusudan Vithal;85.71;11.43;1.43;0.00;1.43;97.86;88.00
11181867803963238380;FW 403;Peterson,Nils;41.46;43.90;12.20;0.00;2.44;91.61;82.20
15990161096840997261;FW 404;Moorman,Christopher E;44.49;40.82;10.61;2.45;1.63;91.85;82.41
3170055228198009162;FW 405;Moorman,Christopher E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15717215969066618160;FW 411;Peterson,Nils;49.82;35.79;10.53;2.46;1.40;92.52;83.02
11885839398280942103;FW 415;Mihnovets,A. Nicole;83.33;12.50;4.17;0.00;0.00;97.75;87.92
10531234011650564385;FW 415;Pacifici,Lara B;98.66;1.34;0.00;0.00;0.00;99.85;89.87
13286881918285115728;FW 444;Kays,Roland Wesley;52.27;36.36;9.09;1.14;1.14;93.27;83.75
2323634808087351249;FW 445;Peterson,Nils;95.45;4.55;0.00;0.00;0.00;99.50;89.55
9182209695607773811;FW 453;Pacifici,Krishna;38.57;44.29;9.29;5.00;2.86;90.46;81.07
12615766341721212968;FW 453;Mills,Luther Scott;9.52;40.48;38.10;11.90;0.00;83.86;74.76
12798026851832333022;FW 453;Gardner,Beth Ann;16.39;30.33;31.15;18.03;4.10;82.85;73.69
12441927939648627971;FW 453;DePerno,Christopher S;13.21;50.94;26.42;8.49;0.94;85.83;76.70
15631042968133649649;FW 460;Dorgeloh,Werner G;43.14;37.25;9.80;3.92;5.88;90.22;80.78
7285081288465064258;FW 465;Dorgeloh,Werner G;65.63;28.13;6.25;0.00;0.00;95.59;85.94
11597120480330683696;FW 492;Pacifici,Lara B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8515088136691695962;FW 495;Kierepka,Liz;72.34;21.28;4.26;2.13;0.00;96.11;86.38
459704783763980088;FW 495;Mali,Ivana;45.71;40.00;14.29;0.00;0.00;92.60;83.14
7093586390538478732;FW 495;Pacifici,Lara B;70.83;20.83;0.00;0.00;8.33;94.29;84.58
4053309468840315823;FW 495;Peterson,Nils;75.00;25.00;0.00;0.00;0.00;97.25;87.50
7557180924077054622;FW 495;Kays,Roland Wesley;29.63;55.56;14.81;0.00;0.00;90.78;81.48
9255101990442185949;FW 495;Palamar,Maria Baron;25.00;41.67;25.00;8.33;0.00;87.58;78.33
2965516226431320898;FW 495;Hess,George R.;22.22;72.22;5.56;0.00;0.00;90.89;81.67
17803602426547167786;FW 495;Rockhill,Aimee Pauline;39.13;43.48;8.70;8.70;0.00;90.70;81.30
13380831961801934985;FW 495;Nielsen,Larry Andrew;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17686498976922275973;FW 511;Peterson,Nils;90.00;10.00;0.00;0.00;0.00;98.90;89.00
15717172491951043537;FW 544;Kays,Roland Wesley;25.00;50.00;25.00;0.00;0.00;89.25;80.00
9280250164180941329;FW 553;Pacifici,Krishna;75.00;25.00;0.00;0.00;0.00;97.25;87.50
9253572095691412069;FW 560;Dorgeloh,Werner G;63.16;31.58;5.26;0.00;0.00;95.42;85.79
13605419320668452608;FW 595;Pacifici,Krishna;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12685306797909285281;FW 595;Kays,Roland Wesley;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16689182509546393697;FW 595;Moorman,Christopher E;81.82;18.18;0.00;0.00;0.00;98.00;88.18
12428601314659422570;FW 595;Katti,Madhusudan Vithal;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7717845646820432518;FW 595;Cooper,Caren;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15252336882517812175;FW 595;Hightower,Joseph E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4339897852444509414;FW 595;Gardner,Beth Ann;70.00;30.00;0.00;0.00;0.00;96.70;87.00
944481693710796988;FW 595;Mills,Luther Scott;80.00;20.00;0.00;0.00;0.00;97.80;88.00
2400091689701151604;FW 595;Brown,Robert D;71.43;28.57;0.00;0.00;0.00;96.86;87.14
10127858229534030004;FW 595;Nielsen,Larry Andrew;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1093510068230237015;FW 602;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17502976348456847752;FW 602;DePerno,Christopher S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6925290029135446836;FW 602;Peterson,Nils;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3603069542676627312;FW 610;DePerno,Christopher S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12979087241714059208;FW 693;Pacifici,Lara B;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13999497206618056680;FW 693;Larson,Lincoln Ray;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9854761970076362253;FW 693;Buckel,Jeffrey A.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1926552804363485130;FW 693;Katti,Madhusudan Vithal;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17279659965501626177;FW 693;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9875943888455068196;FW 695;Mali,Ivana;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14521993342420791180;FW 695;Kierepka,Liz;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9190066294881016647;FW 695;Peterson,Nils;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5732104236315724470;FW 695;Kennedy-Stoskopf,Suzanne;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8528500182082050372;FW 695;Cooper,Caren;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17500787136227212577;FW 695;DePerno,Christopher S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17605372972018910799;FW 695;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8783681024739218627;FW 696;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8910424730114660832;FW 699;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1081510636708047135;FW 726;Hightower,Joseph E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15812410676356476114;FW 730;Cooper,Caren;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14509986607441124940;FW 730;Stoskopf,Michael K.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13200681315613731014;FW 730;Lancia,Richard Angelo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18401471333663939742;FW 802;DePerno,Christopher S;0.00;0.00;0.00;0.00;0.00;0.00;0.00
98157199926077413;FW 802;Moorman,Christopher E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
