Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10510922939842759040;FYD 500;Huff,Nichole Langley;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4302762001107171983;FYD 500;Allen,Kimberly;60.00;40.00;0.00;0.00;0.00;95.60;86.00
8723727009282686940;FYD 500;Chapman,Benjamin;77.78;11.11;11.11;0.00;0.00;96.44;86.67
9966947845956105921;FYD 501;Allen,Kimberly;91.18;2.94;0.00;0.00;5.88;97.26;87.35
3422073990554674273;FYD 502;Huff,Nichole Langley;66.67;25.00;0.00;0.00;8.33;93.83;84.17
6907575608870013641;FYD 502;Behnke,Andrew O;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12085811606393796170;FYD 502;Allen,Kimberly;93.33;3.33;0.00;0.00;3.33;98.27;88.33
5875698184632089198;FYD 523;Bearon,Lucille B;50.00;50.00;0.00;0.00;0.00;94.50;85.00
1177826313971833094;FYD 523;Behnke,Andrew O;79.31;20.69;0.00;0.00;0.00;97.72;87.93
9084488066968474042;FYD 524;Bearon,Lucille B;81.25;18.75;0.00;0.00;0.00;97.94;88.13
10000680627632901705;FYD 531;Bird,Carolyn L.;88.46;7.69;3.85;0.00;0.00;98.35;88.46
17862761833950110254;FYD 533;Behnke,Andrew O;80.95;9.52;0.00;0.00;9.52;95.05;85.24
12045432586927663701;FYD 535;Hardison-Moody,Annie Margaret;71.43;28.57;0.00;0.00;0.00;96.86;87.14
4634682846396286499;FYD 535;Chapman,Benjamin;45.95;40.54;5.41;0.00;8.11;91.08;81.62
14136893439960423889;FYD 540;Kirby,Sarah D;76.92;23.08;0.00;0.00;0.00;97.46;87.69
15214991320046212378;FYD 543;Behnke,Andrew O;89.19;10.81;0.00;0.00;0.00;98.81;88.92
5981184720554613749;FYD 545;Allen,Kimberly;93.75;2.08;2.08;0.00;2.08;98.48;88.54
2743730191659861745;FYD 550;Downing,Mitzi Stumpf;84.62;7.69;0.00;0.00;7.69;96.00;86.15
16545123713599925992;FYD 550;Lloyd,Cheryl L.;88.89;11.11;0.00;0.00;0.00;98.78;88.89
10412872625305673302;FYD 552;Behnke,Andrew O;85.71;0.00;7.14;0.00;7.14;95.57;85.71
11057744842713440240;FYD 552;Safrit,Roger Dale;75.61;21.95;2.44;0.00;0.00;97.07;87.32
2190134337101065272;FYD 553;Allen,Kimberly;91.43;2.86;0.00;0.00;5.71;97.34;87.43
3456159311088483481;FYD 554;Behnke,Andrew O;75.00;18.75;0.00;0.00;6.25;95.38;85.63
260046881793165619;FYD 554;Downing,Mitzi Stumpf;96.77;0.00;0.00;0.00;3.23;98.68;88.71
6645033770459023400;FYD 556;Huff,Nichole Langley;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3028089937405164501;FYD 556;Guerdat,Kate Goossen;58.82;29.41;5.88;0.00;5.88;93.12;83.53
15917758227519573603;FYD 557;Edwards,Harriett C;76.47;11.76;0.00;0.00;11.76;93.88;84.12
6131670726030611809;FYD 558;Edwards,Harriett C;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13304826732944085217;FYD 559;Downing,Mitzi Stumpf;92.11;5.26;0.00;0.00;2.63;98.34;88.42
18350899196125266464;FYD 559;Allen,Kimberly;84.62;5.13;0.00;0.00;10.26;95.23;85.38
15794976422152891549;FYD 585;Huff,Nichole Langley;87.50;4.17;4.17;0.00;4.17;96.96;87.08
7927567235248046739;FYD 585;Safrit,Roger Dale;72.73;18.18;0.00;0.00;9.09;94.27;84.55
9960826704983324946;FYD 590;Hardison-Moody,Annie Margaret;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14752824021238687289;FYD 590;Huff,Nichole Langley;71.43;21.43;7.14;0.00;0.00;96.14;86.43
11757555731987501340;FYD 590;Edwards,Harriett C;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17121516196319378836;FYD 590;Kazan,Ana L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12823940775851955222;FYD 590;Allen,Kimberly;60.00;40.00;0.00;0.00;0.00;95.60;86.00
3233165590104098707;FYD 630;Allen,Kimberly;0.00;0.00;0.00;0.00;0.00;0.00;0.00
882415735859794150;FYD 630;Behnke,Andrew O;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15842676871803507062;FYD 630;Edwards,Harriett C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
