Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
9089331618698217094;GC 120;Bayati,Niloufar;72.22;19.84;4.76;3.17;0.00;95.83;86.11
9390680056865817036;GC 120;Munzer,Sam;69.70;23.48;3.03;3.03;0.76;95.53;85.83
6662735560905097355;GC 120;Sutton,Kevin Gregory;45.45;36.36;10.39;3.25;4.55;90.95;81.49
11653202745330816184;GC 120;Franzen,Marissa Marie Sloan;47.37;31.58;12.78;5.26;3.01;90.98;81.50
407789675795135804;GC 120;Schettig,Erik James;56.76;33.33;9.91;0.00;0.00;94.25;84.68
3226910881565361728;GC 120;Kelly,Daniel Patrick;55.30;28.79;9.85;3.79;2.27;92.66;83.11
136373019798472707;GC 120;Fahrer,Nolan Edward;65.09;26.42;7.55;0.00;0.94;95.12;85.47
15427039921621285877;GC 120;Kaskel,Joseph Matthew;60.71;24.29;11.43;2.86;0.71;93.75;84.14
8278766520381482183;GC 120;Denson,Cameron DeLeon;51.80;32.37;12.23;2.16;1.44;92.61;83.09
5303298060747436073;GC 120;Egresitz,Justin Charles;42.76;40.00;12.41;3.45;1.38;91.36;81.93
5754623291557884775;GC 120;Elias,Mariam  ;34.06;45.65;17.39;2.90;0.00;90.43;81.09
16487153203946318720;GC 120;Boakye,Chris;61.27;22.54;8.45;5.63;2.11;93.13;83.52
10494503311201252309;GC 120;Miller,Steven Leroy;63.95;25.58;5.81;0.00;4.65;94.06;84.42
1295832198715306879;GC 120;Coats,Teena  ;59.46;27.93;8.11;2.70;1.80;93.65;84.05
3577584453246595112;GC 120;Newby,Parks;55.56;35.71;3.97;0.00;4.76;93.29;83.73
12572371416480952055;GC 120;Lecorchick III,Douglas;70.93;20.35;4.65;2.33;1.74;95.35;85.64
17160816690180819648;GC 120;O'Keefe,Donald  ;42.59;51.85;1.85;3.70;0.00;92.76;83.33
16184086898483058119;GC 120;Williams,Shwanda Jones;60.71;30.95;6.55;1.19;0.60;94.61;85.00
18161569398124941025;GC 120;Clark,Aaron Catron;68.49;30.14;0.00;0.00;1.37;96.12;86.44
17362027077334780415;GC 120;Glimcher,Shelley Anne;65.88;24.12;7.65;2.35;0.00;95.01;85.35
12116407478426838816;GC 120;Ward,Erik Michael;44.00;34.40;13.60;3.20;4.80;90.40;80.96
2902153078158224334;GC 120;Pope,Patrick L;85.90;11.54;2.56;0.00;0.00;98.19;88.33
9560627930162090709;GC 120;Matthews,Brian;93.62;6.38;0.00;0.00;0.00;99.30;89.36
15008012950894878098;GC 120;Kelly Jr,Walter F;27.49;50.88;14.62;3.51;3.51;88.81;79.53
11414651631300074292;GC 120;Stoklosa,Rob F;89.66;8.05;2.30;0.00;0.00;98.63;88.74
18268685742668070486;GC 120;Branoff,Theodore J;48.94;42.55;8.51;0.00;0.00;93.53;84.04
11223737194404242792;GC 120;Shreve,Mark Anthony;51.14;38.64;10.23;0.00;0.00;93.60;84.09
13014069744709638627;GC 120;Wiebe,Eric N;51.90;41.77;3.80;0.00;2.53;93.57;84.05
10417895951612556338;GC 120;Scales,Alice Y;44.93;39.13;11.59;0.00;4.35;91.48;82.03
17365923338516881603;GC 120;McKee,William Patrick;80.25;16.05;3.70;0.00;0.00;97.46;87.65
6351039727275427191;GC 120;Carroll,Rodney Lee;63.83;34.04;2.13;0.00;0.00;95.81;86.17
9545912595342820950;GC 120;Freeman Jr,John F;57.63;38.98;3.39;0.00;0.00;95.00;85.42
9368995657888814759;GC 120;Carriker,Adam Warren;76.09;15.22;8.70;0.00;0.00;96.50;86.74
11610301530362633042;GC 250;Miller,Steven Leroy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11124679620066194284;GC 250;Fahrer,Nolan Edward;57.50;30.00;7.50;0.00;5.00;93.08;83.50
11395962363455905888;GC 250;Sutton,Kevin Gregory;51.39;33.33;11.11;1.39;2.78;92.43;82.92
7223355654867092687;GC 250;O'Keefe,Donald  ;50.00;31.82;0.00;0.00;18.18;89.05;79.55
8222657677952415389;GC 250;Matthews,Brian;88.14;5.08;5.08;0.00;1.69;97.68;87.80
18180278671404803122;GC 320;Newby,Parks;72.06;17.65;7.35;0.00;2.94;95.31;85.59
16143449218754590964;GC 320;Crow,Johnny L.;58.18;36.36;1.82;1.82;1.82;94.31;84.73
15064766330743239426;GC 320;Branoff,Theodore J;45.83;25.00;25.00;0.00;4.17;90.29;80.83
10089508107702130227;GC 330;Clark,Aaron Catron;91.18;4.41;1.47;1.47;1.47;98.15;88.24
12097465013194284014;GC 330;Franzen,Marissa Marie Sloan;75.38;13.85;4.62;3.08;3.08;95.29;85.54
1779592832753291880;GC 330;Sutton,Kevin Gregory;80.00;20.00;0.00;0.00;0.00;97.80;88.00
16452371650155913961;GC 330;Lecorchick III,Douglas;83.33;4.17;12.50;0.00;0.00;96.92;87.08
15002444464651104029;GC 340;Franzen,Marissa Marie Sloan;81.82;12.12;4.55;0.00;1.52;97.09;87.27
17524602748129708000;GC 340;Howe,John Westin;73.33;20.00;0.00;0.00;6.67;95.07;85.33
2532825830402229308;GC 340;Elias,Mariam  ;91.11;4.44;4.44;0.00;0.00;98.58;88.67
13089125684605145118;GC 340;Lecorchick III,Douglas;62.50;20.83;4.17;8.33;4.17;92.54;82.92
7504587506768812082;GC 340;Sutton,Kevin Gregory;76.81;11.59;5.80;4.35;1.45;95.57;85.80
14057636010781533821;GC 340;Kelly,Daniel Patrick;80.00;15.00;5.00;0.00;0.00;97.30;87.50
15455982166148851580;GC 340;Buelin-Biesecker,Jennifer Katherine;75.00;18.18;4.55;0.00;2.27;96.11;86.36
1041717046501037956;GC 340;Scales,Alice Y;57.63;30.51;6.78;1.69;3.39;93.31;83.73
12563771817950911779;GC 350;Newby,Parks;77.92;3.90;14.29;0.00;3.90;94.97;85.19
10612031942636706020;GC 350;Fahrer,Nolan Edward;46.38;39.13;10.14;1.45;2.90;91.93;82.46
4017228362802712520;GC 350;Branoff,Theodore J;28.75;43.75;17.50;2.50;7.50;87.66;78.38
15805812317343128700;GC 410;Scales,Alice Y;59.42;34.78;4.35;0.00;1.45;94.67;85.07
17418141989346237730;GC 420;Franzen,Marissa Marie Sloan;75.34;15.07;9.59;0.00;0.00;96.33;86.58
2544758844120187260;GC 420;Elias,Mariam  ;80.00;15.00;5.00;0.00;0.00;97.30;87.50
6876517868804620351;GC 420;Sutton,Kevin Gregory;59.38;21.88;10.94;0.00;7.81;92.09;82.50
5333443573825446866;GC 420;Crow,Johnny L.;95.45;4.55;0.00;0.00;0.00;99.50;89.55
18202068242098906469;GC 450;Newby,Parks;85.71;7.14;3.57;0.00;3.57;97.00;87.14
8970931844479972282;GC 450;Fahrer,Nolan Edward;77.55;16.33;6.12;0.00;0.00;96.92;87.14
13852384569694240274;GC 450;Branoff,Theodore J;50.00;41.43;7.14;1.43;0.00;93.50;84.00
