Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7462690870353795346;GD 200;Davis,Meredith Joy;22.88;34.18;24.86;9.32;8.76;84.54;75.31
16967164545362958981;GD 201;Fuller,Jarrett;69.57;26.09;4.35;0.00;0.00;96.22;86.52
913241699386692625;GD 201;Lopez Torres,Valeria;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4877591965806300181;GD 201;Chen,Liz;92.86;7.14;0.00;0.00;0.00;99.21;89.29
18343540214135650466;GD 201;Oh,David;93.33;6.67;0.00;0.00;0.00;99.27;89.33
18418376395185811280;GD 201;Townsend,Scott;95.92;4.08;0.00;0.00;0.00;99.55;89.59
1361803426434224027;GD 201;Ham,Derek Allen;91.11;8.89;0.00;0.00;0.00;99.02;89.11
9833093436901349843;GD 201;Hemstad,Rebecca Latimer;64.29;35.71;0.00;0.00;0.00;96.07;86.43
8751717545339054983;GD 201;Bailey,Kermit L;47.92;50.00;2.08;0.00;0.00;94.06;84.58
13512875582305488577;GD 201;Temple,William F.;64.71;35.29;0.00;0.00;0.00;96.12;86.47
13078328333843400606;GD 202;Oh,David;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17954986707229552862;GD 202;Chen,Liz;71.43;28.57;0.00;0.00;0.00;96.86;87.14
8585779687096159518;GD 202;Townsend,Scott;88.10;7.14;2.38;2.38;0.00;97.98;88.10
6529639146010267658;GD 202;Sener,Elif;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13944813500559742079;GD 202;Chi,Victoria;86.05;13.95;0.00;0.00;0.00;98.47;88.60
8037571715111827668;GD 202;Ham,Derek Allen;64.71;35.29;0.00;0.00;0.00;96.12;86.47
10144242295931129348;GD 202;Ceyhan,Pinar;69.23;30.77;0.00;0.00;0.00;96.62;86.92
5094662107938414990;GD 202;Littlejohn,Deborah K;78.57;21.43;0.00;0.00;0.00;97.64;87.86
16144540766544742844;GD 202;Scotford,Martha;62.50;37.50;0.00;0.00;0.00;95.88;86.25
18303592711986560840;GD 202;Howard,Amber Kristine;88.24;11.76;0.00;0.00;0.00;98.71;88.82
7851934038555618771;GD 202;Bailey,Kermit L;46.51;41.86;11.63;0.00;0.00;92.95;83.49
7329683539512327585;GD 202;Temple,William F.;58.82;38.24;2.94;0.00;0.00;95.18;85.59
706281435686407034;GD 203;Chi,Victoria;42.07;53.10;4.48;0.00;0.34;93.08;83.66
15156215283913722507;GD 203;Littlejohn,Deborah K;64.05;28.40;4.53;0.30;2.72;94.72;85.08
10693081287536172755;GD 203;Scotford,Martha;31.58;50.88;14.04;1.75;1.75;90.19;80.88
15942929179729451927;GD 210;Chi,Victoria;92.50;5.00;2.50;0.00;0.00;98.93;89.00
13224971837233219664;GD 210;Oh,David;86.67;13.33;0.00;0.00;0.00;98.53;88.67
16520225621639256385;GD 210;Gonzales Crisp,Denise;56.10;34.15;7.32;2.44;0.00;93.95;84.39
3348910825617638501;GD 210;Arceneaux Sutton,Tasheka Kiva;33.33;46.67;20.00;0.00;0.00;90.67;81.33
558252131902748632;GD 210;Ham,Derek Allen;75.76;22.73;1.52;0.00;0.00;97.18;87.42
9086199620258415227;GD 210;Peterson,Matthew O;72.73;27.27;0.00;0.00;0.00;97.00;87.27
15754830085116490488;GD 210;Townsend,Scott;73.33;24.44;2.22;0.00;0.00;96.84;87.11
82859766819930039;GD 210;Ceyhan,Pinar;54.55;45.45;0.00;0.00;0.00;95.00;85.45
6594111890254603715;GD 210;Bailey,Kermit L;56.82;38.64;4.55;0.00;0.00;94.80;85.23
10981112290940113175;GD 217;Fuller,Jarrett;87.50;12.50;0.00;0.00;0.00;98.63;88.75
1708847382247984790;GD 217;Rogers,Matt  ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15275736956065515064;GD 217;Oh,David;35.29;64.71;0.00;0.00;0.00;92.88;83.53
6467596007475932090;GD 217;Frohbose,Ann Katherine;92.31;7.69;0.00;0.00;0.00;99.15;89.23
16842370761344951450;GD 217;Grossi,Alexandra  ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4073158788886811470;GD 217;Chi,Victoria;65.12;34.88;0.00;0.00;0.00;96.16;86.51
3962838726143405154;GD 217;Bailey,Kermit L;80.00;20.00;0.00;0.00;0.00;97.80;88.00
8265931379989880978;GD 217;Gonzales Crisp,Denise;37.50;50.00;12.50;0.00;0.00;91.88;82.50
14491649375439243038;GD 217;Littlejohn,Deborah K;86.67;13.33;0.00;0.00;0.00;98.53;88.67
15765908920961655487;GD 217;Hall,Megan Moats;58.82;41.18;0.00;0.00;0.00;95.47;85.88
11865149081787342643;GD 217;Allen,Tania Leigh;50.00;50.00;0.00;0.00;0.00;94.50;85.00
5213640269328101730;GD 217;Temple,William F.;64.52;32.26;3.23;0.00;0.00;95.77;86.13
7121633302495432647;GD 217;Meaney,Kathleen Theresa;57.89;26.32;10.53;0.00;5.26;92.74;83.16
10760503456480241638;GD 217;Scotford,Martha;50.00;50.00;0.00;0.00;0.00;94.50;85.00
1472056901508087505;GD 292;Chi,Victoria;33.33;60.00;3.33;0.00;3.33;91.33;82.00
14206227288949150801;GD 301;Bailey,Kermit L;88.89;8.33;2.78;0.00;0.00;98.50;88.61
9251317327417354357;GD 301;Chi,Victoria;95.45;4.55;0.00;0.00;0.00;99.50;89.55
5235238348334152696;GD 301;Piedrafita Iglesias,Santiago J;68.04;29.90;2.06;0.00;0.00;96.28;86.60
6831951469500290078;GD 301;Davis,Meredith Joy;68.97;24.14;6.90;0.00;0.00;95.90;86.21
13274470092516505421;GD 303;Chi,Victoria;42.80;38.98;16.95;1.27;0.00;91.76;82.33
2114674282839882085;GD 303;Littlejohn,Deborah K;82.85;13.39;2.51;0.00;1.26;97.49;87.66
16859238515648616971;GD 303;Flinchum,Russell Alan;49.35;45.45;5.19;0.00;0.00;93.91;84.42
7347295665597372373;GD 303;Davis,Meredith Joy;29.17;33.75;22.08;9.17;5.83;86.42;77.13
17847697920511279799;GD 310;Peterson,Matthew O;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10099036449112139690;GD 310;Ham,Derek Allen;95.00;0.00;5.00;0.00;0.00;98.95;89.00
11138517935903870266;GD 310;Townsend,Scott;89.36;8.51;0.00;0.00;2.13;98.19;88.30
7131305564971237151;GD 310;Ceyhan,Pinar;53.57;39.29;7.14;0.00;0.00;94.18;84.64
17339135061250562027;GD 310;Piedrafita Iglesias,Santiago J;40.00;43.33;13.33;0.00;3.33;91.07;81.67
11281885162215314345;GD 310;Bailey,Kermit L;48.94;46.81;4.26;0.00;0.00;93.96;84.47
5477779234722909861;GD 310;Munro,Neil Silas M;64.29;35.71;0.00;0.00;0.00;96.07;86.43
10458903579775285298;GD 317;Bailey,Kermit L;48.84;39.53;6.98;2.33;2.33;92.51;83.02
17908235947391397973;GD 317;Oh,David;64.52;25.81;9.68;0.00;0.00;95.13;85.48
2338370586441579503;GD 317;Chi,Victoria;73.33;24.44;0.00;0.00;2.22;96.40;86.67
11922141443405792163;GD 317;Gonzales Crisp,Denise;56.52;39.13;4.35;0.00;0.00;94.78;85.22
18233316979819012897;GD 317;Hauber,Erin Kate;35.29;58.82;5.88;0.00;0.00;92.29;82.94
14439363815251240528;GD 317;Bean-Smith,Elizabeth Cady;37.50;37.50;18.75;0.00;6.25;89.38;80.00
10016136129309327918;GD 317;Meaney,Kathleen Theresa;77.42;19.35;3.23;0.00;0.00;97.19;87.42
9985449859204957904;GD 317;Scotford,Martha;25.93;70.37;3.70;0.00;0.00;91.48;82.22
11815533467984159611;GD 317;Temple,William F.;78.57;21.43;0.00;0.00;0.00;97.64;87.86
2827827930325638230;GD 342;Scotford,Martha;32.24;43.42;17.11;1.97;5.26;88.86;79.54
10812928865287322990;GD 400;Armstrong,Helen Saunders;97.56;2.44;0.00;0.00;0.00;99.73;89.76
16016132083272698136;GD 400;Fuller,Jarrett;96.30;3.70;0.00;0.00;0.00;99.59;89.63
15350758109881463651;GD 400;Oh,David;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14163463662839572851;GD 400;Bailey,Kermit L;72.97;27.03;0.00;0.00;0.00;97.03;87.30
12547349367976997997;GD 400;Utermohlen,Edwin P;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3776997883647542237;GD 400;Arceneaux Sutton,Tasheka Kiva;66.67;33.33;0.00;0.00;0.00;96.33;86.67
1682638172386405802;GD 400;Bordas,Clement;87.50;12.50;0.00;0.00;0.00;98.63;88.75
11509533883282880429;GD 400;Rigau,Alberto;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17486776351733261180;GD 400;Vuchnich,Robin;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15970171476570007306;GD 400;Gonzales Crisp,Denise;58.62;39.66;1.72;0.00;0.00;95.28;85.69
7282555227259490906;GD 400;Littlejohn,Deborah K;62.50;22.50;15.00;0.00;0.00;94.38;84.75
12879647035098803678;GD 400;Davis,Meredith Joy;62.50;37.50;0.00;0.00;0.00;95.88;86.25
1768366003200820632;GD 400;Scotford,Martha;65.06;31.33;3.61;0.00;0.00;95.80;86.14
12340494290854645513;GD 400;Buie,Tim;55.56;44.44;0.00;0.00;0.00;95.11;85.56
17489802181219771021;GD 400;Hall,Megan Moats;71.43;7.14;21.43;0.00;0.00;94.71;85.00
1024411913514529549;GD 400;Townsend,Scott;53.33;40.00;0.00;0.00;6.67;92.87;83.33
11454262874058825712;GD 400;Meaney,Kathleen Theresa;84.78;13.04;0.00;2.17;0.00;97.89;88.04
7005720681735997609;GD 400;Miranda Mendoza,Constanza Sofia;50.00;33.33;0.00;0.00;16.67;89.50;80.00
3496688450236261704;GD 400;Piedrafita Iglesias,Santiago J;60.87;34.78;4.35;0.00;0.00;95.26;85.65
4755497004694305709;GD 400;Munro,Neil Silas M;87.50;12.50;0.00;0.00;0.00;98.63;88.75
16423111667487686515;GD 401;Bailey,Kermit L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3837935776456641224;GD 401;Armstrong,Helen Saunders;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4506709898296501081;GD 401;Peterson,Matthew O;60.00;40.00;0.00;0.00;0.00;95.60;86.00
13909256851593577141;GD 401;Vuchnich,Robin;70.00;30.00;0.00;0.00;0.00;96.70;87.00
14936037080867515044;GD 401;Gonzales Crisp,Denise;60.87;34.78;4.35;0.00;0.00;95.26;85.65
18235480702663421387;GD 410;Townsend,Scott;73.91;26.09;0.00;0.00;0.00;97.13;87.39
1454041089889345961;GD 410;Armstrong,Helen Saunders;79.27;20.73;0.00;0.00;0.00;97.72;87.93
4587294263604179462;GD 410;Vuchnich,Robin;65.22;34.78;0.00;0.00;0.00;96.17;86.52
8829215453732322168;GD 410;Howard,Amber Kristine;85.42;12.50;0.00;2.08;0.00;97.98;88.13
6478396070263215389;GD 410;Crosby,Eric Robert;22.22;77.78;0.00;0.00;0.00;91.44;82.22
2191529384687930706;GD 410;Gonzales Crisp,Denise;93.33;6.67;0.00;0.00;0.00;99.27;89.33
15547853592940549267;GD 417;Oh,David;42.86;57.14;0.00;0.00;0.00;93.71;84.29
7999100304427154628;GD 417;Frohbose,Ann Katherine;71.43;28.57;0.00;0.00;0.00;96.86;87.14
1206188929636963020;GD 417;Chen,Liz;92.59;3.70;0.00;3.70;0.00;98.44;88.52
14503281484405241288;GD 417;Sener,Elif;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16255524814221562445;GD 417;Gonzales Crisp,Denise;50.62;46.91;2.47;0.00;0.00;94.32;84.81
377197496581206557;GD 417;Arceneaux Sutton,Tasheka Kiva;92.31;7.69;0.00;0.00;0.00;99.15;89.23
11090518129695761527;GD 417;Paine,Rachael L.;79.17;19.79;1.04;0.00;0.00;97.60;87.81
4454408547222558534;GD 417;Littlejohn,Deborah K;67.65;29.41;2.94;0.00;0.00;96.15;86.47
