Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6269401677467448065;GES 506;Gould,Fred L.;81.25;18.75;0.00;0.00;0.00;97.94;88.13
16002194865954359089;GES 508;Barnhill,Katie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17940313364718326639;GES 508;Delborne,Jason A.;95.00;5.00;0.00;0.00;0.00;99.45;89.50
1347760723010620926;GES 508;Goodwin,Jean;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10930915886692124506;GES 508;Booker,Matthew Morse;77.78;11.11;11.11;0.00;0.00;96.44;86.67
4371947284402640803;GES 591;Rodriguez-Ward,Dawn;87.50;12.50;0.00;0.00;0.00;98.63;88.75
15057677995056797066;GES 591;Gould,Fred L.;90.00;10.00;0.00;0.00;0.00;98.90;89.00
17421012898111181886;GES 591;Kuzma,Jennifer;95.00;5.00;0.00;0.00;0.00;99.45;89.50
5701224299994920038;GES 591;Reisig,Dominic Duane;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5103999171116306041;GES 591;Dhole,Sumit;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17191025863518914342;GES 591;Delborne,Jason A.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5781127333600580934;GES 591;Zering,Kelly D.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3919580942773325516;GES 591;Kuiken,Todd;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13464939333538868964;GES 591;Brown,Zachary Steven;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6477731945613842483;GES 591;Lloyd,Alun L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12900378581021621778;GES 591;Haenn,Nora M;57.14;42.86;0.00;0.00;0.00;95.29;85.71
6751570940716352983;GES 591;Godwin,John R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16839704434694118234;GES 591;Booker,Matthew Morse;85.71;14.29;0.00;0.00;0.00;98.43;88.57
