Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
16678941527587628735;GIS 205;Money,Eric;63.98;25.27;5.38;0.54;4.84;93.94;84.30
16174324247263924905;GIS 280;Supak,Stacy Kathleen;64.14;20.69;8.62;1.72;4.83;93.40;83.76
10994019283778124997;GIS 280;Kruskamp,Nicholas  ;68.18;18.18;0.00;4.55;9.09;92.86;83.18
7015784952214265380;GIS 280;Robinson,Elizabeth  ;56.06;31.82;10.61;0.00;1.52;93.65;84.09
3927139627103441106;GIS 295;Money,Eric;45.45;36.36;0.00;0.00;18.18;88.55;79.09
16109994227504729808;GIS 410;Supak,Stacy Kathleen;47.53;31.48;9.26;5.56;6.17;90.34;80.86
16894322978543864526;GIS 410;Cheshire,Heather Mcrae;61.67;25.00;8.89;1.11;3.33;93.67;84.06
13605260779351890881;GIS 495;Tulbure,Mirela;63.16;15.79;5.26;5.26;10.53;91.21;81.58
8991411134594126013;GIS 495;Tateosian,Laura Gray;66.67;16.67;0.00;0.00;16.67;91.33;81.67
9709608286833818278;GIS 501;Money,Eric;93.55;6.45;0.00;0.00;0.00;99.29;89.35
12771284738481283167;GIS 505;Smith,Jordan William;90.00;10.00;0.00;0.00;0.00;98.90;89.00
3366168128008266239;GIS 510;Supak,Stacy Kathleen;86.27;9.01;1.29;0.00;3.43;97.33;87.47
2953552736197114840;GIS 510;Singh,Kunwar K.;70.87;24.27;3.88;0.00;0.97;96.12;86.41
5212027069996005464;GIS 510;Cheshire,Heather Mcrae;83.89;11.41;0.67;1.34;2.68;97.09;87.25
16869270348627173380;GIS 512;Gray,Josh M;80.77;19.23;0.00;0.00;0.00;97.88;88.08
4700088066144369948;GIS 512;Casanova,Justyna;81.48;11.11;7.41;0.00;0.00;97.22;87.41
16895688541964076130;GIS 512;Thakar,Vaishnavi;87.04;5.56;3.70;0.00;3.70;97.09;87.22
7075865210949007322;GIS 512;Nelson,Stacy Arnold Charles;97.65;1.18;0.00;0.00;1.18;99.39;89.41
15828036598815434202;GIS 512;Cheshire,Heather Mcrae;90.91;9.09;0.00;0.00;0.00;99.00;89.09
3225534370069159756;GIS 515;Baran,Perver Korca;75.61;19.51;4.88;0.00;0.00;96.83;87.07
17940068546243415816;GIS 515;Zamani,Zahra  ;47.37;52.63;0.00;0.00;0.00;94.21;84.74
