Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7610647108681708202;GN 301;Gardner,Marian-Elizabeth B.;23.36;34.11;28.04;8.41;6.07;85.26;76.03
3748912454151202546;GN 311;Halweg,Chris;28.67;31.06;22.87;9.56;7.85;85.60;76.31
893878995431492645;GN 311;Jones,Whitney Mcrae;35.44;32.73;19.22;6.61;6.01;87.85;78.50
15217281011819570820;GN 311;Gardner,Marian-Elizabeth B.;17.51;25.99;27.12;12.43;16.95;80.64;71.47
13682731061583778570;GN 311;Barrier,Marianne;10.89;31.68;35.64;12.87;8.91;81.39;72.28
2261443922225711651;GN 311;Emigh,Ted H.;18.87;35.85;25.58;9.22;10.48;83.53;74.34
13118630872762617271;GN 311;Curtis,Stephanie E.;55.56;33.33;9.40;1.71;0.00;93.83;84.27
12363718643007571861;GN 311;Pederson,Julie Douglas;40.71;36.43;17.86;2.86;2.14;90.48;81.07
12934305871433509468;GN 311H;Thorne,Jeffrey L;56.41;33.33;7.69;2.56;0.00;93.92;84.36
15433751102230897416;GN 312;Droste,Emma  ;84.44;13.33;0.00;0.00;2.22;97.62;87.78
2834292442342260707;GN 312;Gordy,Claire Lee;94.74;5.26;0.00;0.00;0.00;99.42;89.47
13797086396207087148;GN 312;Little,Joy;86.76;4.41;1.47;0.00;7.35;96.19;86.32
1229617614133433020;GN 312;Halweg,Chris;50.00;39.58;10.42;0.00;0.00;93.46;83.96
15364981246513893197;GN 312;Jones,Whitney Mcrae;28.36;53.73;13.43;1.49;2.99;89.58;80.30
7017016093988498912;GN 312;Coppola,Christina Helen;23.08;30.77;26.92;11.54;7.69;84.23;75.00
4944993730548643405;GN 312;Wheatley,Randi Leigh;35.59;52.54;8.47;1.69;1.69;91.22;81.86
18141109555089962268;GN 312;McCormick,Denah Marie;23.40;51.06;19.15;6.38;0.00;88.38;79.15
7835716811300090377;GN 312;Grubbs,Nathaniel;26.67;51.11;20.00;0.00;2.22;89.27;80.00
10541671672495837598;GN 312;Rosario,Juan Bautista;43.48;34.78;17.39;2.17;2.17;90.96;81.52
2683188797823921371;GN 312;Ruedi,Elizabeth A;36.36;34.09;29.55;0.00;0.00;90.05;80.68
18422691824644497182;GN 412;Ruedi,Elizabeth A;29.79;46.81;19.15;4.26;0.00;89.51;80.21
302242170500197963;GN 412;Jones,Whitney Mcrae;42.86;48.57;7.14;0.00;1.43;92.57;83.14
4709097331312860656;GN 412;Halweg,Chris;31.25;53.13;9.38;6.25;0.00;90.25;80.94
11554944660266741304;GN 413;Spiker,Steven L.;17.65;47.06;20.59;11.76;2.94;85.65;76.47
17629069812212978061;GN 415;McMillan III,William Owen;67.65;29.41;2.94;0.00;0.00;96.15;86.47
1331275933472057103;GN 421;Little,Joy;88.27;6.70;2.23;0.00;2.79;97.65;87.77
15304557104522995769;GN 421;Gordy,Claire Lee;97.72;0.76;0.38;0.38;0.76;99.41;89.43
3889652986776278463;GN 421;Estes,Patricia A;41.98;39.69;14.50;3.05;0.76;91.33;81.91
1696626048500998837;GN 421;Barrier,Marianne;33.64;41.12;22.43;1.87;0.93;89.80;80.47
12379564636826216513;GN 421;Curtis,Stephanie E.;38.24;26.47;23.53;8.82;2.94;88.21;78.82
6220914147538482293;GN 421;Spiker,Steven L.;25.00;40.00;22.50;2.50;10.00;86.00;76.75
11179572743941928645;GN 423;Heil,Caiti;70.73;23.17;3.66;0.00;2.44;95.68;85.98
2896281415674477984;GN 423;Aylor,David Lawrence;57.50;31.25;10.00;0.00;1.25;93.95;84.38
10431945183078977430;GN 423;Emigh,Ted H.;54.00;35.00;5.00;1.00;5.00;92.74;83.20
