Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10956222416459576175;HA 201;Clark,Alexis;27.27;63.64;9.09;0.00;0.00;91.09;81.82
5045161149220595539;HA 201;Boyles,James C;44.44;37.37;12.12;2.02;4.04;91.06;81.62
3905635397142393656;HA 201;Spencer,Stephanie Laine;26.32;42.11;22.11;6.32;3.16;87.47;78.21
14784520389997660781;HA 201;Fox,Allison Leigh;16.32;53.14;25.52;0.84;4.18;86.82;77.66
8067978482559095025;HA 202;Clark,Alexis;30.56;47.92;15.97;0.00;5.56;89.10;79.79
16351973034997091821;HA 202;Boyles,James C;59.60;30.30;8.08;0.00;2.02;94.14;84.55
13475869260209651793;HA 202;Spencer,Stephanie Laine;10.10;30.30;23.23;9.09;27.27;77.79;68.69
6456093261438689958;HA 202;Peterson,Charles Murtagh;24.44;59.26;13.33;1.48;1.48;89.61;80.37
2532187404610761107;HA 203;Clark,Alexis;22.11;40.00;33.68;2.11;2.11;87.01;77.79
13014073545382736191;HA 203;Boyles,James C;50.78;31.25;9.38;3.91;4.69;91.46;81.95
10224542949772239465;HA 203;Day,Sarah L;51.97;40.61;4.37;1.75;1.31;93.54;84.02
11063696225363937787;HA 240;Freitag,Sandria B;30.00;32.86;20.00;5.71;11.43;85.73;76.43
2445548196925655671;HA 240;Spencer,Stephanie Laine;34.62;26.92;25.00;9.62;3.85;87.23;77.88
5815395513034284653;HA 298;Clark,Alexis;27.93;43.24;19.82;4.50;4.50;87.84;78.56
1449927028917959373;HA 298;Boyles,James C;51.04;35.42;5.21;3.13;5.21;91.91;82.40
13421227177725051197;HA 298;Guinness,Katherine Hunt;61.19;16.42;10.45;4.48;7.46;91.55;81.94
9733338693800876784;HA 298;Spencer,Stephanie Laine;29.79;27.66;25.53;10.64;6.38;85.68;76.38
9305039804361534627;HA 298;Day,Sarah L;46.34;39.02;7.32;0.00;7.32;91.17;81.71
3536779729106168542;HA 298;Fredrickson,Laurel Jean;26.03;41.10;23.29;5.48;4.11;87.21;77.95
10862270254740039224;HA 298;Dillon,Jennifer Reed;46.43;46.43;3.57;3.57;0.00;93.04;83.57
729212581886967213;HA 310;Spencer,Stephanie Laine;30.00;38.33;20.00;6.67;5.00;87.47;78.17
15434450351326150180;HA 395;Barnhardt,William Wilton;48.39;51.61;0.00;0.00;0.00;94.32;84.84
1318311683064525155;HA 401;Clark,Alexis;40.00;33.33;13.33;6.67;6.67;88.73;79.33
6861453950564298087;HA 401;Spencer,Stephanie Laine;53.57;28.57;10.71;3.57;3.57;92.04;82.50
451001276749127223;HA 404;Spencer,Stephanie Laine;37.50;33.33;16.67;8.33;4.17;88.54;79.17
13025337967384263102;HA 404;Peterson,Charles Murtagh;31.58;36.84;31.58;0.00;0.00;89.32;80.00
17139834155208792187;HA 410;Clark,Alexis;39.53;39.53;13.95;2.33;4.65;90.09;80.70
