Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5383158027933154810;HESA 214;Shuford,Ritchie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11970835113389608797;HESA 214;Almekinders,Sally Van Metre;75.00;8.33;16.67;0.00;0.00;95.58;85.83
8287568436931269166;HESA 214;Bullock-Allen,Stephanie;0.00;60.00;0.00;0.00;40.00;77.00;68.00
13737551415236351253;HESA 214;Harrington,Renee;75.00;0.00;0.00;0.00;25.00;89.75;80.00
5409175325696171931;HESA 214;Kagendo,Joy Ireri;94.44;5.56;0.00;0.00;0.00;99.39;89.44
6335441487762866692;HESA 214;Smith,Rex R.;57.14;14.29;28.57;0.00;0.00;92.43;82.86
13063681777490901122;HESA 215;Shuford,Ritchie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11113420316704176694;HESA 215;Kagendo,Joy Ireri;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4290901184607142620;HESA 215;Almekinders,Sally Van Metre;87.50;6.25;0.00;0.00;6.25;96.75;86.88
13479227488277931394;HESA 215;Lee,Jeong Dae;100.00;0.00;0.00;0.00;0.00;100.00;90.00
106885943314071056;HESA 215;Rever,Matthew J;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4328670410535051786;HESA 217;Brown,Henry L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1104587159888277182;HESA 221;Shuford,Ritchie;72.73;13.64;9.09;0.00;4.55;94.73;85.00
5652109608374342171;HESA 221;Cradit,Shawn Raye;68.18;22.73;4.55;0.00;4.55;94.68;85.00
17260103502720764976;HESA 221;Almekinders,Sally Van Metre;78.57;14.29;3.57;0.00;3.57;96.21;86.43
15652151491955428328;HESA 221;Lee,Jeong Dae;87.50;12.50;0.00;0.00;0.00;98.63;88.75
1785905969712125207;HESA 221;Kidd,Richard Henry;78.79;9.09;12.12;0.00;0.00;96.45;86.67
17307215082918386852;HESA 221;Brown,Henry L.;78.95;10.53;10.53;0.00;0.00;96.63;86.84
10052085890961140574;HESA 221;Rever,Matthew J;69.23;15.38;15.38;0.00;0.00;95.08;85.38
10942927366859433129;HESA 223;Rever,Matthew J;32.00;52.00;12.00;0.00;4.00;90.12;80.80
8075848389280052184;HESA 223;Roberts,Thomas Clay;0.00;33.33;66.67;0.00;0.00;82.33;73.33
2692109633383295873;HESA 223;Buckley,Amanda Leigh;0.00;100.00;0.00;0.00;0.00;89.00;80.00
13850837318510256007;HESA 226;Rever,Matthew J;73.33;13.33;0.00;13.33;0.00;94.40;84.67
808472382019620618;HESA 226;Brown,Henry L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12432785505127855583;HESA 227;Brown,Henry L.;71.43;28.57;0.00;0.00;0.00;96.86;87.14
