Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15867817693440187118;HESD 227;Kagendo,Joy Ireri;62.86;25.71;11.43;0.00;0.00;94.77;85.14
4869367685858524928;HESD 230;Belk,Autumn Mist;55.81;37.21;4.65;0.00;2.33;93.98;84.42
6914417533154324111;HESD 233;Lester,Marsha Runyon;92.86;0.00;0.00;7.14;0.00;97.79;87.86
9072680729689150180;HESD 234;Lester,Marsha Runyon;56.52;43.48;0.00;0.00;0.00;95.22;85.65
2275240923196272917;HESD 240;Kalb,Macy Renee;97.37;0.00;0.00;0.00;2.63;98.92;88.95
8329501705661923651;HESD 240;Domingue,Peggy S;82.76;17.24;0.00;0.00;0.00;98.10;88.28
2336561168622757228;HESD 240;Lester,Marsha Runyon;70.97;29.03;0.00;0.00;0.00;96.81;87.10
7425236671503606288;HESD 240;Belk,Autumn Mist;81.25;12.50;0.00;0.00;6.25;96.06;86.25
17777370532839519737;HESD 241;Domingue,Peggy S;65.22;17.39;17.39;0.00;0.00;94.43;84.78
2728679481605214776;HESD 263;Belk,Autumn Mist;88.64;9.09;2.27;0.00;0.00;98.52;88.64
13933758025590411643;HESD 263;Nicholas-Walker,Joan;92.31;7.69;0.00;0.00;0.00;99.15;89.23
4844605204627629427;HESD 263;Moore,Mandi Lynn;94.12;5.88;0.00;0.00;0.00;99.35;89.41
9163450021447539695;HESD 264;Nicholas-Walker,Joan;96.15;3.85;0.00;0.00;0.00;99.58;89.62
10878516384508573676;HESD 264;Fath,Beth Katherine Wright;89.13;4.35;4.35;0.00;2.17;97.72;87.83
3437131313061667885;HESD 265;Fath,Beth Katherine Wright;86.67;13.33;0.00;0.00;0.00;98.53;88.67
9884041529393161865;HESD 273;Kalb,Macy Renee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10299113268282143714;HESD 273;Nicholas-Walker,Joan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13969438582777386700;HESD 273;Moore,Mandi Lynn;87.50;12.50;0.00;0.00;0.00;98.63;88.75
8291507483485868183;HESD 273;Domingue,Peggy S;82.61;17.39;0.00;0.00;0.00;98.09;88.26
5978853754522156696;HESD 273;Fath,Beth Katherine Wright;86.05;6.98;2.33;4.65;0.00;97.30;87.44
8447965469862355601;HESD 274;Beasley,Amy Love;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8532232486487918629;HESD 274;Nicholas-Walker,Joan;97.73;0.00;2.27;0.00;0.00;99.52;89.55
10696091619395189472;HESD 274;Lucas,Raina;44.44;44.44;11.11;0.00;0.00;92.78;83.33
7624362773919845455;HESD 274;Belk,Autumn Mist;87.18;12.82;0.00;0.00;0.00;98.59;88.72
9289326088588294972;HESD 274;Ott,Francine Elizabeth;88.89;11.11;0.00;0.00;0.00;98.78;88.89
5795995873208784572;HESD 274;Fath,Beth Katherine Wright;97.37;0.00;2.63;0.00;0.00;99.45;89.47
831647581397622416;HESD 275;Nicholas-Walker,Joan;84.62;7.69;7.69;0.00;0.00;97.54;87.69
10768493766910102684;HESD 275;Belk,Autumn Mist;86.21;3.45;6.90;0.00;3.45;96.76;86.90
17967467168516631843;HESD 275;Fath,Beth Katherine Wright;92.86;0.00;7.14;0.00;0.00;98.50;88.57
3166295111913346728;HESD 280;Nicholas-Walker,Joan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
