Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10759938380568688762;HESE 300;Holden,Tommy;25.00;70.00;5.00;0.00;0.00;91.25;82.00
3384722197961940282;HESE 300;Houston,Sara Elizabeth;33.33;54.76;9.52;0.00;2.38;91.00;81.67
3770945475137192974;HESE 300;Renkiewicz,Ginny Kaplan;35.71;60.71;3.57;0.00;0.00;92.57;83.21
18422227638680082614;HESE 300;Miller,Gregory Wells;29.17;54.17;16.67;0.00;0.00;90.54;81.25
15029583951777648580;HESE 301;Renkiewicz,Ginny Kaplan;37.50;42.50;17.50;2.50;0.00;90.88;81.50
13200229846034277525;HESE 304;Renkiewicz,Ginny Kaplan;20.00;70.00;0.00;0.00;10.00;88.20;79.00
1875846075817037099;HESE 351;Holden,Tommy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15609760288431311975;HESE 351;Houston,Sara Elizabeth;41.79;50.75;1.49;0.00;5.97;91.66;82.24
8473672151661964634;HESE 351;Renkiewicz,Ginny Kaplan;61.76;29.41;5.88;0.00;2.94;94.32;84.71
15247988075705316952;HESE 351;Miller,Gregory Wells;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1695045786585600798;HESE 352;Houston,Sara Elizabeth;69.44;13.89;0.00;5.56;11.11;92.19;82.50
7209236725704517434;HESE 363;Renkiewicz,Ginny Kaplan;0.00;90.00;0.00;0.00;10.00;86.00;77.00
7976928696798254275;HESE 377;Renkiewicz,Ginny Kaplan;20.00;60.00;10.00;0.00;10.00;87.20;78.00
