Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5828736904757597035;HESF 100;Stegall,Joanna;93.62;6.38;0.00;0.00;0.00;99.30;89.36
14819583463397820155;HESF 100;Kagendo,Joy Ireri;50.00;37.50;3.13;0.00;9.38;91.38;81.88
15110907984462199325;HESF 100;Bullock-Allen,Stephanie;2.56;61.54;28.21;7.69;0.00;84.92;75.90
9347557626091397872;HESF 100;Domingue,Peggy S;86.54;13.46;0.00;0.00;0.00;98.52;88.65
2316944098382232449;HESF 100;Ball,Sarah Ashley;63.33;16.67;10.00;3.33;6.67;92.30;82.67
15208741149710274846;HESF 100;Kalb,Macy Renee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13974544159225676835;HESF 100;Harrington,Renee;52.27;31.82;11.36;0.00;4.55;92.25;82.73
15835632585190862632;HESF 101;Lee,Jeong Dae;59.02;31.15;6.56;0.00;3.28;93.85;84.26
17629764713512754313;HESF 101;Keith,Sandi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17071808052301357235;HESF 101;White,Ashley;67.44;25.58;2.33;4.65;0.00;95.26;85.58
5519626616166293660;HESF 101;Bechtolt,Randall N;79.31;13.79;6.90;0.00;0.00;97.03;87.24
1307874110728215991;HESF 101;Watson,Brenda I;41.18;38.24;17.65;2.94;0.00;91.18;81.76
10918287207034640980;HESF 101;Williams,Suzanne;92.11;5.26;1.32;0.00;1.32;98.61;88.68
7715977000096324454;HESF 101;Loflin,Jerry W.;0.00;0.00;0.00;0.00;100.00;59.00;50.00
5748108479071923553;HESF 101;Cradit,Shawn Raye;69.77;18.60;9.30;0.00;2.33;95.05;85.35
2921025729769038579;HESF 101;Kagendo,Joy Ireri;75.00;19.64;3.57;0.00;1.79;96.36;86.61
5561973013047203869;HESF 101;Beatty,Mark Alexander;63.33;30.00;3.33;3.33;0.00;94.97;85.33
3542465677489628967;HESF 101;Thompson,Marcus;25.86;46.55;20.69;6.90;0.00;88.40;79.14
1802674541599329808;HESF 101;Dang,William Q.;60.00;10.00;15.00;5.00;10.00;90.10;80.50
12189759070152176877;HESF 101;Harrington,Renee;55.32;23.40;10.64;2.13;8.51;91.04;81.49
194201117325434189;HESF 101;Moennich,Kevin Daniel;25.00;35.00;20.00;5.00;15.00;84.25;75.00
11185491983481343715;HESF 101;Lewis,Kari Kamile;52.46;29.51;8.20;8.20;1.64;91.82;82.30
16376763702722688272;HESF 101;DeReu,Darrin W.;44.90;34.69;8.16;0.00;12.24;89.45;80.00
7267398225381669250;HESF 101;Powers,Paul Nathan;22.64;45.28;18.87;1.89;11.32;85.83;76.60
9377048530291496650;HESF 101;Conner,David Alan;66.04;24.53;3.77;3.77;1.89;94.57;84.91
2294894851996632373;HESF 101;Stegall,Joanna;63.89;30.56;4.17;0.00;1.39;95.19;85.56
13232150002556273042;HESF 101;Howard,Keith;88.89;0.00;0.00;0.00;11.11;95.44;85.56
13232861416299235662;HESF 101;Rever,Matthew J;50.00;37.50;12.50;0.00;0.00;93.25;83.75
1198699148293487585;HESF 101;Kidd,Richard Henry;21.05;47.37;21.05;10.53;0.00;87.11;77.89
15440502188732922800;HESF 101;Ryckman,Stephanie Lynn;30.00;50.00;20.00;0.00;0.00;90.30;81.00
13459809200177843468;HESF 101;Dash,Terence S;44.44;44.44;11.11;0.00;0.00;92.78;83.33
11972673098635016119;HESF 101;Schneider,Scott Randall;0.00;100.00;0.00;0.00;0.00;89.00;80.00
14778081244388715241;HESF 101;Remen,Edward S.;90.91;9.09;0.00;0.00;0.00;99.00;89.09
10640403623076895158;HESF 101;Shuford,Ritchie;33.33;66.67;0.00;0.00;0.00;92.67;83.33
11827442167325228330;HESF 101;Chen,Han;33.33;66.67;0.00;0.00;0.00;92.67;83.33
3588146186057113334;HESF 102;Loflin,Jerry W.;20.00;50.00;30.00;0.00;0.00;88.20;79.00
15240643107079069624;HESF 102;Keith,Sandi;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10764518257558182798;HESF 102;Koutroumpis,Peter;0.00;45.83;54.17;0.00;0.00;83.58;74.58
16243145802305195220;HESF 102;Ball,Sarah Ashley;43.75;18.75;16.67;5.21;15.63;86.42;76.98
9742468873181933650;HESF 102;Shuford,Ritchie;14.29;42.86;19.05;23.81;0.00;83.90;74.76
15343492116476292235;HESF 102;Domingue,Peggy S;68.00;28.00;4.00;0.00;0.00;96.08;86.40
17942780562933054244;HESF 102;Stegall,Joanna;51.22;31.71;17.07;0.00;0.00;92.93;83.41
2469509775600775632;HESF 102;Lester,Marsha Runyon;20.51;35.90;35.90;0.00;7.69;85.36;76.15
13030442088745297187;HESF 102;Powers,Paul Nathan;33.33;30.00;20.00;6.67;10.00;86.33;77.00
129850927624431723;HESF 102;Conner,David Alan;59.42;18.84;13.04;7.25;1.45;92.35;82.75
16240141246516257422;HESF 102;Brown,Henry L.;45.45;43.18;6.82;0.00;4.55;91.95;82.50
3647413649966973406;HESF 102;Horne,Juanita;59.46;27.03;8.11;0.00;5.41;93.11;83.51
13269169830418866029;HESF 102;Rever,Matthew J;12.12;18.18;36.36;18.18;15.15;78.52;69.39
17088519459321472489;HESF 102;Krotee,March Lee;63.64;36.36;0.00;0.00;0.00;96.00;86.36
11870165922506531297;HESF 103;Beatty,Mark Alexander;57.14;28.57;7.14;0.00;7.14;92.43;82.86
15484606001133533204;HESF 103;Kalb,Macy Renee;97.62;2.38;0.00;0.00;0.00;99.74;89.76
15023704947312602504;HESF 103;Cradit,Shawn Raye;88.46;11.54;0.00;0.00;0.00;98.73;88.85
11946474845617843570;HESF 103;Bullock-Allen,Stephanie;31.58;68.42;0.00;0.00;0.00;92.47;83.16
4893492851483967911;HESF 103;Williams,Suzanne;72.92;18.75;6.25;2.08;0.00;95.98;86.25
15125122113792354095;HESF 103;Domingue,Peggy S;45.00;45.00;10.00;0.00;0.00;92.95;83.50
13499932196266160473;HESF 103;Ball,Sarah Ashley;60.00;26.67;0.00;6.67;6.67;92.27;82.67
3017881404522490172;HESF 103;Lester,Marsha Runyon;0.00;63.64;27.27;0.00;9.09;83.55;74.55
16613011450666743634;HESF 103;Harrington,Renee;83.33;16.67;0.00;0.00;0.00;98.17;88.33
11350342314908854960;HESF 103;Ryckman,Stephanie Lynn;61.54;23.08;15.38;0.00;0.00;94.23;84.62
13767611481494040813;HESF 103;Kagendo,Joy Ireri;70.00;30.00;0.00;0.00;0.00;96.70;87.00
2806387581447554745;HESF 103;Belk,Autumn Mist;75.00;25.00;0.00;0.00;0.00;97.25;87.50
822635950122550652;HESF 103;Stegall,Joanna;78.26;17.39;4.35;0.00;0.00;97.17;87.39
9010872134750251990;HESF 103;Buckley,Amanda Leigh;38.10;52.38;9.52;0.00;0.00;92.24;82.86
8383396029378441164;HESF 104;Shuford,Ritchie;0.00;80.00;0.00;0.00;20.00;83.00;74.00
15359263055050570807;HESF 104;Beatty,Mark Alexander;50.00;41.67;8.33;0.00;0.00;93.67;84.17
14941812458468077585;HESF 104;Rever,Matthew J;25.00;50.00;25.00;0.00;0.00;89.25;80.00
11727184121730728159;HESF 104;Harrington,Renee;43.75;20.83;12.50;12.50;10.42;86.94;77.50
13202963082471898889;HESF 104;Brown,Henry L.;65.00;25.00;0.00;0.00;10.00;93.15;83.50
15466584832743543340;HESF 104;Powers,Paul Nathan;77.78;16.67;5.56;0.00;0.00;97.00;87.22
6541807630688487315;HESF 104;Kidd,Richard Henry;60.00;40.00;0.00;0.00;0.00;95.60;86.00
8515084404637150899;HESF 104;Roberts,Thomas Clay;38.46;46.15;15.38;0.00;0.00;91.69;82.31
13268216542881221933;HESF 104;Ryckman,Stephanie Lynn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12239487523991889844;HESF 105;Kalb,Macy Renee;97.53;2.47;0.00;0.00;0.00;99.73;89.75
643923192220371331;HESF 105;Watson,Brenda I;37.04;40.74;18.52;3.70;0.00;90.48;81.11
10429311754731449250;HESF 105;Domingue,Peggy S;55.29;38.82;1.18;2.35;2.35;93.79;84.24
9144515148036659746;HESF 105;Ball,Sarah Ashley;65.75;20.55;6.85;4.11;2.74;93.90;84.25
6393462060159799431;HESF 105;Bullock-Allen,Stephanie;12.50;45.83;29.17;0.00;12.50;83.71;74.58
16987453097168083866;HESF 105;Thompson,Marcus;46.88;37.50;12.50;0.00;3.13;91.97;82.50
13802926869660410901;HESF 105;Kagendo,Joy Ireri;57.41;40.74;1.85;0.00;0.00;95.13;85.56
7201366004494296100;HESF 105;Harrington,Renee;63.64;30.30;3.03;0.00;3.03;94.79;85.15
1805058888749497352;HESF 105;Williams,Suzanne;68.75;25.00;0.00;0.00;6.25;94.69;85.00
2176911239918365126;HESF 105;Stegall,Joanna;82.61;17.39;0.00;0.00;0.00;98.09;88.26
4768055769497886396;HESF 105;Ryckman,Stephanie Lynn;66.67;27.78;5.56;0.00;0.00;95.78;86.11
13356233532264317638;HESF 105;Belk,Autumn Mist;80.00;20.00;0.00;0.00;0.00;97.80;88.00
4261820799181815712;HESF 105;Lewis,Kari Kamile;16.67;66.67;0.00;0.00;16.67;85.83;76.67
16952200532472970905;HESF 105;Buckley,Amanda Leigh;25.00;50.00;25.00;0.00;0.00;89.25;80.00
7258008696619284719;HESF 106;Harrington,Renee;84.09;11.36;4.55;0.00;0.00;97.80;87.95
10796355067720191032;HESF 106;Almekinders,Sally Van Metre;83.33;5.56;5.56;0.00;5.56;95.94;86.11
12154959447311577305;HESF 106;Powers,Paul Nathan;66.67;33.33;0.00;0.00;0.00;96.33;86.67
11117617902557628274;HESF 107;Watson,Brenda I;25.71;37.14;25.71;0.00;11.43;85.83;76.57
9604206964578102785;HESF 107;Stegall,Joanna;94.12;5.88;0.00;0.00;0.00;99.35;89.41
14147207387136716184;HESF 107;Loflin,Jerry W.;28.57;47.62;14.29;4.76;4.76;88.33;79.05
1165310316744530149;HESF 107;White,Ashley;45.83;37.50;6.25;4.17;6.25;90.71;81.25
18182581187782816636;HESF 107;Crye,David;64.29;20.00;14.29;0.00;1.43;94.21;84.57
13404177668027407067;HESF 107;Hendricks,Chris;47.73;43.18;6.82;0.00;2.27;92.89;83.41
6186702689990296266;HESF 107;DeReu,Darrin W.;67.39;17.39;4.35;2.17;8.70;92.93;83.26
3803400798941298849;HESF 107;Holden,Tommy;34.21;34.21;13.16;2.63;15.79;86.18;76.84
6884471443518059313;HESF 107;Schneider,Scott Randall;54.67;37.33;6.67;0.00;1.33;93.95;84.40
11722540976144636295;HESF 107;Dang,William Q.;82.22;13.33;4.44;0.00;0.00;97.60;87.78
6070383924581961615;HESF 107;Harrington,Renee;74.60;20.63;3.17;0.00;1.59;96.41;86.67
13827350108282669361;HESF 107;Powers,Paul Nathan;34.38;43.75;6.25;0.00;15.63;87.47;78.13
13965249513782872412;HESF 107;Lewis,Kari Kamile;27.78;55.56;11.11;0.00;5.56;89.28;80.00
6667299764661608097;HESF 107;Kidd,Richard Henry;40.00;20.00;20.00;6.67;13.33;86.07;76.67
