Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15070596149776759860;HESM 202;Koutroumpis,Peter;63.75;16.25;13.75;2.50;3.75;93.01;83.38
14578907843245492501;HESM 202;Williamson,Debra P.;25.58;34.88;30.23;4.65;4.65;86.47;77.21
13844976727302573407;HESM 203;Cradit,Shawn Raye;71.79;25.64;2.56;0.00;0.00;96.64;86.92
9897243500701792768;HESM 203;Howard,Keith;38.46;46.15;13.46;1.92;0.00;91.50;82.12
12370224012863719480;HESM 204;Koutroumpis,Peter;58.33;27.08;2.08;4.17;8.33;91.88;82.29
12928763508654288526;HESM 204;Powers,Paul Nathan;25.71;37.14;22.86;8.57;5.71;86.11;76.86
15305339962131836792;HESM 207;Keith,Sandi;62.07;31.03;3.45;0.00;3.45;94.45;84.83
1345226585278902972;HESM 211;Watson,Brenda I;9.26;16.67;29.63;22.22;22.22;75.94;66.85
760233614352919967;HESM 211;Beatty,Mark Alexander;11.90;54.76;30.95;0.00;2.38;86.50;77.38
15021887920469507906;HESM 211;Montcalm,Angie M;22.22;44.44;25.00;0.00;8.33;86.44;77.22
13838889464960665710;HESM 212;Harrington,Renee;40.00;40.00;18.46;1.54;0.00;91.25;81.85
13384144624764035517;HESM 212;Ousley,Christopher Scott;43.18;34.09;13.64;2.27;6.82;89.89;80.45
17999802866751622864;HESM 212;Austin,Christopher L;68.89;22.22;8.89;0.00;0.00;95.69;86.00
4000602352954457903;HESM 213;Ousley,Christopher Scott;52.46;32.79;13.11;1.64;0.00;93.13;83.61
12389949879258727047;HESM 214;Holden,Tommy;95.24;4.76;0.00;0.00;0.00;99.48;89.52
330084814723715567;HESM 214;Morais,Susanne Dubrouillet;71.05;21.05;7.89;0.00;0.00;96.03;86.32
6205701223928738321;HESM 214;Attarian PhD,Aram;46.67;46.67;0.00;6.67;0.00;92.80;83.33
672261488844690318;HESM 215;Morais,Susanne Dubrouillet;57.89;31.58;10.53;0.00;0.00;94.32;84.74
18360612280687250652;HESM 215;Attarian PhD,Aram;84.62;7.69;7.69;0.00;0.00;97.54;87.69
10449841054940463488;HESM 216;Holden,Tommy;73.53;14.71;8.82;2.94;0.00;95.62;85.88
8037417037447046924;HESM 275;Watson,Brenda I;84.62;7.69;7.69;0.00;0.00;97.54;87.69
16374083234566850490;HESM 275;Lee,Jeong Dae;82.76;13.79;1.72;0.00;1.72;97.41;87.59
