Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1866980442693312989;HESO 253;Conner,David Alan;40.74;40.74;14.81;0.00;3.70;90.89;81.48
2824583026941841359;HESO 253;Evans,Thomas William;23.81;61.90;9.52;4.76;0.00;89.71;80.48
8068565230841538475;HESO 255;Crye,David;50.00;42.86;7.14;0.00;0.00;93.79;84.29
13558338187915920607;HESO 255;Holden,Tommy;92.86;7.14;0.00;0.00;0.00;99.21;89.29
17997432481789810502;HESO 255;Dash,Terence S;52.63;42.11;0.00;0.00;5.26;93.21;83.68
10581501038651106125;HESO 255;Hendricks,Chris;72.22;22.22;5.56;0.00;0.00;96.39;86.67
11135807255337385544;HESO 255;Schneider,Scott Randall;85.71;14.29;0.00;0.00;0.00;98.43;88.57
16530747567888195449;HESO 257;Hendricks,Chris;96.77;3.23;0.00;0.00;0.00;99.65;89.68
10610136730493700530;HESO 257;Crye,David;90.91;4.55;4.55;0.00;0.00;98.55;88.64
2141751817522660144;HESO 257;Schneider,Scott Randall;88.46;3.85;7.69;0.00;0.00;97.96;88.08
2238540857646485934;HESO 257;Holden,Tommy;93.75;6.25;0.00;0.00;0.00;99.31;89.38
10955688153546260622;HESO 258;Schneider,Scott Randall;97.14;2.86;0.00;0.00;0.00;99.69;89.71
6912636268920805138;HESO 258;Hendricks,Chris;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7230270852129464781;HESO 258;Crye,David;90.32;3.23;6.45;0.00;0.00;98.29;88.39
8487803984431606901;HESO 258;Dash,Terence S;42.86;57.14;0.00;0.00;0.00;93.71;84.29
11340436080523373505;HESO 258;Holden,Tommy;82.76;13.79;3.45;0.00;0.00;97.76;87.93
17386054820140339917;HESO 259;Hendricks,Chris;86.96;8.70;4.35;0.00;0.00;98.13;88.26
17022500492448551639;HESO 259;Crye,David;85.00;10.00;0.00;0.00;5.00;96.85;87.00
6992824434996225539;HESO 259;Schneider,Scott Randall;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2306450934258053767;HESO 259;Dash,Terence S;36.84;57.89;0.00;0.00;5.26;91.47;82.11
7698293606981200668;HESO 262;Dash,Terence S;33.33;58.33;8.33;0.00;0.00;91.83;82.50
5715949452667568937;HESO 263;Dash,Terence S;71.43;28.57;0.00;0.00;0.00;96.86;87.14
17445592272048313576;HESO 276;Dash,Terence S;37.50;56.25;0.00;0.00;6.25;91.25;81.88
13732210978484029619;HESO 277;Holden,Tommy;74.19;22.58;3.23;0.00;0.00;96.84;87.10
5750230828967459678;HESO 278;Dash,Terence S;0.00;80.00;20.00;0.00;0.00;87.00;78.00
1505515659981971923;HESO 281;Schneider,Scott Randall;46.67;40.00;6.67;6.67;0.00;92.13;82.67
7712260326121345143;HESO 283;Schneider,Scott Randall;91.67;0.00;0.00;0.00;8.33;96.58;86.67
11230828768940149377;HESO 283;Dash,Terence S;37.50;62.50;0.00;0.00;0.00;93.13;83.75
12150381831431262710;HESO 284;Holden,Tommy;91.67;8.33;0.00;0.00;0.00;99.08;89.17
