Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11520188312564034111;HESR 242;Lee,Jeong Dae;45.71;51.43;2.86;0.00;0.00;93.74;84.29
4651626445413887740;HESR 242;Shuford,Ritchie;30.00;70.00;0.00;0.00;0.00;92.30;83.00
10585779911631465825;HESR 242;Loflin,Jerry W.;0.00;70.59;17.65;5.88;5.88;84.29;75.29
3099027354221965662;HESR 242;Koutroumpis,Peter;3.45;68.97;24.14;0.00;3.45;85.93;76.90
14665477389934651786;HESR 242;Horne,Juanita;80.00;20.00;0.00;0.00;0.00;97.80;88.00
1485185504365942359;HESR 242;White,Ashley;0.00;100.00;0.00;0.00;0.00;89.00;80.00
4782998019945501367;HESR 242;Conner,David Alan;20.00;35.00;35.00;5.00;5.00;85.20;76.00
12906785372005075041;HESR 242;Howard,Keith;80.00;20.00;0.00;0.00;0.00;97.80;88.00
17996351588222609997;HESR 242;Remen,Edward S.;75.00;12.50;0.00;0.00;12.50;93.50;83.75
18275385553804137246;HESR 248;Conner,David Alan;0.00;66.67;33.33;0.00;0.00;85.67;76.67
201499600203155614;HESR 249;Keith,Sandi;96.00;4.00;0.00;0.00;0.00;99.56;89.60
7745929128569099645;HESR 249;Dang,William Q.;73.08;11.54;7.69;3.85;3.85;94.35;84.62
2553835331178454940;HESR 249;Cheek,William A.;55.10;28.57;14.29;0.00;2.04;93.02;83.47
8691117328451000758;HESR 249;Conner,David Alan;62.86;25.71;8.57;0.00;2.86;94.20;84.57
6602732535028482449;HESR 249;Remen,Edward S.;71.43;28.57;0.00;0.00;0.00;96.86;87.14
15161200003641351587;HESR 249;Moennich,Kevin Daniel;45.83;37.50;12.50;0.00;4.17;91.54;82.08
6355516245382106104;HESR 249;White,Ashley;50.00;50.00;0.00;0.00;0.00;94.50;85.00
18244754228897332884;HESR 250;Conner,David Alan;50.00;40.91;4.55;0.00;4.55;92.68;83.18
8193870606406259468;HESR 255;White,Ashley;69.23;26.92;3.85;0.00;0.00;96.23;86.54
1018701404176918641;HESR 255;Bullock-Allen,Stephanie;14.29;46.43;35.71;3.57;0.00;86.29;77.14
6939064864881031372;HESR 255;Loflin,Jerry W.;13.33;33.33;33.33;13.33;6.67;82.47;73.33
8872587052543890927;HESR 255;Horne,Juanita;82.86;17.14;0.00;0.00;0.00;98.11;88.29
10568276738395504773;HESR 255;Conner,David Alan;75.00;25.00;0.00;0.00;0.00;97.25;87.50
2800552066663998194;HESR 255;Remen,Edward S.;64.71;29.41;0.00;0.00;5.88;94.35;84.71
3831019934132756603;HESR 256;White,Ashley;37.50;58.33;4.17;0.00;0.00;92.71;83.33
17793261933332100767;HESR 256;Shuford,Ritchie;12.50;37.50;37.50;12.50;0.00;84.13;75.00
9489564888953530584;HESR 256;Keith,Sandi;77.78;22.22;0.00;0.00;0.00;97.56;87.78
11416390868661864275;HESR 256;Loflin,Jerry W.;33.33;26.67;26.67;13.33;0.00;87.33;78.00
3999718705454324292;HESR 256;DeReu,Darrin W.;66.67;33.33;0.00;0.00;0.00;96.33;86.67
2486774030130765751;HESR 256;Horne,Juanita;87.50;12.50;0.00;0.00;0.00;98.63;88.75
1372329624368526927;HESR 256;Remen,Edward S.;71.43;28.57;0.00;0.00;0.00;96.86;87.14
3239198344141405861;HESR 256;Thompson,Marcus;33.33;66.67;0.00;0.00;0.00;92.67;83.33
7957057741761979052;HESR 256;Howard,Keith;63.64;36.36;0.00;0.00;0.00;96.00;86.36
1504893934374616505;HESR 256;Ousley,Christopher Scott;66.67;28.57;4.76;0.00;0.00;95.86;86.19
2689879109025355806;HESR 256;Roberts,Thomas Clay;17.65;64.71;17.65;0.00;0.00;89.18;80.00
157772254255398612;HESR 256;Krotee,March Lee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
1680050893400784526;HESR 256;Evans,Thomas William;20.00;60.00;20.00;0.00;0.00;89.20;80.00
8236970138909433858;HESR 256;Moennich,Kevin Daniel;50.00;12.50;12.50;0.00;25.00;85.75;76.25
11777998821511926489;HESR 256;Smith,Rex R.;33.33;33.33;33.33;0.00;0.00;89.33;80.00
