Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6067844714296439446;HESS 219;Belk,Autumn Mist;77.27;13.64;4.55;0.00;4.55;95.68;85.91
2189816759132450542;HESS 230;Stegall,Joanna;71.58;24.21;3.16;0.00;1.05;96.24;86.53
2522003922042215628;HESS 230;Beasley,Amy Love;95.24;4.76;0.00;0.00;0.00;99.48;89.52
16968405246447205420;HESS 230;Kalb,Macy Renee;98.77;1.23;0.00;0.00;0.00;99.86;89.88
10316075271688563801;HESS 230;Harrington,Renee;71.83;26.76;0.00;0.00;1.41;96.48;86.76
13935006362810441699;HESS 230;Ward-Hutchinson,Betsy;98.00;0.00;2.00;0.00;0.00;99.58;89.60
2704990929548525594;HESS 230;Fath,Beth Katherine Wright;70.37;24.07;3.70;1.85;0.00;96.00;86.30
12852383899511888801;HESS 230;Belk,Autumn Mist;44.83;41.38;6.90;0.00;6.90;91.17;81.72
16197053018386502664;HESS 235;Pollard,Gary Wayne;66.67;0.00;0.00;0.00;33.33;86.33;76.67
11898949187936143611;HESS 237;Beatty,Mark Alexander;28.57;42.86;28.57;0.00;0.00;89.29;80.00
757963195525942742;HESS 237;Bechtolt,Randall N;77.05;18.03;1.64;0.00;3.28;96.33;86.56
2546262708573994478;HESS 237;Thompson,Marcus;24.39;34.15;19.51;14.63;7.32;84.61;75.37
17504311626949993096;HESS 237;Harrington,Renee;83.33;11.11;5.56;0.00;0.00;97.61;87.78
491041373740286042;HESS 237;Watson,Brenda I;63.41;26.83;9.76;0.00;0.00;95.00;85.37
438417598819146297;HESS 237;White,Ashley;55.00;40.00;2.50;0.00;2.50;94.05;84.50
6603881892608488496;HESS 237;Shuford,Ritchie;44.44;33.33;11.11;11.11;0.00;90.56;81.11
16688474043432444755;HESS 237;Lewis,Kari Kamile;41.67;31.25;16.67;4.17;6.25;89.21;79.79
13947883714232139837;HESS 237;Lee,Jeong Dae;32.61;47.83;8.70;2.17;8.70;88.67;79.35
397616577028622293;HESS 237;Kagendo,Joy Ireri;83.33;16.67;0.00;0.00;0.00;98.17;88.33
15456622467685269876;HESS 237;Pollard,Gary Wayne;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16646986777350965756;HESS 239;Shuford,Ritchie;15.79;63.16;21.05;0.00;0.00;88.63;79.47
13407209529857124283;HESS 239;Bullock-Allen,Stephanie;25.00;59.38;15.63;0.00;0.00;90.19;80.94
16757050457195182403;HESS 239;Lee,Jeong Dae;52.38;35.71;9.52;2.38;0.00;93.33;83.81
17909917156356978303;HESS 239;Ousley,Christopher Scott;76.47;22.06;1.47;0.00;0.00;97.26;87.50
7454746235180243088;HESS 243;Kidd,Richard Henry;37.50;56.25;3.13;3.13;0.00;92.19;82.81
16985550844584718314;HESS 243;DeReu,Darrin W.;52.00;38.00;6.00;4.00;0.00;93.32;83.80
