Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12709127279774028336;HEST 216;Williams,Suzanne;80.00;20.00;0.00;0.00;0.00;97.80;88.00
1550156744120049420;HEST 216;Dang,William Q.;84.62;10.26;5.13;0.00;0.00;97.79;87.95
4662708354151480577;HEST 216;Koutroumpis,Peter;39.29;39.29;17.86;0.00;3.57;90.46;81.07
16600052593704821678;HEST 216;Shuford,Ritchie;57.69;38.46;3.85;0.00;0.00;94.96;85.38
7138160196875202237;HEST 261;Moennich,Kevin Daniel;72.22;19.44;2.78;2.78;2.78;95.28;85.56
7331636652730764104;HEST 261;Keith,Sandi;83.33;11.11;5.56;0.00;0.00;97.61;87.78
4149871239592881842;HEST 261;Bechtolt,Randall N;58.33;38.89;2.78;0.00;0.00;95.14;85.56
8830901167162340902;HEST 261;Kidd,Richard Henry;12.12;54.55;30.30;0.00;3.03;86.39;77.27
2190928688002531570;HEST 261;Koutroumpis,Peter;39.29;50.00;10.71;0.00;0.00;92.25;82.86
5143911404450605827;HEST 261;Bullock-Allen,Stephanie;48.00;44.00;8.00;0.00;0.00;93.48;84.00
8799353492414491077;HEST 261;Howard,Keith;50.00;50.00;0.00;0.00;0.00;94.50;85.00
15563482113106437551;HEST 265;Shuford,Ritchie;88.89;11.11;0.00;0.00;0.00;98.78;88.89
3720448065783047153;HEST 265;Kidd,Richard Henry;45.45;33.33;15.15;0.00;6.06;90.67;81.21
4953230834867503634;HEST 265;Bechtolt,Randall N;72.41;24.14;3.45;0.00;0.00;96.62;86.90
9558201368330694619;HEST 265;Howard,Keith;88.57;8.57;0.00;0.00;2.86;97.89;88.00
2592276994355267417;HEST 266;Bechtolt,Randall N;70.27;29.73;0.00;0.00;0.00;96.73;87.03
9574580068803625256;HEST 266;Ousley,Christopher Scott;61.29;35.48;3.23;0.00;0.00;95.42;85.81
10213453999276285318;HEST 267;Cradit,Shawn Raye;59.38;15.63;12.50;7.81;4.69;91.31;81.72
8008529729579844489;HEST 267;Bechtolt,Randall N;82.50;17.50;0.00;0.00;0.00;98.08;88.25
18390862012733136865;HEST 267;Howard,Keith;88.24;11.76;0.00;0.00;0.00;98.71;88.82
16074366263952173531;HEST 269;Kagendo,Joy Ireri;86.27;3.92;7.84;0.00;1.96;97.12;87.25
18105003371321770888;HEST 269;Stegall,Joanna;97.30;2.70;0.00;0.00;0.00;99.70;89.73
7655214340990946534;HEST 269;Shuford,Ritchie;68.75;21.88;6.25;0.00;3.13;95.00;85.31
5484259975751395279;HEST 269;Bullock-Allen,Stephanie;50.00;38.46;3.85;3.85;3.85;92.19;82.69
4767328968020272210;HEST 269;Moennich,Kevin Daniel;68.18;31.82;0.00;0.00;0.00;96.50;86.82
1348018164271465962;HEST 270;Kagendo,Joy Ireri;75.00;16.67;8.33;0.00;0.00;96.42;86.67
