Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15479487198848535400;HI 205;Dunstan III,William Edward;58.04;25.00;11.61;3.57;1.79;92.97;83.39
4634490738485948167;HI 207;Paulette,Tate Sewell;75.25;15.84;4.95;2.97;0.99;95.89;86.14
7199343286993313618;HI 207;Rogers,Jordan Reed;38.71;35.48;14.52;11.29;0.00;89.55;80.16
281609900253023165;HI 207;Devereaux,Bret C;39.38;42.49;9.84;3.11;5.18;90.17;80.78
9618459985662926044;HI 207;Morgan,Daniel;28.17;52.58;10.33;3.29;5.63;88.72;79.44
8158474439169181253;HI 207;Raleigh,Peter Joseph;78.13;17.19;3.13;1.56;0.00;96.97;87.19
17414927369046697361;HI 207;Moss,Gabriel;69.57;24.15;2.90;0.48;2.90;95.40;85.70
12985979876360264856;HI 207;Holman,Lindsay  ;29.23;43.08;13.85;6.15;7.69;87.29;78.00
12781837569425694999;HI 207;Grossman,Kathryn Mary;20.00;41.43;24.29;4.29;10.00;84.91;75.71
15655685492990755796;HI 207;Parker,S. Thomas;29.87;42.42;18.18;4.33;5.19;88.04;78.74
12450359855390126381;HI 207;Blackwell,Nicholas G;30.52;39.44;15.96;9.86;4.23;87.52;78.22
8034769473989413989;HI 207;Brown,Stephanie Hope;56.92;32.31;7.69;3.08;0.00;93.88;84.31
6894959009791681587;HI 207;Dixon,Helen Marie;54.81;33.65;8.65;2.88;0.00;93.59;84.04
2932147615548154785;HI 207;Kent,Patrick Alan;13.83;47.87;28.72;6.38;3.19;85.41;76.28
8511618166703689683;HI 207;Wheeler,Everett Lynn;14.29;17.86;42.86;10.71;14.29;79.86;70.71
451102652033276707;HI 207;Sack,Ronald H.;8.33;53.79;31.82;5.30;0.76;85.45;76.36
8296749282413767679;HI 207;Darby,Robert N;21.74;34.78;23.19;14.49;5.80;84.43;75.22
14522579473176983041;HI 207;Detreville,Debra J.;12.12;50.00;28.79;4.55;4.55;85.18;76.06
2273807075042808763;HI 208;VanVleck,Philip C;35.44;44.30;10.76;3.80;5.70;89.35;80.00
10213163313232005405;HI 208;Morgan,Daniel;22.87;56.38;13.30;1.60;5.85;88.11;78.88
9874721891674009890;HI 208;Mell,Julie;54.50;25.59;7.11;1.42;11.37;90.59;81.04
9538260006557277383;HI 208;Pumphrey,Carolyn W;29.17;45.83;18.75;2.08;4.17;88.67;79.38
541059596857815552;HI 208;Perros,Helen C.;36.84;52.63;7.37;0.00;3.16;91.37;82.00
6581433653962076688;HI 208;Kasper-Marienberg,Verena Ines;54.39;21.05;5.26;5.26;14.04;89.19;79.65
22266905692691494;HI 208;Riddle,John M.;21.05;31.58;26.32;7.02;14.04;83.07;73.86
285195861349660745;HI 208;Bell,Gregory Donald;18.06;72.22;9.72;0.00;0.00;90.01;80.83
11856436200200906870;HI 209;VanVleck,Philip C;31.82;50.91;10.00;2.73;4.55;89.59;80.27
1993590576917997345;HI 209;Rakosnik PhD,Jakub;46.67;53.33;0.00;0.00;0.00;94.13;84.67
12871228733073352823;HI 209;Weber,Steven Robert;38.97;52.21;7.35;0.00;1.47;92.11;82.72
11310429878440359032;HI 209;Kasper-Marienberg,Verena Ines;49.65;41.13;6.38;0.00;2.84;92.97;83.48
15543534696881389541;HI 209;Luria,Keith Phillip;60.78;31.37;5.88;0.00;1.96;94.51;84.90
2642549842847814202;HI 209;Rudolph,Julia E;22.40;53.65;14.06;5.21;4.69;87.61;78.39
9488115532067822964;HI 209;Ludington,Charles C.;38.60;45.61;15.79;0.00;0.00;91.67;82.28
508164432603118965;HI 210;Vincent,Steven;25.79;32.63;25.79;4.21;11.58;84.94;75.68
17237209406326217370;HI 210;Strote,Noah B;44.95;41.41;11.11;1.01;1.52;92.18;82.73
1265110904673571068;HI 210;Vardanyan,Gevorg;80.00;20.00;0.00;0.00;0.00;97.80;88.00
11663226624209743727;HI 210;Robinson,Nathanael D;40.00;55.79;1.05;1.05;2.11;92.45;83.05
8177913513706568330;HI 210;Smith,Holly  ;83.05;15.25;1.69;0.00;0.00;97.97;88.14
5319624677370660468;HI 210;Ludington,Charles C.;31.17;54.55;12.99;0.00;1.30;90.74;81.43
4229604549430405177;HI 210;Ort,Thomas W;21.07;51.09;20.82;4.36;2.66;87.56;78.35
3335054912032606445;HI 210;Brandom,Eric Wendeborn;22.58;51.61;22.58;3.23;0.00;88.58;79.35
15316491066750360330;HI 210;Owre,Maximilian Paul;12.07;55.17;25.00;5.17;2.59;86.02;76.90
2328188422696452309;HI 210;Minsky,Amir;11.11;28.40;37.04;7.41;16.05;80.22;71.11
15244856379269369455;HI 214;McGill,Alicia Ebbitt;54.29;30.00;10.71;1.43;3.57;92.54;83.00
2718871384457780643;HI 215;Robins,Nicholas A;57.14;33.33;8.33;0.00;1.19;94.10;84.52
7770823778201692117;HI 215;Butler,Robert W.;35.90;35.90;20.51;5.13;2.56;89.10;79.74
4775335910235477512;HI 216;Freitas,Frederico;35.32;42.29;15.42;2.99;3.98;89.55;80.20
14658370174875277034;HI 216;Robins,Nicholas A;42.99;47.66;6.54;0.00;2.80;92.23;82.80
11798822395033111810;HI 216;Slatta,Richard Wayne;52.63;33.83;6.77;0.75;6.02;92.16;82.63
1881611288644610829;HI 216;Balloffet,Lily Graessle;44.44;38.89;16.67;0.00;0.00;92.22;82.78
11497175970850682725;HI 216;Butler,Robert W.;35.56;38.89;21.11;4.44;0.00;89.91;80.56
3682144998345756759;HI 216Q;Slatta,Richard Wayne;45.45;36.36;9.09;0.00;9.09;90.36;80.91
14016785717802511336;HI 217;Jones,Ebony P.;60.30;30.15;8.04;0.50;1.01;94.43;84.82
4309992600468137381;HI 221;Sirota,Brent S;59.89;31.64;5.65;1.13;1.69;94.29;84.69
7598402541975984550;HI 221;Finn,Amanda Elledge;17.65;70.59;5.88;0.00;5.88;88.59;79.41
858088173460065784;HI 221;Ludington,Charles C.;17.14;52.14;24.29;2.14;4.29;86.74;77.57
2144162214292036739;HI 222;Ludington,Charles C.;37.08;47.19;11.24;2.25;2.25;90.83;81.46
6128103722854123021;HI 222;Sirota,Brent S;44.63;29.94;18.64;2.82;3.95;90.29;80.85
12938626799307376149;HI 222;Slatta,Richard Wayne;65.22;34.78;0.00;0.00;0.00;96.17;86.52
11529873983665604767;HI 232;Freitag,Sandria B;35.09;42.11;14.91;5.26;2.63;89.53;80.18
11690374443741034391;HI 232;Vencel,Wendy Hannah;62.16;32.43;5.41;0.00;0.00;95.30;85.68
123133529385305100;HI 232;Luria,Keith Phillip;56.59;33.52;4.95;2.75;2.20;93.52;83.96
10691616292535256607;HI 232;Gilmartin,David P.;21.05;60.53;15.79;2.63;0.00;89.21;80.00
12392879953963085300;HI 232;Cherry,Haydon Leslie;11.63;47.67;31.40;4.65;4.65;84.81;75.70
9040576999457136952;HI 232;Khater,Akram F;11.86;54.24;27.12;3.39;3.39;85.90;76.78
15970573790081410924;HI 233;Vincent,Kimberly;37.21;32.56;22.48;3.88;3.88;88.91;79.53
6206764653139135798;HI 233;Beyers,Criss;64.10;28.21;2.56;2.56;2.56;94.51;84.87
16220410970607305151;HI 233;Hosseininasab,Shima;55.77;36.54;4.81;0.00;2.88;93.79;84.23
2323536564229220906;HI 233;Ambaras,David R;42.22;25.56;25.56;2.22;4.44;89.31;79.89
8163473859724906050;HI 233;Baez Calderon,Raiza Denise;53.70;29.63;11.11;0.00;5.56;92.13;82.59
14299319789928658268;HI 233;Paige-Lovingood,Mandy;60.71;30.36;7.14;0.00;1.79;94.43;84.82
11030342493954079767;HI 233;Boan,Jason;86.49;13.51;0.00;0.00;0.00;98.51;88.65
5361952090173324357;HI 233;Surh,Gerald;20.83;48.96;25.00;3.13;2.08;87.54;78.33
17885218909805221830;HI 233;Limbert,Mandana Esther;23.36;38.79;18.22;12.62;7.01;85.12;75.89
13562989940689651981;HI 233;Robins,Nicholas A;25.00;36.11;25.00;11.11;2.78;86.19;76.94
12718917697065165539;HI 233;McKay,Joanne;19.23;46.15;15.38;3.85;15.38;84.19;75.00
9177963370404303653;HI 233;Wisser,William M;32.81;46.88;14.06;3.13;3.13;89.64;80.31
18030943175399510230;HI 233;Sheftall,Mark D;44.12;41.18;8.82;2.94;2.94;91.50;82.06
1516829496840075534;HI 233Q;Sheftall,Mark D;33.33;52.38;14.29;0.00;0.00;91.24;81.90
2136595696094409533;HI 240;Freitag,Sandria B;19.57;39.13;19.57;7.61;14.13;83.43;74.24
13301862659006456425;HI 240;Spencer,Stephanie Laine;34.55;41.82;12.73;3.64;7.27;88.62;79.27
9808777200460033286;HI 251;Crisp,James E.;28.32;53.98;14.16;1.77;1.77;89.81;80.53
14098162808307412666;HI 251;Wils,James;75.44;17.54;1.75;0.00;5.26;95.54;85.79
13375075209598401479;HI 251;Bailey,Sylvia;53.85;38.46;2.56;5.13;0.00;93.64;84.10
14523256968213282260;HI 251;Friend,Craig T;22.81;52.09;17.49;4.18;3.42;87.90;78.67
5809483734429121611;HI 251;Cherry,Megan L;34.50;49.00;11.50;2.00;3.00;90.35;81.00
13411101846029732671;HI 251;Kertesz,Judy;43.75;45.54;3.57;0.89;6.25;91.40;81.96
3835308447272116466;HI 251;Hampton,Monte;10.89;36.63;32.67;12.87;6.93;82.28;73.17
16544634082270940286;HI 251;Lee,Susanna M;13.56;44.07;28.25;7.34;6.78;84.16;75.03
11728490442356528582;HI 251;Gustke,Nancy L;73.77;24.59;1.64;0.00;0.00;96.95;87.21
579551775280860526;HI 251;Roberts,James William;20.00;46.67;24.44;2.22;6.67;86.31;77.11
2211010505932272969;HI 251;Johnson,Karen K;15.38;47.25;28.57;7.69;1.10;85.97;76.81
2141766928541857784;HI 251;Matthews PhD,Marty Dale;15.57;63.11;14.75;2.46;4.10;87.52;78.36
17926803763188392632;HI 251;Kickler,Troy L;10.94;56.25;28.13;4.69;0.00;86.45;77.34
7131856289146712388;HI 251;Barker,James M;49.18;42.62;4.92;0.00;3.28;92.93;83.44
11594597347048564846;HI 251;Cortina,Christina;45.83;37.50;16.67;0.00;0.00;92.38;82.92
1976707083888612219;HI 251;Brewer,Holly;18.75;59.38;15.63;0.00;6.25;87.63;78.44
5980719715605798180;HI 251Q;Gustke,Nancy L;70.00;30.00;0.00;0.00;0.00;96.70;87.00
12674646456287622343;HI 252;Vilbert,Lauren Olivia;97.44;2.56;0.00;0.00;0.00;99.72;89.74
9243771216216243542;HI 252;Pruden,Caroline Keller;44.79;39.58;9.38;2.08;4.17;91.32;81.88
5315356740188199566;HI 252;Mitchell,Nancy;23.60;32.58;26.40;7.30;10.11;84.46;75.22
2505052154141013407;HI 252;Gordon,Tammrah S;17.14;48.57;25.71;2.86;5.71;86.03;76.86
9944523088193553952;HI 252;Booker,Matthew Morse;35.22;48.43;11.95;2.83;1.57;90.64;81.29
2281717206534599696;HI 252;Caddell PhD,Joseph William;41.88;53.85;1.71;0.00;2.56;92.67;83.25
4663196289315436623;HI 252;Charron,Kat;25.23;46.96;19.63;4.91;3.27;87.85;78.60
1513165307239680460;HI 252;Kickler,Troy L;13.04;52.17;34.78;0.00;0.00;86.96;77.83
12883994186063147696;HI 252;Kaiser,John James;36.36;54.55;9.09;0.00;0.00;92.09;82.73
139258782547550779;HI 252;Jackson,Walter Anderson;35.37;51.22;9.76;0.00;3.66;90.82;81.46
7664087859650426664;HI 252;Hampton,Monte;10.00;53.75;25.00;5.00;6.25;84.73;75.63
2602084528085690346;HI 252;Zonderman,David Aaron;10.41;65.62;21.31;1.45;1.21;87.36;78.26
2781103525113090234;HI 252;Kilgroe,Louisa Ann;13.85;60.00;24.62;0.00;1.54;87.60;78.46
14693515151566835478;HI 252;Johnson,Karen K;30.95;42.86;21.43;4.76;0.00;89.31;80.00
4199539807613259480;HI 252;Cortina,Christina;38.52;44.44;11.85;2.22;2.96;90.72;81.33
6286038785962063085;HI 252;Moran,Katherine D;58.33;41.67;0.00;0.00;0.00;95.42;85.83
9233657623066433500;HI 252;Crotty,Michael N;34.78;44.93;15.22;3.62;1.45;90.14;80.80
17454793451905492248;HI 252;Barker,James M;29.17;54.17;16.67;0.00;0.00;90.54;81.25
16784879526766551454;HI 252;Hobbs,Joseph Patrick;25.00;58.33;16.67;0.00;0.00;90.08;80.83
11679187297220838017;HI 252;Gustke,Nancy L;60.34;37.93;1.72;0.00;0.00;95.47;85.86
10557729443220097912;HI 253;Friend,Craig T;45.77;43.28;9.95;0.00;1.00;92.74;83.28
1423602195840910871;HI 253;Cherry,Megan L;36.95;48.28;8.87;0.99;4.93;90.50;81.13
15213800429607622656;HI 253;Harrison,Ian Patrick;64.73;30.92;1.93;0.48;1.93;95.25;85.60
2755006080357356615;HI 253;Goodrich,Alexander;37.00;47.50;10.00;2.00;3.50;90.62;81.25
15036888570951072337;HI 253;Greene,Tyler Gray;56.19;33.33;6.67;1.90;1.90;93.56;84.00
4220880357622942992;HI 253;Goodling,Kimberly Rae;36.15;43.85;14.62;2.31;3.08;90.13;80.77
10755733101807579474;HI 253;Finn,Amanda Elledge;33.33;50.98;11.76;1.96;1.96;90.51;81.18
8250045504628487016;HI 253;Kertesz,Judy;41.35;30.77;16.35;6.73;4.81;89.13;79.71
1601612395858641862;HI 253;Welk-Joerger,Nicole;85.07;11.94;2.99;0.00;0.00;98.06;88.21
7411103198365708032;HI 253;Schinabeck,Kathryn  ;74.07;18.52;1.85;3.70;1.85;95.67;85.93
5592941989371768397;HI 253;Hampton,Monte;22.73;45.45;25.00;3.41;3.41;87.30;78.07
7737823790127523680;HI 253;Bailey,Sylvia;17.31;61.54;13.46;1.92;5.77;87.44;78.27
15691911655357491566;HI 253;Wils,James;85.71;4.76;7.14;0.00;2.38;97.00;87.14
1819842266044837932;HI 253;Conner,Catherine A;14.04;52.63;14.04;3.51;15.79;83.70;74.56
16144977697990740857;HI 254;Lundquist-Wentz,Chelsea;51.22;41.46;4.88;0.00;2.44;93.41;83.90
2418705911948542301;HI 254;Verville,Michael  ;72.13;21.31;3.28;0.00;3.28;95.62;85.90
9379090982033642344;HI 254;Brenner,Talia;77.97;18.64;0.00;0.00;3.39;96.56;86.78
7637856162717157842;HI 254;Lechner,Steven E. B.;36.57;52.00;8.00;0.57;2.86;91.25;81.89
5982757731438422057;HI 254;Zonderman,David Aaron;34.81;60.00;4.44;0.00;0.74;92.16;82.81
7569456907850752799;HI 254;Booker,Matthew Morse;24.18;50.33;19.61;3.92;1.96;88.33;79.08
16901152317152176314;HI 254;Mitchell,Nancy;21.72;41.92;23.23;6.06;7.07;85.73;76.52
2855555688678432127;HI 254;Gordon,Tammrah S;56.16;34.25;2.74;2.74;4.11;93.12;83.56
9312464706857188959;HI 254;Charron,Kat;28.30;50.94;16.98;1.89;1.89;89.47;80.19
13860127682880266587;HI 254;Frazier,Nishani Mkwanda;35.48;22.58;32.26;9.68;0.00;87.74;78.39
2157478849250797253;HI 254;Greene,Tyler Gray;49.48;31.96;15.46;2.06;1.03;92.18;82.68
1423381516526121489;HI 254;Champagne,Matt;69.85;24.12;4.02;0.50;1.51;95.73;86.03
4980159331216346804;HI 254;Harrison,Ian Patrick;64.91;28.07;3.51;1.75;1.75;94.91;85.26
1738043109042023750;HI 254;Baez Calderon,Raiza Denise;58.57;32.86;4.29;0.00;4.29;93.73;84.14
10550213723598602458;HI 254;Caddell PhD,Joseph William;60.19;39.81;0.00;0.00;0.00;95.62;86.02
16693339383767021730;HI 254;Apostolopoulos,Petros  ;47.27;36.36;9.09;1.82;5.45;91.29;81.82
4936080333475272319;HI 254;Goodrich,Alexander;47.67;41.86;6.98;2.33;1.16;92.73;83.26
16385351155326367625;HI 254;Moore,JoCora C;78.95;9.21;3.95;1.32;6.58;95.05;85.26
5122055514404180222;HI 254;Drath,Marilyn Marjory;63.46;28.85;7.69;0.00;0.00;95.21;85.58
1625918030744696708;HI 254;Laws,Chris;61.70;31.91;2.13;4.26;0.00;94.72;85.11
10340322970567734152;HI 254;Hampton,Monte;29.75;43.80;17.36;4.13;4.96;88.22;78.93
562954237071565226;HI 254;Bailey,Sylvia;16.92;63.08;9.23;6.15;4.62;87.32;78.15
9149216545913659862;HI 254;Wils,James;69.64;23.21;7.14;0.00;0.00;95.95;86.25
7593368613629032509;HI 254;Soleim,Sarah Ann Matter;42.86;48.21;8.93;0.00;0.00;92.82;83.39
14053479988970938672;HI 254;Withers,Lisa  ;47.87;38.30;7.45;4.26;2.13;92.03;82.55
778098514968065096;HI 254;Tewell,Megan Nye Cullen;34.48;39.66;12.07;6.90;6.90;88.14;78.79
15274840476198154605;HI 254;Allen,Kawan Jana;35.19;40.74;18.52;1.85;3.70;89.54;80.19
15915403356783672901;HI 254;Vilbert,Lauren Olivia;85.71;14.29;0.00;0.00;0.00;98.43;88.57
17336995125464909454;HI 263;Gilmartin,David P.;32.99;55.84;7.61;0.00;3.55;90.80;81.47
6881899500156213440;HI 263;Duan,Xiaolin;13.11;68.03;13.93;3.28;1.64;87.90;78.77
6286065199460632566;HI 263;Burton-Rose,Daniel;75.12;20.74;1.38;0.92;1.84;96.39;86.64
9802538254773393397;HI 263;Cherry,Haydon Leslie;13.51;74.32;8.78;2.03;1.35;88.80;79.66
2316655948058098241;HI 264;Ambaras,David R;55.67;25.77;11.86;2.58;4.12;92.19;82.63
10693227530303985708;HI 264;Gilmartin,David P.;30.65;56.78;9.05;1.51;2.01;90.56;81.26
12158015145417210743;HI 264;Duan,Xiaolin;29.38;51.88;11.25;6.25;1.25;89.48;80.19
16699872780858660547;HI 264;Burton-Rose,Daniel;69.35;20.97;3.23;1.61;4.84;94.53;84.84
12561860417516680219;HI 264;Smith,Hilary A;60.00;30.00;0.00;0.00;10.00;92.60;83.00
7248548930615325656;HI 270;Khater,Akram F;35.80;40.91;14.77;2.84;5.68;89.19;79.83
