Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
11133165749417549976;HON 101;Barlage,Tresa M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10403768219079545915;HON 102D;Moses,Myra;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9090459099519187374;HON 110;Johnson,Kenneth E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15141876771512517474;HON 111;Johnson,Kenneth E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12915097651005880113;HON 202;Auten,Anne Catherine;86.27;11.76;1.96;0.00;0.00;98.29;88.43
6566683305728284341;HON 202;Mainland,Catherine;72.73;23.64;3.64;0.00;0.00;96.64;86.91
3966775109901396183;HON 202;Fyfe,Paul Camm;93.22;5.08;1.69;0.00;0.00;99.08;89.15
9882153544444311692;HON 202;Simon,Margaret;90.74;9.26;0.00;0.00;0.00;98.98;89.07
3260054821105161680;HON 202;Stinson,Timothy Linwood;91.43;8.57;0.00;0.00;0.00;99.06;89.14
8354380824590297646;HON 202;Broyles,Paul A.;88.89;11.11;0.00;0.00;0.00;98.78;88.89
11460894190073757171;HON 202;Phillips,Thomas P.;81.03;17.24;1.72;0.00;0.00;97.74;87.93
34848897287118542;HON 202;Blackley,Brian;48.15;38.89;5.56;0.00;7.41;91.52;82.04
12882905593828534585;HON 202;Krieg,Chelsea;95.00;5.00;0.00;0.00;0.00;99.45;89.50
10273982283528137361;HON 202;Baker,Anne;76.47;17.65;0.00;5.88;0.00;96.24;86.47
5032576763101226367;HON 202;Morillo,John D;64.00;36.00;0.00;0.00;0.00;96.04;86.40
5628162951166829239;HON 202;May,Leila S;76.27;20.34;1.69;0.00;1.69;96.71;86.95
16847014774433659607;HON 202;Cornett,Sheryl A;96.30;3.70;0.00;0.00;0.00;99.59;89.63
1196246449111831326;HON 202;Corral,Eduardo C;96.36;3.64;0.00;0.00;0.00;99.60;89.64
1353945878632622778;HON 202;Laux,Dorianne Louise;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11108272313094768780;HON 202;Grimwood,James M.;68.63;29.41;1.96;0.00;0.00;96.35;86.67
13113243599017460055;HON 202;Nolan,Jennifer;45.45;50.91;1.82;1.82;0.00;93.45;84.00
9978625995008137335;HON 202;Crosbie,Christopher James;87.80;9.76;2.44;0.00;0.00;98.41;88.54
14900541753931843086;HON 202;Joffe,Sharon Lynne;41.03;53.85;5.13;0.00;0.00;93.00;83.59
876009944682268780;HON 202;Linker,Laura Leigh;76.79;21.43;0.00;0.00;1.79;96.91;87.14
6788312247787689885;HON 202;Thuente,Mary Helen;81.08;10.81;0.00;2.70;5.41;95.76;85.95
16129444732885723996;HON 202;Hooker PhD,Deborah Anne;45.71;37.14;14.29;0.00;2.86;91.74;82.29
15335102962424695177;HON 210;Comstock,Gary L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1800437107328286084;HON 290;Turner,Kristen M;87.18;10.26;2.56;0.00;0.00;98.33;88.46
4604657172549695439;HON 290;Nolan,Jennifer;52.63;42.11;3.51;0.00;1.75;93.91;84.39
6639770660464104045;HON 290;Lee,Susanna M;55.00;40.00;5.00;0.00;0.00;94.55;85.00
12785219218797172204;HON 290;Mobley,Joe A;63.16;36.84;0.00;0.00;0.00;95.95;86.32
10804569274511066255;HON 290;Pryzwansky,Molly M;66.67;31.37;0.00;0.00;1.96;95.75;86.08
11683093513550917242;HON 290;McGill,Alicia Ebbitt;94.44;5.56;0.00;0.00;0.00;99.39;89.44
16736306907580152999;HON 290;Perros,Helen C.;85.71;14.29;0.00;0.00;0.00;98.43;88.57
2764314108401460045;HON 290;Khater,Akram F;75.00;16.67;0.00;0.00;8.33;94.75;85.00
1063911718182782171;HON 290;Gustke,Nancy L;89.47;10.53;0.00;0.00;0.00;98.84;88.95
5891798881673727245;HON 290;Zonderman,David Aaron;35.71;64.29;0.00;0.00;0.00;92.93;83.57
3037949904476086476;HON 290B;Pryzwansky,Molly M;53.85;38.46;7.69;0.00;0.00;94.15;84.62
18351497164283153418;HON 292;Bruck,Robert I.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
567664327204233839;HON 293;Paige,Kirsten;87.93;10.34;1.72;0.00;0.00;98.50;88.62
11456268831610216921;HON 293;Hetrick,Kristen;97.67;2.33;0.00;0.00;0.00;99.74;89.77
1174314013875387769;HON 293;Reynolds,Kanton T.;71.70;24.53;1.89;0.00;1.89;96.13;86.42
846467855406378049;HON 293;Arnold,Alison E.;85.45;10.91;0.00;0.00;3.64;97.31;87.45
4167749124153125601;HON 293;Hurlburt,Holly Siobhan;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3571293811188006363;HON 293;Morillo,John D;61.29;38.71;0.00;0.00;0.00;95.74;86.13
17231760708458274453;HON 293;O'Leary,Scott Michael;92.16;7.84;0.00;0.00;0.00;99.14;89.22
17028830655821458524;HON 293;Duan,Xiaolin;69.23;28.21;0.00;0.00;2.56;95.85;86.15
17437805262305402961;HON 293;Turner,Kristen M;85.48;8.06;3.23;3.23;0.00;97.44;87.58
2703610799882814343;HON 293;Ludington,Charles C.;77.08;22.92;0.00;0.00;0.00;97.48;87.71
7639919083763169263;HON 293;Isaacson,Nathaniel Kenneth;92.86;7.14;0.00;0.00;0.00;99.21;89.29
12027792890596923740;HON 293;Kramer,Jonathan Charles;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1958952249140689028;HON 293;Kim,Mi Gyung;81.82;18.18;0.00;0.00;0.00;98.00;88.18
14380609182800251454;HON 293;May,Leila S;78.95;15.79;5.26;0.00;0.00;97.16;87.37
18063586890179349267;HON 293;Auten,Anne Catherine;73.33;26.67;0.00;0.00;0.00;97.07;87.33
8026904839930049173;HON 293;Cornett,Sheryl A;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2538915180216258891;HON 293;Mainland,Catherine;68.42;26.32;0.00;0.00;5.26;94.95;85.26
2852265018632145916;HON 293;Phillips,Thomas P.;49.15;42.37;6.78;0.00;1.69;93.22;83.73
17908043412341698078;HON 293;Halpern,Nicholas;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6066015096247701831;HON 293;Knowles,Jim;88.24;5.88;0.00;0.00;5.88;96.94;87.06
3558349936390122608;HON 293;Joffe,Sharon Lynne;53.19;42.55;4.26;0.00;0.00;94.43;84.89
1005481453590088071;HON 293;Walsh,Rebecca Ann;74.36;25.64;0.00;0.00;0.00;97.18;87.44
16044443342701601522;HON 293;Crosbie,Christopher James;94.87;5.13;0.00;0.00;0.00;99.44;89.49
12913025852308608437;HON 293;Welch,Milton Lamont;63.16;26.32;10.53;0.00;0.00;94.89;85.26
1972701656537293287;HON 293;Wall,John N;88.89;11.11;0.00;0.00;0.00;98.78;88.89
1395653452047392681;HON 293I;Morillo,John D;53.85;46.15;0.00;0.00;0.00;94.92;85.38
6168546565482855906;HON 293J;Severin PhD,Laura Ruth;83.33;8.33;0.00;0.00;8.33;95.67;85.83
5623981783301609091;HON 293K;Nolan,Jennifer;36.84;52.63;5.26;0.00;5.26;90.95;81.58
8458086816591141641;HON 293M;Lamont,Margaret Elizabeth;50.00;50.00;0.00;0.00;0.00;94.50;85.00
8028138927236511589;HON 294;Boone III,Will;86.96;13.04;0.00;0.00;0.00;98.57;88.70
14653618699231231236;HON 294;Typhina PhD,Eli;94.74;5.26;0.00;0.00;0.00;99.42;89.47
2891547829078751024;HON 294;Montlouis-Gabriel,Johanna;90.91;0.00;0.00;0.00;9.09;96.27;86.36
8754646632254639488;HON 294;Foody,Kathleen;88.89;8.33;0.00;0.00;2.78;97.94;88.06
13232122876020100963;HON 294;Comstock,Gary L;57.14;35.71;3.57;1.79;1.79;94.04;84.46
13373369128264817853;HON 294;Bykova,Marina F.;80.56;16.67;2.78;0.00;0.00;97.58;87.78
3337864364207447103;HON 294;Stewart,Tony K.;70.59;23.53;5.88;0.00;0.00;96.18;86.47
3976155839994781549;HON 294;Orcutt,Darby C;83.33;16.67;0.00;0.00;0.00;98.17;88.33
908650769671326095;HON 294K;Bykova,Marina F.;92.31;7.69;0.00;0.00;0.00;99.15;89.23
2820934833203687039;HON 295;Taylor,Andrew J;72.22;27.78;0.00;0.00;0.00;96.94;87.22
10316378533623851901;HON 295;Alexander,Jamie;89.47;5.26;5.26;0.00;0.00;98.32;88.42
13714988337315215963;HON 295;Gonzalez,Maru;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14517575922966370939;HON 295;Treme,Julianne;86.67;8.89;4.44;0.00;0.00;98.09;88.22
6957257705711502079;HON 295;Taylor,Eileen Z;87.50;12.50;0.00;0.00;0.00;98.63;88.75
18236374994947648609;HON 295;Easley,Thomas R;95.00;0.00;5.00;0.00;0.00;98.95;89.00
13270754702602768917;HON 295;Craig,Lee A;93.22;6.78;0.00;0.00;0.00;99.25;89.32
16058941782015790094;HON 295;Stoller,Aaron James;62.26;35.85;0.00;0.00;1.89;95.28;85.66
17321532776467593343;HON 295;Kershner,Tiffany Lynne;64.29;35.71;0.00;0.00;0.00;96.07;86.43
