Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
369283486488317935;HS 10;Fonteno III,William Carl;92.31;0.00;0.00;7.69;0.00;97.62;87.69
14171527286063890686;HS 100;Lane,Bryce H.;22.02;47.65;19.13;3.61;7.58;86.51;77.29
3970936905485174612;HS 101;Erickson,Emily Joan;33.33;19.44;19.44;8.33;19.44;83.22;73.89
11710216390391057569;HS 101;Ivy III,Lee;33.33;33.33;6.67;6.67;20.00;84.67;75.33
1558006389252664793;HS 101;Kraus,Helen Tyler;73.68;10.53;15.79;0.00;0.00;95.53;85.79
1121875527639900637;HS 11;Jackson,Brian Eugene;27.97;25.42;22.88;9.32;14.41;83.60;74.32
10754789867357182566;HS 111;Fair,Barbara;17.86;17.86;17.86;21.43;25.00;77.39;68.21
17649949460959079645;HS 111;Bobo,Jack;38.10;38.10;9.52;9.52;4.76;88.90;79.52
13745381240562714851;HS 111;Nix,John;37.93;48.28;3.45;0.00;10.34;89.72;80.34
674817498939915879;HS 111;Jackson,Brian Eugene;21.33;30.67;22.67;9.33;16.00;82.41;73.20
8810336211734250993;HS 111;Bartley,Paul  ;28.57;42.86;19.05;0.00;9.52;87.38;78.10
12309880789493870321;HS 115;Archer,Mary Hendrika;74.51;9.80;5.88;1.96;7.84;93.86;84.12
9137846126491165100;HS 115;Driedger,Jodi Songer;37.50;18.75;17.50;8.75;17.50;84.38;75.00
11184350530960032454;HS 115;Fonteno III,William Carl;39.81;25.93;16.67;11.11;6.48;87.55;78.15
7067339458598970598;HS 121;Meyer,Elisabeth Marie;25.00;20.83;22.92;12.50;18.75;81.33;72.08
9746522419603301340;HS 121;Blazich,Frank A.;17.78;31.11;20.00;8.89;22.22;80.51;71.33
13192176197226863275;HS 131;Driedger,Jodi Songer;13.64;36.36;27.27;22.73;0.00;83.23;74.09
16830534777196365072;HS 131;Ivy III,Lee;49.18;29.51;4.92;14.75;1.64;90.48;80.98
14046214743629198686;HS 141;Knuth,Melinda;19.05;23.81;23.81;9.52;23.81;79.67;70.48
7273844186328196028;HS 141;Fonteno III,William Carl;63.77;20.29;4.35;5.80;5.80;92.68;83.04
10296669368812335218;HS 144;Ivy III,Lee;29.03;41.94;17.74;8.06;3.23;87.84;78.55
15661505262977297802;HS 144;Rosado Rivera,Yara Ivelisse;17.39;47.83;21.74;4.35;8.70;85.26;76.09
13360625374401068105;HS 15;Fonteno III,William Carl;22.39;31.34;19.40;11.94;14.93;82.66;73.43
11065932611287478600;HS 151;Kraus,Helen Tyler;21.82;34.55;29.09;12.73;1.82;85.40;76.18
2926973439107101395;HS 162;Driedger,Jodi Songer;42.62;18.03;18.03;13.11;8.20;86.80;77.38
922114354969759481;HS 162;Fair,Barbara;13.11;32.79;34.43;11.48;8.20;82.25;73.11
11311080195806044009;HS 162;Ivy III,Lee;34.18;30.38;22.78;8.86;3.80;87.57;78.23
1281585253583998736;HS 171;Driedger,Jodi Songer;32.35;29.41;17.65;11.76;8.82;85.79;76.47
10909289963680327605;HS 171;Ivy III,Lee;44.78;37.31;14.93;1.49;1.49;91.69;82.24
16080660153972035891;HS 175;Cisneros,Jose;0.00;25.00;58.33;8.33;8.33;79.00;70.00
13990489603593243819;HS 200;Lane,Bryce H.;26.59;47.19;19.10;4.49;2.62;88.33;79.06
11329668764076022350;HS 200;Driedger,Jodi Songer;71.81;9.40;6.71;2.68;9.40;92.87;83.15
13303503816198410316;HS 200;Ivy III,Lee;62.89;24.74;6.19;2.06;4.12;93.65;84.02
12798288566111014437;HS 200;Jahnke,Nathan Joseph;41.86;27.91;16.28;2.33;11.63;88.02;78.60
9876548301646184584;HS 200;Bergmann PhD,Ben Andrew;58.33;16.67;8.33;8.33;8.33;90.42;80.83
14214071986367966626;HS 201;Driedger,Jodi Songer;64.07;13.17;10.78;4.19;7.78;91.80;82.16
13067123793210404937;HS 201;Ham,Remi;71.08;22.29;4.82;1.20;0.60;95.92;86.20
16083948502288980444;HS 201;Knuth,Melinda;60.48;22.58;4.84;5.65;6.45;92.10;82.50
16993857745433800389;HS 201;Jackson,Brian Eugene;57.14;24.32;10.42;4.63;3.47;92.27;82.70
897970164566162103;HS 201;Kraus,Helen Tyler;61.73;23.47;8.67;3.57;2.55;93.44;83.83
18347069029308608555;HS 201;Ivy III,Lee;60.83;28.75;7.50;1.67;1.25;94.23;84.63
11770660987607057203;HS 201;Bergmann PhD,Ben Andrew;44.76;34.29;16.19;1.90;2.86;91.07;81.62
5355628629644023120;HS 201;Suchoff,David H;77.55;20.41;0.00;2.04;0.00;97.12;87.35
14190732044095114661;HS 201;Riley,Elizabeth;53.85;30.77;7.69;3.30;4.40;92.18;82.64
3039870097640723802;HS 201;Meyer,Elisabeth Marie;54.96;27.48;12.21;2.29;3.05;92.45;82.90
