Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
12270014360615109824;HSS 110;Miller III,Norman A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4277516621974997982;HSS 110;Cassidy,Sean M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13784506262387114211;HSS 111;Cassidy,Sean M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6364086192679818057;HSS 120;Gibson,Anna;80.43;15.22;2.17;0.00;2.17;96.98;87.17
2118121514102894659;HSS 120;Broyles,Paul A.;80.46;16.09;2.30;0.00;1.15;97.28;87.47
11684586151253434690;HSS 120;Crane-Seeber,Jesse P;27.91;62.33;6.05;2.33;1.40;90.58;81.30
15476976018225470133;HSS 120;Young,Karen R;29.87;57.14;9.52;1.73;1.73;90.47;81.17
14523647745109469312;HSS 201;McLaughlin,Levi;74.19;22.58;3.23;0.00;0.00;96.84;87.10
7078525316275273680;HSS 201;Zonderman,David Aaron;65.52;34.48;0.00;0.00;0.00;96.21;86.55
18366334418921139676;HSS 201;Mainland,Catherine;64.91;31.58;3.51;0.00;0.00;95.79;86.14
12976317134048142922;HSS 201;Goodwin,Jean;77.78;22.22;0.00;0.00;0.00;97.56;87.78
10623910070137472154;HSS 201;De Simoni,Alberto;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2684777547084536579;HSS 201;Campbell,Katelyn McKensie;81.36;15.25;3.39;0.00;0.00;97.61;87.80
9114921793284678358;HSS 201;Zalokostas,Anna;64.15;30.19;3.77;0.00;1.89;95.11;85.47
16807769750161682053;HSS 201;Miller,Jason;96.55;3.45;0.00;0.00;0.00;99.62;89.66
1149435963270195860;HSS 201;Harwood,Karey Alison;62.07;31.03;0.00;3.45;3.45;94.10;84.48
9617263763863272209;HSS 201;Zink,Jim;40.00;50.00;4.00;0.00;6.00;91.20;81.80
