Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7154669515764985810;ID 102;Behnam Asl,Sana  ;83.33;16.67;0.00;0.00;0.00;98.17;88.33
12093027221484745517;ID 102;Sun,Yingying;57.89;36.84;5.26;0.00;0.00;94.84;85.26
6174292465612002140;ID 110;Irwin,Connor  ;42.11;36.84;10.53;0.00;10.53;89.42;80.00
4573340663194032543;ID 110;Wozniak,Kathryn;37.04;37.04;14.81;3.70;7.41;88.63;79.26
18135060273573887221;ID 110;Laffitte,Bryan W;72.31;23.08;3.08;0.00;1.54;96.18;86.46
16813944734093677944;ID 201;Buie,Tim;85.19;11.11;3.70;0.00;0.00;98.00;88.15
1660532032597195510;ID 201;Hooper,Percy Rivera;91.23;8.77;0.00;0.00;0.00;99.04;89.12
13865883518534767644;ID 201;Laffitte,Bryan W;95.59;4.41;0.00;0.00;0.00;99.51;89.56
15453414935795584493;ID 202;Wozniak,Kathryn;60.00;35.00;5.00;0.00;0.00;95.10;85.50
14808077341386287192;ID 202;Laffitte,Bryan W;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5486341438231660836;ID 202;Schultz,Kevin;15.00;65.00;20.00;0.00;0.00;88.65;79.50
4809025459924859433;ID 202;Sassano,Camillo;38.89;61.11;0.00;0.00;0.00;93.28;83.89
7224401182430241272;ID 202;Buie,Tim;75.47;15.09;7.55;0.00;1.89;95.98;86.23
11993526158183183728;ID 202;Hooper,Percy Rivera;82.14;17.86;0.00;0.00;0.00;98.04;88.21
15752506866387772671;ID 202;Joines PhD,Sharon Melissa Bennett;75.00;25.00;0.00;0.00;0.00;97.25;87.50
18225584289596416531;ID 202;Khachatoorian,Haig;67.35;32.65;0.00;0.00;0.00;96.41;86.73
8759380940841448528;ID 210;Buie,Tim;63.64;24.24;7.58;3.03;1.52;94.18;84.55
12742507902920820630;ID 210;Wozniak,Kathryn;70.00;30.00;0.00;0.00;0.00;96.70;87.00
3263183194090213764;ID 215;Laffitte,Bryan W;98.25;1.75;0.00;0.00;0.00;99.81;89.82
13572735432214276869;ID 215;Chi,Victoria;61.54;38.46;0.00;0.00;0.00;95.77;86.15
10558297838687571650;ID 215;Hooper,Percy Rivera;67.53;31.17;1.30;0.00;0.00;96.30;86.62
18317046382373641799;ID 215;Buie,Tim;73.68;15.79;5.26;0.00;5.26;95.00;85.26
145336113586207427;ID 215;Bissinger,Michael Robert;73.91;26.09;0.00;0.00;0.00;97.13;87.39
17743086993245473380;ID 216;Jin,Bongil;59.70;38.81;1.49;0.00;0.00;95.42;85.82
6500776281517262205;ID 216;Laut,Michael E;81.25;18.75;0.00;0.00;0.00;97.94;88.13
1379618693654211087;ID 240;Umstead,Kelly Ann;57.02;31.58;11.40;0.00;0.00;94.13;84.56
13554802222192818964;ID 240;Joines PhD,Sharon Melissa Bennett;82.61;17.39;0.00;0.00;0.00;98.09;88.26
5693929446344710229;ID 244;Flinchum,Russell Alan;75.37;20.15;2.24;0.75;1.49;96.47;86.72
2806669610544803183;ID 255;Ginn,Warren;71.43;26.98;1.59;0.00;0.00;96.70;86.98
3652195813088814936;ID 255;Laffitte,Bryan W;82.98;14.89;2.13;0.00;0.00;97.91;88.09
15529874106756534759;ID 255;Hooper,Percy Rivera;91.67;8.33;0.00;0.00;0.00;99.08;89.17
9945731944551057118;ID 255;Talley,Banks C;71.43;23.81;0.00;0.00;4.76;95.43;85.71
6778317323483935758;ID 255;Jordan Jr,Edwin C;89.66;10.34;0.00;0.00;0.00;98.86;88.97
2481754498131731679;ID 256;Ginn,Warren;88.89;11.11;0.00;0.00;0.00;98.78;88.89
6073988688438986674;ID 256;Laffitte,Bryan W;73.33;26.67;0.00;0.00;0.00;97.07;87.33
3714129585862847375;ID 256;Hilliard,Sean;70.00;30.00;0.00;0.00;0.00;96.70;87.00
9635226040550432619;ID 262;Umstead,Kelly Ann;66.67;25.00;8.33;0.00;0.00;95.50;85.83
400940198662906361;ID 262;Khachatoorian,Haig;80.00;20.00;0.00;0.00;0.00;97.80;88.00
4982142636382840604;ID 292;Laut,Michael E;68.42;21.05;10.53;0.00;0.00;95.47;85.79
8527255782054686119;ID 292;Chi,Victoria;38.10;50.00;9.52;0.00;2.38;91.52;82.14
4291753464536063076;ID 292A;Raub,Cymbre Quincy;41.67;8.33;33.33;8.33;8.33;86.08;76.67
10275960940245467911;ID 300;Liu,Lu;78.13;18.75;0.00;0.00;3.13;96.66;86.88
10711622220570112832;ID 300;Jin,Bongil;72.73;21.82;5.45;0.00;0.00;96.45;86.73
2656601049593681339;ID 300;Laffitte,Bryan W;75.56;11.11;4.44;0.00;8.89;94.20;84.44
13523712641716776324;ID 300;Umstead,Kelly Ann;54.55;45.45;0.00;0.00;0.00;95.00;85.45
995262772537903102;ID 300;Buie,Tim;53.85;38.46;7.69;0.00;0.00;94.15;84.62
10552917144626154684;ID 300;Hooper,Percy Rivera;76.19;19.05;0.00;0.00;4.76;95.95;86.19
10187525455727922696;ID 300;Hilliard,Sean;66.67;22.22;5.56;5.56;0.00;94.67;85.00
4299757146326757136;ID 301;Jin,Bongil;77.27;22.73;0.00;0.00;0.00;97.50;87.73
2268784207799352967;ID 302;Buie,Tim;76.67;16.67;6.67;0.00;0.00;96.77;87.00
11174290998653702835;ID 310;Buie,Tim;66.15;30.77;3.08;0.00;0.00;95.97;86.31
1742262740180977706;ID 315;Buie,Tim;61.54;30.77;6.41;0.00;1.28;94.74;85.13
3082074537874297934;ID 315;Liu,Lu;60.00;36.00;4.00;0.00;0.00;95.20;85.60
6333806321945672253;ID 315;Hilliard,Sean;71.43;21.43;3.57;0.00;3.57;95.43;85.71
7205628558104548781;ID 315;Barnes,Spencer R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
576753194219490579;ID 316;Jin,Bongil;72.31;27.69;0.00;0.00;0.00;96.95;87.23
8413007513732841021;ID 318;Jin,Bongil;49.12;45.61;3.51;0.00;1.75;93.53;84.04
17434082583302825041;ID 318;Laffitte,Bryan W;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15634828823233639783;ID 318;Hooper,Percy Rivera;50.94;47.17;0.00;0.00;1.89;94.04;84.53
16552933536227834498;ID 340;Behnam Asl,Sana  ;95.83;4.17;0.00;0.00;0.00;99.54;89.58
14808182308344993716;ID 340;Gill,Carolina;80.00;18.18;1.82;0.00;0.00;97.62;87.82
3392616993218144905;ID 400;Jin,Bongil;65.22;21.74;8.70;0.00;4.35;94.00;84.35
1807145522451571114;ID 400;Umstead,Kelly Ann;61.54;23.08;15.38;0.00;0.00;94.23;84.62
1114392411668805027;ID 400;Joines PhD,Sharon Melissa Bennett;45.16;41.94;12.90;0.00;0.00;92.68;83.23
15662603060985437676;ID 400;Laffitte,Bryan W;88.24;7.84;1.96;0.00;1.96;97.92;88.04
695456215307550534;ID 400;Hooper,Percy Rivera;81.82;9.09;9.09;0.00;0.00;97.09;87.27
11921201860127306645;ID 400;Hilliard,Sean;69.23;23.08;7.69;0.00;0.00;95.85;86.15
17855427146018597663;ID 401;Irwin,Connor  ;44.44;38.89;16.67;0.00;0.00;92.22;82.78
9815638491166518496;ID 401;Umstead,Kelly Ann;52.94;35.29;11.76;0.00;0.00;93.65;84.12
2062970624782478509;ID 401;Liu,Lu;68.29;26.83;4.88;0.00;0.00;96.02;86.34
10767147524152518079;ID 402;Jin,Bongil;86.67;11.11;0.00;0.00;2.22;97.87;88.00
12163902662302513137;ID 415;Buie,Tim;50.98;35.29;11.76;0.00;1.96;92.84;83.33
3978034829782757685;ID 415;Hilliard,Sean;86.96;13.04;0.00;0.00;0.00;98.57;88.70
5558215992838054826;ID 415;Barnes,Spencer R;70.00;20.00;10.00;0.00;0.00;95.70;86.00
11328870465823071695;ID 418;Jin,Bongil;50.00;38.89;9.26;0.00;1.85;93.02;83.52
14813866397500685458;ID 418;Laffitte,Bryan W;87.50;3.13;3.13;0.00;6.25;96.44;86.56
13466873614578024019;ID 440;Miller,M.E.;42.50;50.00;7.50;0.00;0.00;92.93;83.50
3958711991347190620;ID 444;Flinchum,Russell Alan;64.71;30.59;0.00;4.71;0.00;95.18;85.53
3147286285321407863;ID 445;Joines PhD,Sharon Melissa Bennett;65.71;31.43;1.43;0.00;1.43;95.66;86.00
8832579859359647870;ID 490;Buie,Tim;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11176959411734005755;ID 490;Khachatoorian,Haig;92.31;7.69;0.00;0.00;0.00;99.15;89.23
5539033181497464347;ID 492;Chabera,Matej;72.73;27.27;0.00;0.00;0.00;97.00;87.27
11197897518837797995;ID 492;Flinchum,Russell Alan;90.91;9.09;0.00;0.00;0.00;99.00;89.09
11018447132758189293;ID 492;Mlynar,Vaclav;50.00;50.00;0.00;0.00;0.00;94.50;85.00
3884548277163441457;ID 492;Laffitte,Bryan W;93.75;6.25;0.00;0.00;0.00;99.31;89.38
5929504485044531956;ID 492;Liu,Lu;40.00;57.78;2.22;0.00;0.00;93.18;83.78
4702217761497053619;ID 492;Laut,Michael E;76.92;23.08;0.00;0.00;0.00;97.46;87.69
8758430710965638771;ID 492;Olah,Peter;63.64;36.36;0.00;0.00;0.00;96.00;86.36
1524162734717900246;ID 492;Catignani,Anthony;0.00;63.64;18.18;0.00;18.18;81.73;72.73
7067736294623897127;ID 492;Pelci,Jiri;58.33;41.67;0.00;0.00;0.00;95.42;85.83
9872326353333722546;ID 492;Buie,Tim;92.31;7.69;0.00;0.00;0.00;99.15;89.23
6075599848948176443;ID 492;Raub,Cymbre Quincy;70.00;20.00;0.00;10.00;0.00;94.70;85.00
9361199142553750195;ID 492;Bissinger,Michael Robert;63.64;36.36;0.00;0.00;0.00;96.00;86.36
12384860905555077;ID 492A;Morris,Glenwood Ernest;91.67;8.33;0.00;0.00;0.00;99.08;89.17
11622846848221388773;ID 492D;Bissinger,Michael Robert;81.82;18.18;0.00;0.00;0.00;98.00;88.18
2242529276168933798;ID 492X;Laut,Michael E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7577749593634848466;ID 500;Kim,Byungsoo;50.00;50.00;0.00;0.00;0.00;94.50;85.00
7811849569069751264;ID 500;Umstead,Kelly Ann;68.00;24.00;8.00;0.00;0.00;95.68;86.00
