Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5808406338961977200;IDS 201;Herrington,Emily Christine;90.91;9.09;0.00;0.00;0.00;99.00;89.09
9973853878758243273;IDS 201;Hedley,Susie;97.70;2.30;0.00;0.00;0.00;99.75;89.77
6699056344578626007;IDS 201;Scrivens,Kashian Antonio;76.53;19.39;4.08;0.00;0.00;97.01;87.24
16301146568365085036;IDS 201;He,Wanjun;90.91;6.06;3.03;0.00;0.00;98.70;88.79
12878783298488035713;IDS 201;Glaser,Amy;66.67;24.24;9.09;0.00;0.00;95.42;85.76
2558252064669970579;IDS 201;Christiansen,Catey;93.62;4.26;1.06;0.00;1.06;98.87;88.94
15400320664109874622;IDS 201;Haigler,Austin;65.56;25.56;3.33;2.22;3.33;94.43;84.78
5952381256562487888;IDS 201;Hope,Robyn Alyssa;77.94;16.18;4.41;0.74;0.74;96.76;86.99
11781167893435024874;IDS 201;Ladd,Brian Kristopher;69.90;22.33;3.88;3.88;0.00;95.52;85.83
9520804029118771797;IDS 201;Scardua,Mar;55.88;27.94;8.82;1.47;5.88;92.21;82.65
17723786079718752651;IDS 201;Pflanzer,Michael Scott;80.18;12.61;5.41;0.00;1.80;96.74;86.94
9071575340441889640;IDS 201;Fennimore,Jack;85.57;7.22;5.15;1.03;1.03;97.38;87.53
2208094399127869043;IDS 201;Pierce,Leslie  ;96.19;1.90;0.00;0.95;0.95;99.10;89.14
5922753235263213988;IDS 201;Fennessey,Michael Joseph;81.08;13.51;2.70;1.80;0.90;97.02;87.21
594929566461539233;IDS 201;Ibrahim,Mai Wahid Abdelkader;58.88;26.17;7.48;2.80;4.67;92.77;83.18
5321259049016472097;IDS 201;Height,Tots;76.54;16.05;1.23;4.94;1.23;95.94;86.17
8766662790093654280;IDS 201;Nelson,Elizabeth Atwood;94.03;4.48;1.49;0.00;0.00;99.19;89.25
8156651335250574559;IDS 201;Wiggins,Thomas M;83.22;12.08;1.34;0.00;3.36;97.01;87.18
3826276871890132093;IDS 201;Xie,Chenxing;84.72;11.11;1.39;1.39;1.39;97.49;87.64
8902958022265947333;IDS 201;Sadana,Marat;89.11;6.93;3.96;0.00;0.00;98.41;88.51
5087568504659177902;IDS 201;Sutter,Alex;86.79;8.49;3.77;0.94;0.00;97.98;88.11
15653035867095314331;IDS 201;Olatunde,Folasewa Oluwaseun;81.08;12.61;3.60;0.90;1.80;96.84;87.03
13454744817034506621;IDS 201;Kong,Yeqing;71.70;20.75;3.77;1.89;1.89;95.57;85.85
3125360995736238799;IDS 201;Njathi,Anne Wangari;62.86;22.86;11.43;2.86;0.00;94.20;84.57
14895499337190184803;IDS 201;Mink,Sarah Ivler;82.86;14.29;0.00;1.43;1.43;97.40;87.57
6351547513739659408;IDS 201;Jackson,Joshua  ;75.00;11.11;8.33;0.00;5.56;94.75;85.00
722508749507203412;IDS 201;Harr III,James Buffington;57.53;27.40;8.22;4.11;2.74;92.86;83.29
16187338536003386461;IDS 201;DeAtley,Tyler  ;75.68;21.62;0.00;0.00;2.70;96.51;86.76
11304866195979533771;IDS 201;Hammond,Randall Alexander;50.77;24.62;13.85;1.54;9.23;90.12;80.62
15133269884143543266;IDS 201;Smith,Steven  ;88.57;2.86;8.57;0.00;0.00;97.89;88.00
14743391655549419410;IDS 201;Clayton,Robin;60.61;21.21;9.09;3.03;6.06;92.33;82.73
13760064797416093755;IDS 201;Sylvia IV,J.J.;52.17;30.43;8.70;0.00;8.70;91.26;81.74
6396496383135703319;IDS 201;Tavakoli,Philipp A;58.41;29.91;7.94;1.87;1.87;93.70;84.11
12204594306693612505;IDS 201;Kriesberg,Hadea Nell;64.42;21.47;8.59;0.61;4.91;93.63;83.99
10782658240775317397;IDS 203;Glaser,Amy;56.64;29.65;8.41;3.54;1.77;93.15;83.58
811551762364995988;IDS 203;Cutts,Bethany Brooke;75.00;10.00;10.00;0.00;5.00;94.75;85.00
11698590467251261527;IDS 203;Vylupek PhD,Oldrich;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11389189874226886803;IDS 210;Nolan,Jennifer;41.38;46.55;8.62;0.00;3.45;91.66;82.24
15089619495897538327;IDS 211;Ash,Sarah L;34.07;35.16;18.68;6.59;5.49;87.91;78.57
14898059923090660580;IDS 220;Sibley,Patsy Anne;70.06;13.17;8.98;1.80;5.99;93.65;83.95
13095686044515462796;IDS 295;Ralston,Victoria Neal;96.15;3.85;0.00;0.00;0.00;99.58;89.62
3401092157625385351;IDS 295;Gustke,Nancy L;85.00;15.00;0.00;0.00;0.00;98.35;88.50
328311873749447103;IDS 303;Glaser,Amy;45.21;36.99;12.33;1.37;4.11;91.23;81.78
2204761419337397581;IDS 303;Cutts,Bethany Brooke;76.92;19.23;3.85;0.00;0.00;97.08;87.31
17985821229984763059;IDS 303;Smith,Steven  ;72.00;16.00;4.00;3.20;4.80;94.44;84.72
15899399118779838570;IDS 303;Booker,Matthew Morse;58.64;27.73;7.73;2.27;3.64;93.13;83.55
3121041104641115624;IDS 303;Blank,Gary B.;70.00;20.00;10.00;0.00;0.00;95.70;86.00
7204304809215608275;IDS 303;Kriesberg,Hadea Nell;69.67;18.48;7.11;1.90;2.84;94.72;85.02
5371238422673843337;IDS 303;Warren,Sarah Timberlake;46.67;40.00;10.00;0.00;3.33;92.13;82.67
16846741432744750199;IDS 310;Kriesberg,Hadea Nell;60.40;23.76;9.90;2.97;2.97;93.17;83.56
18239936928644151883;IDS 495;Ralston,Victoria Neal;93.33;4.44;2.22;0.00;0.00;99.04;89.11
2284266756004050921;IDS 496B;Pramaggiore,Maria T;25.00;25.00;25.00;0.00;25.00;81.75;72.50
