Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2222721738672647300;INB 631;Ross,Ann Helen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4815196671477293081;INB 693;Paciulli,Lisa M;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9391846521724395388;INB 693;Gates,Terry Allen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
16825894857586930657;INB 693;Collazo,Jaime A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6670634436509926986;INB 693;Campbell,Jennifer L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2597986301739023937;INB 693;Cope,William Gregory;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18042128656420145455;INB 695;Cope,William Gregory;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10932335811042411520;INB 695;Campbell,Jennifer L;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3058031490055587676;INB 695;Langerhans,Brian;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4831365906770764609;INB 695;Gates,Terry Allen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8074178999136296480;INB 695;Ross,Ann Helen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
936893693743993589;INB 695;Collazo,Jaime A;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15972864923821906981;INB 695;Fischer,Jesse Robert;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4888669240181770852;INB 893;Zanno,Lindsay E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4907118907934261014;INB 893;Hartstone-Rose PhD,Adam;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9006803442919259565;INB 893;Ramirez,Alonso;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4653320065608255603;INB 893;Schweitzer,Mary Higby;0.00;0.00;0.00;0.00;0.00;0.00;0.00
170537419109706885;INB 893;Buckel,Jeffrey A.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18444425689820292468;INB 893;Reading,Benjamin J;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14634646520829131191;INB 895;Cope,William Gregory;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2377586704325199113;INB 895;Youngsteadt,Elsa;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1408857846335685771;INB 895;Zanno,Lindsay E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17962833105727005198;INB 895;Buckel,Jeffrey A.;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9672244595602025717;INB 895;Langerhans,Brian;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3283533904014818017;INB 895;Schweitzer,Mary Higby;0.00;0.00;0.00;0.00;0.00;0.00;0.00
12574502004057394436;INB 895;Ross,Ann Helen;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8153483248214414486;INB 895;Irwin,Rebecca Elizabeth;0.00;0.00;0.00;0.00;0.00;0.00;0.00
