Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
15315292863872201176;IPGE 295;Hipp,Aaron;71.74;21.74;4.35;0.00;2.17;95.80;86.09
18257136089381993076;IPGE 295;Paige,Kirsten;37.50;43.75;18.75;0.00;0.00;91.25;81.88
1779389858169365562;IPGE 295;Larson,Lincoln Ray;73.68;15.79;7.89;2.63;0.00;95.79;86.05
13848620001827060933;IPGE 295;Boone III,Will;66.67;33.33;0.00;0.00;0.00;96.33;86.67
977029227220196180;IPGE 295;Gates,Terry Allen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13128811701216979588;IPGE 295;Calkins,Meg;42.31;42.31;0.00;0.00;15.38;89.04;79.62
4755816707443223726;IPGE 295;Silverberg,Lawrence M;88.00;12.00;0.00;0.00;0.00;98.68;88.80
6791333173949173004;IPGE 295;Mila,Asimina Leonidas;81.82;18.18;0.00;0.00;0.00;98.00;88.18
13200322952891959848;IPGE 295;Parish PhD,David W.;34.90;52.35;9.40;2.01;1.34;91.09;81.74
160113066014387081;IPGE 295;Robbins,MaryClare;45.71;37.14;14.29;0.00;2.86;91.74;82.29
7868859491879695324;IPGE 295;Nielsen,Larry Andrew;84.50;12.00;2.50;0.50;0.50;97.80;87.95
12834024059368624210;IPGE 295;Acker,Debbie Reno;59.42;31.88;4.35;0.00;4.35;93.80;84.20
5167142152967692276;IPGE 295;Bullock,Marcy Lee;100.00;0.00;0.00;0.00;0.00;100.00;90.00
