Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7844734921115069126;IS 200;Haenn,Nora M;50.00;31.82;10.61;4.55;3.03;91.62;82.12
6932030125878749403;IS 200;Njie,Haddy M;81.82;15.15;2.02;1.01;0.00;97.60;87.78
1181655504028429450;IS 200;Rabinovich,Tatiana;90.41;6.85;2.74;0.00;0.00;98.67;88.77
11023254395977506225;IS 200;Jordan,Erin Colleen;72.46;23.19;2.90;0.00;1.45;96.25;86.52
16916670354831144008;IS 200;Murray,Seth;60.49;28.40;8.64;1.23;1.23;94.17;84.57
18036023937951236780;IS 200;Zaarour,Khodr M;85.42;7.29;5.21;0.00;2.08;97.25;87.40
15445972700108485232;IS 200;Kennell,Amanda;35.14;28.38;22.97;1.35;12.16;86.65;77.30
8241847297768222037;IS 200;Di Cassio,Tara Lauren;85.44;9.71;3.88;0.00;0.97;97.72;87.86
15004606422361569449;IS 200;Klenk,Feras;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12440134377223085346;IS 200;Abillama,Raja;80.30;12.12;3.03;2.27;2.27;96.39;86.59
866709033493381861;IS 200;Lewald,Carol Ann;56.84;37.89;2.11;1.05;2.11;94.20;84.63
12075941844983751113;IS 200;Pitts,Graham Auman;81.63;18.37;0.00;0.00;0.00;97.98;88.16
14804429818675117326;IS 200;Prosper,Mamyrah A;59.38;25.00;9.38;0.00;6.25;92.72;83.13
2842197256855899304;IS 200;Ducros,Helene B.;13.48;29.21;38.20;10.11;8.99;81.94;72.81
10533445792679779532;IS 200;Voss,Michael Joel;62.32;31.88;2.90;1.45;1.45;94.84;85.22
17814047815419112178;IS 200;Palis,Joseph Santos Escobedo;69.70;27.27;1.52;0.00;1.52;96.06;86.36
2842577432916426493;IS 200;Crane-Seeber,Jesse P;43.14;49.02;3.92;1.96;1.96;92.37;82.94
701047323768066971;IS 200;Bhattarai,Harihar P;60.00;37.14;2.86;0.00;0.00;95.31;85.71
12857751606119630431;IS 200;Matson,Amanda Elizabeth;47.06;47.06;0.00;0.00;5.88;92.41;82.94
2505758306040352240;IS 250;Zaarour,Khodr M;63.64;27.27;6.06;0.00;3.03;94.48;84.85
39167950744412220;IS 250;Lewald,Carol Ann;66.15;29.23;3.08;0.00;1.54;95.51;85.85
9256275109652688225;IS 301;Murray,Seth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5909821664896707543;IS 393;Rabinovich,Tatiana;93.55;3.23;0.00;0.00;3.23;98.32;88.39
5374183478535207178;IS 393;Njie,Haddy M;54.41;41.18;2.94;0.00;1.47;94.25;84.71
8759204601004897264;IS 393;Kennell,Amanda;54.55;20.45;13.64;6.82;4.55;90.91;81.36
15551176012601020053;IS 393;Alff,Kristen;87.88;12.12;0.00;0.00;0.00;98.67;88.79
10878823075283718182;IS 393;McManus,Shea Connolly;86.57;7.46;1.49;2.99;1.49;97.33;87.46
9775807770008973814;IS 393;Lewald,Carol Ann;67.35;26.53;4.08;0.00;2.04;95.39;85.71
10048138776279158256;IS 393;Palis,Joseph Santos Escobedo;71.43;23.38;5.19;0.00;0.00;96.34;86.62
5562031036160255860;IS 393;Bhattarai,Harihar P;88.89;11.11;0.00;0.00;0.00;98.78;88.89
2410818866965279029;IS 393;Murray,Seth;39.18;43.30;9.28;3.09;5.15;90.22;80.82
15950771983774318333;IS 393;Patterson,Robert P.;75.68;16.22;8.11;0.00;0.00;96.51;86.76
8869373902619663181;IS 393;Haenn,Nora M;38.24;47.06;8.82;0.00;5.88;90.56;81.18
7466729413428361358;IS 393;Matson,Amanda Elizabeth;46.67;31.11;13.33;2.22;6.67;90.36;80.89
6666668535011906704;IS 393;Ziglar,Hope;50.00;31.25;6.25;6.25;6.25;90.75;81.25
4401958072780055439;IS 395;Njie,Haddy M;40.00;40.00;10.00;10.00;0.00;90.40;81.00
14801964921980455394;IS 395;Murray,Seth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7530676793573382828;IS 395;Lewald,Carol Ann;63.64;34.09;2.27;0.00;0.00;95.77;86.14
9955420584370680561;IS 395;Haenn,Nora M;0.00;66.67;33.33;0.00;0.00;85.67;76.67
790613812978551948;IS 395;Pitts,Graham Auman;91.67;8.33;0.00;0.00;0.00;99.08;89.17
3221755372666889883;IS 491;Zaarour,Khodr M;70.18;10.53;14.04;0.00;5.26;93.74;84.04
1116985051706214616;IS 491;Njie,Haddy M;47.92;41.67;6.25;0.00;4.17;92.40;82.92
9091027898152100729;IS 491;Haenn,Nora M;29.73;40.54;24.32;0.00;5.41;88.22;78.92
17081670890046912224;IS 491;Lewald,Carol Ann;60.00;34.29;2.86;0.00;2.86;94.46;84.86
1056733540718715717;IS 491;Abillama,Raja;69.23;15.38;12.82;0.00;2.56;94.56;84.87
16719841031494574365;IS 491;McManus,Shea Connolly;41.82;38.18;18.18;0.00;1.82;91.24;81.82
6631205119155569799;IS 491;Ducros,Helene B.;29.41;41.18;23.53;0.00;5.88;88.12;78.82
6978823960786298235;IS 491;Murray,Seth;41.38;27.59;18.97;0.00;12.07;88.03;78.62
14569087683680844662;IS 491;Clement,Anne Marie;81.82;9.09;9.09;0.00;0.00;97.09;87.27
15812589822136137644;IS 491;Palis,Joseph Santos Escobedo;76.19;19.05;4.76;0.00;0.00;96.90;87.14
1837370667640276269;IS 495;Zaarour,Khodr M;78.57;7.14;0.00;7.14;7.14;94.07;84.29
5241095367679948379;IS 495;Murray,Seth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
16705077758201738161;IS 495;Alff,Kristen;83.33;16.67;0.00;0.00;0.00;98.17;88.33
