Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13501322881437178278;ISE 110;Taheri,Javad;40.68;43.22;13.56;0.85;1.69;91.44;82.03
14102692330528794048;ISE 110;Basinger,Katie  ;60.29;23.53;16.18;0.00;0.00;94.01;84.41
9646355960911519199;ISE 110;King,Russell E.;36.46;22.92;23.96;7.29;9.38;86.34;76.98
8356577291060644397;ISE 110;Roberts,Stephen Dean;38.71;35.48;19.35;6.45;0.00;90.03;80.65
15901376822156559002;ISE 110;Uzsoy,Reha;19.74;26.32;19.74;22.37;11.84;81.17;71.97
2161666269258984923;ISE 110;Buch,Kuang-Hao;21.21;27.27;15.15;21.21;15.15;81.03;71.82
15709622217784245241;ISE 135;Ozaltin,Nur Ozge;45.30;40.88;9.94;3.31;0.55;92.16;82.71
1275187936522395854;ISE 135;Taheri,Javad;52.50;40.00;7.50;0.00;0.00;94.03;84.50
14966920622664274654;ISE 210;Matthews,Brian;92.86;3.57;0.00;3.57;0.00;98.50;88.57
13222491094917320940;ISE 210;Freeman Jr,John F;42.86;57.14;0.00;0.00;0.00;93.71;84.29
3862869289838233277;ISE 215;Dong,Jingyan;76.22;22.38;0.70;0.00;0.70;97.10;87.34
11006063440539999443;ISE 215;Harrysson,Ola Lars Anders;83.64;12.73;3.64;0.00;0.00;97.84;88.00
7336315094646217200;ISE 215;Wilson,Jack;87.04;11.11;1.85;0.00;0.00;98.39;88.52
8129282992544029249;ISE 215;Bharadwaj,Akshay G;34.48;48.28;17.24;0.00;0.00;91.07;81.72
4507768282130385349;ISE 215;Low,Jason;35.76;58.28;4.64;0.66;0.66;92.14;82.78
4357500169814047283;ISE 215;Wilson,Eli  ;65.05;31.07;1.94;0.00;1.94;95.38;85.73
17254057013761487734;ISE 215;Pahwa,Deepak  ;89.83;8.47;0.00;0.00;1.69;98.37;88.47
16482158584711614667;ISE 215;Starly,Binil;86.79;9.43;1.89;0.00;1.89;97.79;87.92
4337557250411022750;ISE 215;Vellanki Jawahar,Rohini Prasad  ;75.44;22.81;0.00;0.00;1.75;96.77;87.02
16291474701836535932;ISE 215;Srinivasan PhD,Harshad;88.64;9.09;0.00;0.00;2.27;98.07;88.18
6585784796995632825;ISE 216;Dong,Jingyan;26.15;70.00;3.85;0.00;0.00;91.49;82.23
11883934963312926384;ISE 216;Harrysson,Ola Lars Anders;17.93;55.43;23.91;2.72;0.00;88.04;78.86
15450948796114302902;ISE 216;Shirwaiker,Rohan Ajit;17.07;63.41;19.51;0.00;0.00;88.93;79.76
4599020742021422771;ISE 216;Cohen,Paul;19.39;67.27;10.91;1.82;0.61;89.50;80.30
3446929511524686297;ISE 216;Starly,Binil;78.98;17.20;3.82;0.00;0.00;97.31;87.52
5816148865322090089;ISE 216;Low,Jason;26.74;52.33;19.77;1.16;0.00;89.73;80.47
9907253931035129130;ISE 311;Irwin,Christopher Thomas;77.31;20.83;1.85;0.00;0.00;97.32;87.55
13294209505088335795;ISE 311;Ozaltin,Nur Ozge;41.44;38.67;17.68;1.66;0.55;91.29;81.88
14601339601941961023;ISE 311;Reynolds,Kanton T.;30.77;53.85;11.54;0.00;3.85;90.08;80.77
9054586342493835159;ISE 311;Lavelle,Jerome Philip;51.94;36.43;8.53;3.10;0.00;93.24;83.72
11920185133142552437;ISE 311;Goldani,Sanaz;62.50;27.50;5.00;5.00;0.00;94.38;84.75
8499148505578550318;ISE 311;Ahiska King,Semra Sebnem;40.91;31.82;18.18;4.55;4.55;89.41;80.00
15885736910746155705;ISE 311;Culbreth Jr,Charles Thomas;29.52;34.29;29.52;4.76;1.90;87.77;78.48
7919673508267180960;ISE 311;Bernhard,Richard Harold;23.01;34.51;37.17;4.42;0.88;86.66;77.43
12147266776395453203;ISE 311;Ayoub,Mahmoud A.;13.67;23.74;31.65;20.14;10.79;80.07;70.94
13358874866616619460;ISE 311;Taheri,Javad;29.63;35.19;18.52;11.11;5.56;86.52;77.22
14103516260725683371;ISE 315;Lee,Yuan-Shin;94.41;3.73;0.00;0.62;1.24;98.89;88.94
11597333663683561428;ISE 315;Coleman,Tim;95.83;2.08;0.00;0.00;2.08;98.92;88.96
5740154717408580899;ISE 315;Low,Jason;27.27;62.73;9.09;0.00;0.91;90.82;81.55
11768240742947284416;ISE 315;Wilson,Eli  ;60.64;36.17;3.19;0.00;0.00;95.35;85.74
18432527131531082951;ISE 315;Wang,Yi  ;66.67;33.33;0.00;0.00;0.00;96.33;86.67
8263978152634427868;ISE 315;Narayanan,Lokesh Karthik;90.91;9.09;0.00;0.00;0.00;99.00;89.09
13447564317874389139;ISE 315;Keough,Carter  ;97.83;2.17;0.00;0.00;0.00;99.76;89.78
6184873291204759924;ISE 315;Lekorchi,Ismail  ;51.67;33.33;11.67;3.33;0.00;92.85;83.33
6243069901349910008;ISE 315;Wysk PhD,Richard Allen;46.94;53.06;0.00;0.00;0.00;94.16;84.69
10020116467107786312;ISE 315;Dong,Jingyan;61.46;34.38;2.08;0.00;2.08;94.93;85.31
4300714226147067525;ISE 315;Tan,Zhuo  ;75.00;12.50;12.50;0.00;0.00;96.00;86.25
9902694375751062968;ISE 316;Lee,Yuan-Shin;34.76;45.73;17.68;1.22;0.61;90.63;81.28
5025653237651464331;ISE 316;Wang,Yi  ;65.75;32.88;0.00;1.37;0.00;95.96;86.30
17901803930680380867;ISE 316;Shirwaiker,Rohan Ajit;50.00;39.55;5.97;2.99;1.49;92.86;83.36
2880903615474426032;ISE 316;Cohen,Paul;24.47;53.19;19.15;1.06;2.13;88.93;79.68
13535033022742502438;ISE 316;Narayanan,Lokesh Karthik;50.00;50.00;0.00;0.00;0.00;94.50;85.00
884863798509189543;ISE 316;Keough,Carter  ;41.30;50.00;8.70;0.00;0.00;92.67;83.26
8039394806332790319;ISE 316;Huebner,Pedro;81.82;18.18;0.00;0.00;0.00;98.00;88.18
901989430189155073;ISE 316;Wysk PhD,Richard Allen;44.44;44.44;9.63;0.00;1.48;92.48;83.04
2619314311403029548;ISE 316;Tan,Zhuo  ;58.82;29.41;11.76;0.00;0.00;94.29;84.71
713099268891175869;ISE 316;Yang,Li;72.73;27.27;0.00;0.00;0.00;97.00;87.27
13045053232892321937;ISE 316;Low,Jason;6.67;53.33;33.33;6.67;0.00;85.07;76.00
6186786156791166603;ISE 331;Aman,Ronald Lee;72.73;18.18;9.09;0.00;0.00;96.09;86.36
15329755086161352973;ISE 352;Xu,Xu;77.02;16.15;6.21;0.62;0.00;96.73;86.96
12226126383223221748;ISE 352;Abate,Julia G;72.92;14.58;8.33;2.08;2.08;95.15;85.42
15473853619166337665;ISE 352;Nam,Chang S;43.06;46.53;8.33;1.39;0.69;92.42;82.99
12163066482764244463;ISE 352;Kaber,David B;20.75;46.23;25.47;4.72;2.83;86.94;77.74
11272470943522660037;ISE 352;Smith Jr,Clarence Lafayette;28.87;29.90;35.05;5.15;1.03;87.33;78.04
3249620374621991756;ISE 361;Ozaltin,Osman Yalin;33.93;48.81;14.88;1.79;0.60;90.71;81.37
10590013941344118906;ISE 361;Garg,Vasuki;53.49;30.23;9.30;4.65;2.33;92.33;82.79
1388358963129089765;ISE 361;Ahiska King,Semra Sebnem;36.67;36.67;16.67;6.67;3.33;89.03;79.67
2064172926798466957;ISE 361;Tobey,Margaret  ;39.13;45.65;8.70;6.52;0.00;91.13;81.74
18375346188305661343;ISE 361;Mayorga,Maria Esther;39.36;40.96;12.23;5.32;2.13;90.40;81.01
18315603603518497936;ISE 361;Koutouan,Priscille  ;35.90;17.95;20.51;10.26;15.38;84.23;74.87
6249894793964793053;ISE 361;Konrad,Kurtis  ;76.47;17.65;0.00;5.88;0.00;96.24;86.47
4359506443849494666;ISE 361;Swan,Breanna  ;34.38;53.13;9.38;0.00;3.13;90.91;81.56
10585134597403673729;ISE 361;Bansal,Ankit  ;37.50;27.50;22.50;7.50;5.00;87.88;78.50
18393568633553516832;ISE 361;Zhang,Junlong  ;62.26;35.85;1.89;0.00;0.00;95.66;86.04
13141095521847320947;ISE 361;Enayati,Shakiba;60.71;28.57;7.14;1.79;1.79;94.07;84.46
7268736474137137071;ISE 361;Albey,Erinc;42.86;23.81;23.81;9.52;0.00;89.43;80.00
16492100257500466009;ISE 361;Taheri,Javad;52.27;36.36;11.36;0.00;0.00;93.61;84.09
14419922550009349399;ISE 361;Ellison,Victoria Marie;20.83;33.33;33.33;8.33;4.17;85.04;75.83
2719150570034264393;ISE 361;Berg,Bjorn Paul;17.86;53.57;17.86;7.14;3.57;86.68;77.50
16563116388391125047;ISE 361;Denton,Brian;21.79;41.03;25.64;6.41;5.13;86.01;76.79
3739528786009463563;ISE 361;Mason,Jennifer Elizabeth;34.62;38.46;23.08;0.00;3.85;89.35;80.00
16210151205675950777;ISE 362;King,Russell E.;29.79;40.43;22.70;4.96;2.13;88.38;79.08
11060876675434957728;ISE 362;Rosenstrom,Erik Thomas;36.17;29.79;27.66;4.26;2.13;88.72;79.36
18178886586658660391;ISE 362;Ha,Yunsoo  ;41.30;39.13;10.87;4.35;4.35;90.28;80.87
18146152614956578605;ISE 362;Konrad,Kurtis  ;57.97;27.54;7.25;5.80;1.45;93.06;83.48
18349314992867967808;ISE 362;Ahiska King,Semra Sebnem;30.65;46.77;17.74;4.84;0.00;89.63;80.32
7099269585376217109;ISE 362;Khorramfar,Rahman  ;46.34;36.59;4.88;9.76;2.44;90.93;81.46
3652869201720568684;ISE 362;Liu,Yunan;44.57;47.83;5.43;0.00;2.17;92.71;83.26
13133531380638860281;ISE 362;Zhang,Ling  ;46.34;31.71;21.95;0.00;0.00;91.90;82.44
16272351119179909512;ISE 362;Hovey,Kyle  ;44.00;28.00;26.00;2.00;0.00;90.84;81.40
