Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
13009236042042696033;JEM 123;Ramsey,David A;84.70;8.74;1.64;0.55;4.37;96.73;86.89
9192832105274475805;JEM 123;Rosenberg,Neil;58.70;18.12;12.32;1.45;9.42;91.11;81.52
450078887428923736;JEM 123;Bruce,Rebecca F;66.67;13.53;7.73;3.38;8.70;92.28;82.61
7723462281284438429;JEM 180;Ungar,Eugene K;69.70;27.27;3.03;0.00;0.00;96.36;86.67
5916502395479650054;JEM 180;Muthukrishnan,N. Moorthy;34.72;38.89;16.67;5.56;4.17;88.79;79.44
2676070827510331079;JEM 180;Bruce,Rebecca F;53.66;21.95;14.63;4.27;5.49;90.94;81.40
16963715560794916882;JEM 360;Ramsey,David A;98.44;0.00;0.00;0.00;1.56;99.36;89.38
11429477743404546794;JEM 360;Rosenberg,Neil;79.41;17.65;0.98;1.96;0.00;97.25;87.45
13008521928804536014;JEM 360;Bruce,Rebecca F;79.25;20.75;0.00;0.00;0.00;97.72;87.92
15705150685321625105;JEM 420;Buckner,Eli Dwayne;29.85;49.25;13.43;7.46;0.00;89.45;80.15
16883153163109798527;JEM 420;Reyhanoglu,Mahmut;18.81;29.70;32.67;16.83;1.98;83.84;74.65
765868822436738679;JEM 455;Buckner,Eli Dwayne;58.62;31.03;10.34;0.00;0.00;94.41;84.83
16463082600531090007;JEM 455;Reyhanoglu,Mahmut;28.00;24.00;44.00;0.00;4.00;86.48;77.20
6186359167991688835;JEM 484;Ramsey,David A;97.50;0.00;2.50;0.00;0.00;99.48;89.50
9114396995037321092;JEM 484;Muthukrishnan,N. Moorthy;100.00;0.00;0.00;0.00;0.00;100.00;90.00
524807986392121350;JEM 484;Brower,Laura;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4039257640309039717;JEM 484;Reyhanoglu,Mahmut;97.50;0.00;0.00;0.00;2.50;98.98;89.00
8558044098852044944;JEM 484;Bruce,Rebecca F;83.72;13.95;2.33;0.00;0.00;97.98;88.14
7074043094614482074;JEM 484;Erb,David A;66.67;33.33;0.00;0.00;0.00;96.33;86.67
16273551617503973775;JEM 485;Ramsey,David A;66.67;16.67;16.67;0.00;0.00;94.67;85.00
14353874154175873433;JEM 485;Muthukrishnan,N. Moorthy;95.24;4.76;0.00;0.00;0.00;99.48;89.52
6238843349562104099;JEM 485;Brower,Laura;91.67;8.33;0.00;0.00;0.00;99.08;89.17
855901509828297889;JEM 485;Reyhanoglu,Mahmut;95.45;4.55;0.00;0.00;0.00;99.50;89.55
4396180780032895670;JEM 485;Bruce,Rebecca F;41.67;58.33;0.00;0.00;0.00;93.58;84.17
16284307299327986904;JEM 485;Rosenberg,Neil;77.42;12.90;9.68;0.00;0.00;96.55;86.77
10601612122595020473;JEM 485;Erb,David A;75.00;12.50;12.50;0.00;0.00;96.00;86.25
