Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1195303051858598306;LAR 200;Rice,Arthur R;90.00;0.00;10.00;0.00;0.00;97.90;88.00
5198142433417077892;LAR 200;Clarke,Lewis Nigel;57.14;42.86;0.00;0.00;0.00;95.29;85.71
645305816586957261;LAR 210;Delcambre,Carla F;77.78;16.67;5.56;0.00;0.00;97.00;87.22
4176235619598580856;LAR 210;Siran,Kimberly J;88.89;11.11;0.00;0.00;0.00;98.78;88.89
10643709396162898648;LAR 211;Blaylock,Derek Christian;88.37;9.30;0.00;0.00;2.33;98.02;88.14
3077470522571996805;LAR 211;Eno,Sean Makoto;65.85;34.15;0.00;0.00;0.00;96.24;86.59
15331803192030316010;LAR 211;Lelekacs,Joanna Massey;33.33;58.33;8.33;0.00;0.00;91.83;82.50
18283054136409044578;LAR 221;Cosco,Nilda Graciela;84.13;12.70;3.17;0.00;0.00;97.94;88.10
11012922698272846326;LAR 222;Rice,Arthur R;64.86;29.73;5.41;0.00;0.00;95.59;85.95
4096386426576450163;LAR 222;Marchant Montenegro,Hernan Pedro;92.31;7.69;0.00;0.00;0.00;99.15;89.23
3226500554368997831;LAR 292;Calkins,Meg;76.92;7.69;15.38;0.00;0.00;95.92;86.15
1413984960723591368;LAR 400;Delcambre,Carla F;81.48;18.52;0.00;0.00;0.00;97.96;88.15
1875713876476673249;LAR 400;Crawford,Thomas Carter;85.71;14.29;0.00;0.00;0.00;98.43;88.57
8463092497283946109;LAR 444;Magallanes,Fernando H.;59.80;30.39;4.90;2.94;1.96;93.91;84.31
11044782116278637485;LAR 445;Calkins,Meg;47.73;19.32;17.05;4.55;11.36;88.23;78.75
15143333547963269933;LAR 457;Delcambre,Carla F;90.00;10.00;0.00;0.00;0.00;98.90;89.00
16764712527099829980;LAR 457;Boone,Kofi Malik;56.25;40.63;3.13;0.00;0.00;94.88;85.31
14759948244402749148;LAR 492;Bressler,Eugene H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9434820103549352500;LAR 500;Fox,Andrew Alan;69.23;19.23;11.54;0.00;0.00;95.46;85.77
7090441603956104907;LAR 500;Delcambre,Carla F;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15004594879095184170;LAR 500;Abrams,Robin Fran;80.00;13.33;6.67;0.00;0.00;97.13;87.33
12835163778302983781;LAR 500;Layton PhD,Robby Dale;46.67;46.67;6.67;0.00;0.00;93.47;84.00
2695961815521651910;LAR 500;Boone,Kofi Malik;84.09;13.64;2.27;0.00;0.00;98.02;88.18
5692568216126554278;LAR 500;Pasalar,Celen;73.68;26.32;0.00;0.00;0.00;97.11;87.37
4076689089027760312;LAR 500;Bressler,Eugene H;50.00;37.50;0.00;0.00;12.50;90.75;81.25
11722687667981369076;LAR 500;Atkinson,Simon David;66.67;33.33;0.00;0.00;0.00;96.33;86.67
15274378674468083180;LAR 500;Magallanes,Fernando H.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13324431587040217680;LAR 501;Delcambre,Carla F;88.14;11.86;0.00;0.00;0.00;98.69;88.81
10564338987073464441;LAR 501;Yi,Dong-Jae;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4407819633678088536;LAR 501;Adlakha,Deepti;95.24;4.76;0.00;0.00;0.00;99.48;89.52
17659251023066597449;LAR 501;Magallanes,Fernando H.;63.16;36.84;0.00;0.00;0.00;95.95;86.32
10263873281133079247;LAR 501;Rice,Arthur R;83.33;16.67;0.00;0.00;0.00;98.17;88.33
1835270463000348818;LAR 502;Calkins,Meg;65.22;30.43;2.17;0.00;2.17;95.30;85.65
9716085260111232883;LAR 502;Monette,Benjamin;56.00;32.00;12.00;0.00;0.00;93.96;84.40
2763214398770076055;LAR 502;Magallanes,Fernando H.;83.08;16.92;0.00;0.00;0.00;98.14;88.31
3352317455345231148;LAR 502;Boone,Kofi Malik;89.13;10.87;0.00;0.00;0.00;98.80;88.91
13224760377603109867;LAR 502;Rice,Arthur R;87.50;12.50;0.00;0.00;0.00;98.63;88.75
6941129235528158635;LAR 502;Delcambre,Carla F;73.08;26.92;0.00;0.00;0.00;97.04;87.31
5383914824393948009;LAR 503;Monette,Benjamin;67.92;32.08;0.00;0.00;0.00;96.47;86.79
10376671944123186685;LAR 503;Klondike,Travis Matthew;76.92;21.15;0.00;0.00;1.92;96.88;87.12
8749112249539813052;LAR 503;Fox,Andrew Alan;61.22;30.61;8.16;0.00;0.00;94.92;85.31
10319855582537500169;LAR 503;Delcambre,Carla F;84.48;12.07;3.45;0.00;0.00;97.95;88.10
3470137142357761969;LAR 503;Siran,Kimberly J;71.43;14.29;14.29;0.00;0.00;95.43;85.71
18322365326434138464;LAR 503;Boone,Kofi Malik;55.88;35.29;8.82;0.00;0.00;94.26;84.71
14879424623555455321;LAR 505;Magallanes,Fernando H.;78.95;21.05;0.00;0.00;0.00;97.68;87.89
5811682067944453446;LAR 505;Rice,Arthur R;71.88;25.00;3.13;0.00;0.00;96.59;86.88
8522489001390480203;LAR 505;Delcambre,Carla F;70.00;20.00;10.00;0.00;0.00;95.70;86.00
14001059006199579949;LAR 505;Clarke,Lewis Nigel;75.00;25.00;0.00;0.00;0.00;97.25;87.50
13211072422622899984;LAR 506;Delcambre,Carla F;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4828977358758855302;LAR 507;Bellalta,Maria De La Gracia;66.67;22.22;11.11;0.00;0.00;95.22;85.56
3889174024159216310;LAR 507;Fox,Roberta Maureen Kunz;64.29;35.71;0.00;0.00;0.00;96.07;86.43
336204721771933168;LAR 507;Fox,Andrew Alan;83.72;13.95;2.33;0.00;0.00;97.98;88.14
3702125198210623743;LAR 507;Magallanes,Fernando H.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18187522538701671004;LAR 507;Pasalar,Celen;97.06;2.94;0.00;0.00;0.00;99.68;89.71
14049875457673585607;LAR 507;Adlakha,Deepti;80.00;20.00;0.00;0.00;0.00;97.80;88.00
17766957258261029868;LAR 507;Bressler,Eugene H;40.00;60.00;0.00;0.00;0.00;93.40;84.00
10703672356121057398;LAR 507;Boone,Kofi Malik;100.00;0.00;0.00;0.00;0.00;100.00;90.00
713522782794418898;LAR 507;Klondike,Travis Matthew;40.00;60.00;0.00;0.00;0.00;93.40;84.00
11564290827887759733;LAR 510;Magallanes,Fernando H.;67.57;29.73;2.70;0.00;0.00;96.16;86.49
10531090727167371449;LAR 510;Rice,Arthur R;58.82;41.18;0.00;0.00;0.00;95.47;85.88
4428480142182479271;LAR 510;Marchant Montenegro,Hernan Pedro;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12109210554820934175;LAR 511;Jennings,Michael Dean;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11799673976931072548;LAR 514;Baldwin,Madalyn;82.86;11.43;5.71;0.00;0.00;97.54;87.71
13542977635603025443;LAR 514;Delcambre,Carla F;90.32;9.68;0.00;0.00;0.00;98.94;89.03
2465154791391291593;LAR 517;Harrell,Andrew  ;87.88;6.06;3.03;0.00;3.03;97.45;87.58
4371902007364187675;LAR 517;McCoy,Emily;98.04;0.00;1.96;0.00;0.00;99.59;89.61
17620035979117178735;LAR 520;Fox,Andrew Alan;86.60;10.31;3.09;0.00;0.00;98.22;88.35
17388393735677952833;LAR 521;Swink,Rodney;38.60;57.89;3.51;0.00;0.00;92.89;83.51
11216682056330701688;LAR 523;Sherk,Julieta Trevino;85.48;11.29;3.23;0.00;0.00;98.08;88.23
15737224171706144048;LAR 524;Sherk,Julieta Trevino;95.31;4.69;0.00;0.00;0.00;99.48;89.53
4888962063688541827;LAR 527;Bowman,Austin;60.00;37.50;0.00;0.00;2.50;94.85;85.25
16215762575196192852;LAR 527;Delcambre,Carla F;51.22;48.78;0.00;0.00;0.00;94.63;85.12
13574983743895704851;LAR 527;Magallanes,Fernando H.;77.78;22.22;0.00;0.00;0.00;97.56;87.78
8625338048395899448;LAR 527;Rice,Arthur R;96.55;3.45;0.00;0.00;0.00;99.62;89.66
11038805475063050716;LAR 528;Calkins,Meg;82.86;17.14;0.00;0.00;0.00;98.11;88.29
12477023723672453769;LAR 534;Boone,Kofi Malik;98.68;1.32;0.00;0.00;0.00;99.86;89.87
15217467534656399313;LAR 535;Boone,Kofi Malik;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9372140181271604043;LAR 540;Pasalar,Celen;83.33;16.67;0.00;0.00;0.00;98.17;88.33
8026743561575158041;LAR 543;McCoy,Emily;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2655202346019476998;LAR 545;Howe,Daniel Anthony;68.24;30.59;1.18;0.00;0.00;96.39;86.71
14807280414354624849;LAR 546;Flink,Charles Albert;90.48;9.52;0.00;0.00;0.00;98.95;89.05
2534400887604856424;LAR 550;Swink,Rodney;89.47;8.77;1.75;0.00;0.00;98.67;88.77
11848206361714491521;LAR 552;Smith,Gavin Paul;71.79;25.64;2.56;0.00;0.00;96.64;86.92
9221376526406291325;LAR 554;Smith,Gavin Paul;94.23;5.77;0.00;0.00;0.00;99.37;89.42
3634533053095138368;LAR 565;Kjaer,Peter Krarup;40.00;20.00;40.00;0.00;0.00;89.40;80.00
9733472361950246564;LAR 565;Rice,Arthur R;25.00;71.88;3.13;0.00;0.00;91.44;82.19
4712520470579085709;LAR 565;Boone,Kofi Malik;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10745388941936942720;LAR 565;Marchant Montenegro,Hernan Pedro;57.14;42.86;0.00;0.00;0.00;95.29;85.71
5389937569650636598;LAR 576;Tomlinson,James D;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17832974286279497445;LAR 577;Atkinson,Simon David;72.22;27.78;0.00;0.00;0.00;96.94;87.22
15385730440598547275;LAR 578;Fox,Andrew Alan;82.86;17.14;0.00;0.00;0.00;98.11;88.29
4329594632526498464;LAR 578;Colson,Thomas P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13366831798162433171;LAR 579;Moore,Robin C.;93.62;6.38;0.00;0.00;0.00;99.30;89.36
