Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
10228896730990271842;LAT 101;Heinen,Dustin Ryan;44.83;24.14;17.24;10.34;3.45;89.10;79.66
8647267295953622657;LAT 101;Myers,Micah Young;50.82;29.51;14.75;3.28;1.64;91.97;82.46
2167485603267425949;LAT 101;Mathews,Gary Lynn;20.59;38.24;14.71;5.88;20.59;82.44;73.24
4788239291594130108;LAT 102;Heinen,Dustin Ryan;50.00;20.59;14.71;5.88;8.82;89.21;79.71
13155821629675943358;LAT 102;Myers,Micah Young;37.25;37.25;17.65;5.88;1.96;89.57;80.20
4917399264190033661;LAT 102;Mathews,Gary Lynn;33.33;55.56;5.56;0.00;5.56;90.44;81.11
15079785240168341916;LAT 102;Packman,Zola Marie;40.00;30.00;20.00;3.33;6.67;88.73;79.33
13944992672630653702;LAT 201;Heinen,Dustin Ryan;47.46;30.51;10.17;6.78;5.08;90.32;80.85
326754320326472760;LAT 201;Myers,Micah Young;57.14;32.14;5.36;3.57;1.79;93.50;83.93
10768640086904239812;LAT 201;Mathews,Gary Lynn;24.53;35.85;33.96;3.77;1.89;86.98;77.74
3757344906129409930;LAT 202;Heinen,Dustin Ryan;57.14;42.86;0.00;0.00;0.00;95.29;85.71
11012739916436654381;LAT 202;Mathews,Gary Lynn;77.78;11.11;11.11;0.00;0.00;96.44;86.67
