Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
2290845711480838682;LOG 201;Kidd,Brandon;48.84;18.60;11.63;10.47;10.47;87.98;78.49
6442162149804476852;LOG 201;Middleton,Ben;43.84;38.36;12.33;2.74;2.74;91.22;81.78
7296527092094156266;LOG 201;Carter,Eric K;67.92;16.04;4.72;0.94;10.38;92.70;83.02
3318143465086063011;LOG 201;Richardson,Kevin Andrew;28.57;36.51;14.29;6.35;14.29;85.16;75.87
3569693910663105981;LOG 201;Logan,Shay Allen;30.93;36.08;24.74;1.03;7.22;87.56;78.25
4121781926354078449;LOG 201;Hafner,Johannes;32.26;29.03;1.61;6.45;30.65;81.90;72.58
4579746712336347821;LOG 201;Auerbach,David D.;36.36;18.18;11.36;2.27;31.82;81.86;72.50
14513132675397553154;LOG 335;Kidd,Brandon;58.33;25.00;5.56;2.78;8.33;91.81;82.22
10849001916184211495;LOG 335;Wu,Xinhe;48.28;24.14;17.24;6.90;3.45;90.17;80.69
18202823486630077076;LOG 335;Carroll,John W;65.00;30.00;2.50;0.00;2.50;95.15;85.50
6997960937612621852;LOG 335;Richardson,Kevin Andrew;46.88;37.50;12.50;3.13;0.00;92.28;82.81
15819087576767415002;LOG 335;Logan,Shay Allen;59.38;34.38;3.13;0.00;3.13;94.28;84.69
8094956211029063556;LOG 335;Auerbach,David D.;30.56;55.56;8.33;0.00;5.56;89.86;80.56
16236613931231713462;LOG 335;Hafner,Johannes;14.29;28.57;10.71;10.71;35.71;76.64;67.50
13836733340947140929;LOG 430;Richardson,Kevin Andrew;80.00;0.00;0.00;10.00;10.00;92.80;83.00
11184014748706406695;LOG 435;Auerbach,David D.;40.00;60.00;0.00;0.00;0.00;93.40;84.00
