Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
378443023848385020;LPS 200;Appling,Tracy Ann;60.71;26.79;8.93;1.79;1.79;93.89;84.29
12868557873374727131;LPS 200;Edwards,Amanda Ross;59.26;25.93;7.41;3.70;3.70;92.93;83.33
5445196921427728024;LPS 200;Ozturk,Ali Osman;79.49;12.82;1.28;1.28;5.13;95.82;86.03
10378556612350122573;LPS 201;DeLeon,Sherry Jo;88.14;8.47;0.00;0.00;3.39;97.68;87.80
1489878703112591124;LPS 202;Laraway,Kelly H.;81.25;18.75;0.00;0.00;0.00;97.94;88.13
6113359314248959810;LPS 202;Appling,Tracy Ann;31.71;39.02;12.20;17.07;0.00;87.85;78.54
4290781796739901361;LPS 205;Mitin,Dmitri;21.43;57.14;7.14;0.00;14.29;86.36;77.14
5236269979408112911;LPS 302;Appling,Tracy Ann;23.26;37.21;25.58;2.33;11.63;85.05;75.81
17068397958521540083;LPS 302;Edwards,Amanda Ross;23.33;16.67;16.67;16.67;26.67;78.57;69.33
6075078476534265176;LPS 304;Laraway,Kelly H.;85.29;5.88;0.00;0.00;8.82;95.74;85.88
12713994801735094891;LPS 308;DeLeon,Sherry Jo;86.05;6.98;6.98;0.00;0.00;97.77;87.91
16026492701078075387;LPS 315;Perry,Frank L;51.61;40.32;6.45;1.61;0.00;93.71;84.19
14352015396497399977;LPS 315;Bishop PhD,Holly Danford;75.00;25.00;0.00;0.00;0.00;97.25;87.50
5222220377147093859;LPS 315;Ozturk,Ali Osman;72.58;16.13;6.45;0.00;4.84;94.89;85.16
4073086745971332591;LPS 320;Mitin,Dmitri;19.44;44.44;22.22;2.78;11.11;85.03;75.83
4806084389737495996;LPS 398;DeLeon,Sherry Jo;66.67;27.27;6.06;0.00;0.00;95.73;86.06
12884116036981404141;LPS 400;Bolger,Daniel Patrick;77.78;11.11;0.00;0.00;11.11;94.22;84.44
12645500837240289412;LPS 425;Edwards,Amanda Ross;67.27;25.45;3.64;0.00;3.64;94.95;85.27
5934555437061363147;LPS 425;Kearney,Richard Craig;47.69;41.54;7.69;0.00;3.08;92.55;83.08
