Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6771648472955480725;LSC 101;Kuo,Hung-Chieh;91.75;5.67;0.52;1.03;1.03;98.53;88.61
2638584950484833589;LSC 101;Flores,Jason Francisco;92.62;4.03;2.01;0.00;1.34;98.58;88.66
17843521435793992329;LSC 101;Kosal,Erica;81.13;16.04;2.83;0.00;0.00;97.64;87.83
4771851332905744887;LSC 101;Duffy,Alli  ;80.39;15.69;3.92;0.00;0.00;97.45;87.65
17920212831546119104;LSC 101;Estes,Patricia A;87.77;10.07;2.16;0.00;0.00;98.44;88.56
1335928606921701578;LSC 101;Luck,Paige J;87.80;7.32;4.88;0.00;0.00;98.17;88.29
6611730603859174896;LSC 101;Little,Joy;88.64;9.09;2.27;0.00;0.00;98.52;88.64
777722983081756410;LSC 101;McGraw,Lisa Anne;87.34;10.13;2.53;0.00;0.00;98.35;88.48
18006672038342120857;LSC 101;Parks,Lisa D;93.28;6.72;0.00;0.00;0.00;99.26;89.33
1956870020006897347;LSC 101;Tanskey,Lindsay Ann;88.46;7.69;0.00;0.00;3.85;97.58;87.69
6927228136077972078;LSC 101;Lubischer,Jane L.;76.99;17.70;5.31;0.00;0.00;96.94;87.17
2171895989411718792;LSC 101;Landin,Jennifer Marie;91.89;7.21;0.90;0.00;0.00;99.02;89.10
1324397921270087162;LSC 103;Lo,Victoria;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6306893303593896120;LSC 103;Sisneros,Vince;82.35;12.94;4.71;0.00;0.00;97.59;87.76
7258720426287815108;LSC 103;Rose,Pam;97.67;2.33;0.00;0.00;0.00;99.74;89.77
11248416949422582438;LSC 103;Malito,Molly;97.65;2.35;0.00;0.00;0.00;99.74;89.76
13857475614656798618;LSC 103;Bullard,Deanna;90.48;4.76;3.57;1.19;0.00;98.36;88.45
293490774596579226;LSC 103;Trebilcock,Natalie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15176926454585412566;LSC 103;Coakley,Maeve Elizabeth;92.31;3.85;3.85;0.00;0.00;98.77;88.85
904999776095019320;LSC 103;Kosal,Erica;90.77;6.15;3.08;0.00;0.00;98.68;88.77
11818537872430699751;LSC 103;Luckey,Shantel Brown;93.94;2.02;1.01;2.02;1.01;98.53;88.59
2078249863971366002;LSC 103;Zimmerman,Karina;91.01;3.37;3.37;1.12;1.12;98.11;88.20
5516694962018128165;LSC 103;Blais,Christa Lee;91.96;7.14;0.00;0.00;0.89;98.85;88.93
3828168062067746914;LSC 103;Lee,Michael Joseph;94.39;1.87;1.87;0.00;1.87;98.64;88.69
3534542146554360810;LSC 103;Higgs,Uronda Elizabeth;97.03;2.97;0.00;0.00;0.00;99.67;89.70
17751872211394077712;LSC 103;Bessey,Sarah;91.58;6.32;1.05;0.00;1.05;98.65;88.74
17802711720671327018;LSC 103;Horne,Dana Lynn;85.11;10.64;1.06;0.00;3.19;97.30;87.45
11731980994148089635;LSC 103;Miller,Sarah Cooper;93.88;3.06;2.04;0.00;1.02;98.82;88.88
17774559936378083174;LSC 103;Moore,Pa Nhia;94.05;3.57;1.19;1.19;0.00;98.99;89.05
5126203732107317613;LSC 103;Lamb,Susan Smith;85.15;9.90;2.97;0.99;0.99;97.57;87.72
3321646220054424184;LSC 103;Glaze,Bianca;97.83;0.00;2.17;0.00;0.00;99.54;89.57
12741958747729321934;LSC 103;Hubbard,Anne;86.67;8.89;4.44;0.00;0.00;98.09;88.22
15531013883472410329;LSC 103;Bunds,Natalie Swisher;82.95;11.36;3.41;0.00;2.27;97.10;87.27
7077330821809950508;LSC 103;Seiling,Erin;76.77;17.17;6.06;0.00;0.00;96.84;87.07
10528991617982191681;LSC 170;Ross,Ann Helen;98.18;0.00;0.00;0.00;1.82;99.25;89.27
17901568955277350536;LSC 170;Furgurson,Jill Marie;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9231323802536150278;LSC 170;Arguello-Miranda PhD,Orlando;78.95;21.05;0.00;0.00;0.00;97.68;87.89
5726858721755090300;LSC 170;Cohen,Allen C;95.00;5.00;0.00;0.00;0.00;99.45;89.50
16549581561151633722;LSC 170;Nobles,Currey;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10882417173037143046;LSC 170;Lubischer,Jane L.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
