Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
18272225788706566854;M 100;Ridgell,Kayla  ;90.53;7.69;1.78;0.00;0.00;98.78;88.88
2346439359558766191;M 100;Elliott,Alyssa Nicole;92.34;6.13;0.77;0.00;0.77;98.85;88.93
9329521124629110825;M 100;Kelsey,Jason Cedric;87.35;9.14;2.14;0.58;0.78;98.04;88.17
783506821849055621;M 100;Howard,Gwyneth Elizabeth;91.79;6.38;1.82;0.00;0.00;98.91;89.00
14243382424368236232;M 100;Reiley,Stephanie;76.35;14.19;3.38;3.38;2.70;95.57;85.81
13528071275836851778;M 100;Sullivan,Toyette Lenee;86.50;11.00;2.00;0.00;0.50;98.17;88.30
11413051380497907260;M 100;Bowley,Kayla;82.67;13.07;3.04;0.61;0.61;97.49;87.66
16216544742212038775;M 100;Fowler,Monty;91.07;8.93;0.00;0.00;0.00;99.02;89.11
14578502540278942036;M 100;Lawson,Julia Vaughan;92.27;3.31;3.31;0.55;0.55;98.54;88.62
1090805570273394858;M 100;Ragone,Christina;76.27;16.95;3.39;3.39;0.00;96.37;86.61
5084502270666871043;M 100;Agunbiade,Ayo Akin;71.74;14.13;9.24;2.72;2.17;94.77;85.05
7182881309840350837;M 100;McLamb,Jennifer L;89.27;5.08;4.52;0.00;1.13;98.03;88.14
15820386331409220583;M 100;Wright,Melusian Rachelle;84.90;9.90;3.13;1.04;1.04;97.51;87.66
15199614691769807809;M 100;Chappell,Eleanor Anne;72.73;20.00;3.64;1.82;1.82;95.73;86.00
5864764970296989779;M 100;McMican,Jordan;63.73;20.10;7.84;4.41;3.92;93.17;83.53
15549178615364988190;M 100;Dodds,Alissa Sikula;87.10;8.29;1.38;0.92;2.30;97.57;87.70
13992018303657343627;M 100;Van Hook,Megan;90.65;6.54;1.40;0.47;0.93;98.46;88.55
4067052522370427103;M 100;Martin,Keith;83.33;11.26;3.15;0.90;1.35;97.27;87.43
9976365946701781684;M 100;Bruchey,Justin;72.22;8.33;12.50;4.17;2.78;94.03;84.31
15311876161467813223;M 100;Upchurch,DeWhitney Ann;74.86;18.99;4.47;0.56;1.12;96.34;86.59
8252314429627988834;M 100;Yandle,Tommy;87.50;8.93;3.57;0.00;0.00;98.27;88.39
1956145888924740450;M 100;Morant,Tamah Chesney;79.55;20.45;0.00;0.00;0.00;97.75;87.95
13250540099836543116;M 100;Peters,Brian A;94.65;5.35;0.00;0.00;0.00;99.41;89.47
17860477737651588608;M 100;DeRousie PhD,Jason Charles;86.21;13.79;0.00;0.00;0.00;98.48;88.62
15294243881503039137;M 100;Brown,Lauren H.;86.89;8.20;3.28;0.55;1.09;97.79;87.92
16048263492501753637;M 100;Sandruck,Robert Lee;83.08;12.31;0.00;0.00;4.62;96.75;86.92
1903205533265361011;M 100;Yarboro,Bonnie Carol;86.89;11.48;1.64;0.00;0.00;98.39;88.52
12547921776923565738;M 100;Frost,Ellen Joyce;86.67;13.33;0.00;0.00;0.00;98.53;88.67
16998264465224805870;M 100;Anderson,Deborah Kempton;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4825695943169092744;M 100;Edward,Shannon Regan;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8551648953110162443;M 100;Allen,Latia Charisse;0.00;0.00;0.00;0.00;0.00;0.00;0.00
426702223802817803;M 100;Warren,Elizabeth Ashley;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10704270419847210093;M 100;Forell,Kristy Leigh Hamm;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3575037548175343506;M 100;Smith Young,Melody C;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1254162913038170291;M 120;DeBerardino,Christina Anne;82.64;10.93;4.18;1.29;0.96;97.13;87.30
8866273856302305235;M 120;Cline,Julie Marie;91.18;3.92;0.00;0.00;4.90;97.56;87.65
17930886272894820958;M 120;Wiersma,Tyler Jon;57.81;23.44;10.94;3.13;4.69;92.23;82.66
8683392305056199427;M 120;Martin,Leanna Christine;96.00;4.00;0.00;0.00;0.00;99.56;89.60
10188604772480768842;M 120;McAllister,Heather  ;88.06;10.45;0.00;0.00;1.49;98.24;88.36
6260131652297251243;M 120;Newton,Brian;76.19;20.63;1.59;0.00;1.59;96.75;86.98
9590587064479596054;M 120;Morant,Tamah Chesney;68.00;20.00;12.00;0.00;0.00;95.28;85.60
13739558345475346804;M 298;Morant,Tamah Chesney;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13588480499094850441;M 298;Byrnes,Thomas Joseph;100.00;0.00;0.00;0.00;0.00;100.00;90.00
10469755730556259877;M 298;Ashbaugh,Bradley K;97.56;2.44;0.00;0.00;0.00;99.73;89.76
5521488801690110290;M 298;Brown,Deborah M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17600815199219732909;M 298;Nealon,Patrice Fontaine;95.12;4.88;0.00;0.00;0.00;99.46;89.51
17572320996708992278;M 298;Hyman,David N.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
15194439220010378000;M 298;Davis,K. Shannon;84.09;6.82;9.09;0.00;0.00;97.34;87.50
14150759253416177803;M 298;Carvajal Zaera,Enrique;22.22;72.22;5.56;0.00;0.00;90.89;81.67
11174885365016371548;M 300;Brown,Lauren H.;96.69;3.31;0.00;0.00;0.00;99.64;89.67
5272836684345360020;M 380;Verhallen PhD,Pieter F. E.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
17827150025044571719;M 380;Huie,Haley Elizabeth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7555228497965946760;M 380;Hergeth,Helmut H;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12731570544471127328;M 380;Lowe Reed,Allison S;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4445575952897061243;M 380;Ashbaugh,Bradley K;100.00;0.00;0.00;0.00;0.00;100.00;90.00
13869707714681714914;M 380;Nealon,Patrice Fontaine;97.75;2.25;0.00;0.00;0.00;99.75;89.78
10217587637541476928;M 380;Hart,Melissa M;96.43;3.57;0.00;0.00;0.00;99.61;89.64
710493308833680452;M 380;Byrnes,Thomas Joseph;96.83;1.59;0.00;0.00;1.59;99.17;89.21
