Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
14571044833514418559;MA 101;Thompson,Laila Lorolyn;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14891910109151251222;MA 101;Lineberry,Carrie Amanda Mae;52.38;28.57;14.29;0.00;4.76;91.90;82.38
2970343187521376294;MA 101;Whitehead,Ashley Nicole;54.55;36.36;9.09;0.00;0.00;94.09;84.55
3122276453324534464;MA 101;Brady,Renee  ;30.00;30.00;20.00;10.00;10.00;85.30;76.00
16525191374243448;MA 101;Ivy,Samuel Jamal;18.75;37.50;12.50;12.50;18.75;81.69;72.50
11284474598631584103;MA 101;Jones,Austin Henry;60.00;30.00;10.00;0.00;0.00;94.60;85.00
22029717587052465;MA 101;Downey,Michael Walter;31.43;25.71;31.43;2.86;8.57;86.17;76.86
2802430234373889206;MA 101;Jones,Dana;52.54;27.12;10.17;0.00;10.17;90.71;81.19
6165289552874282265;MA 101;Shanmugasundaram,Vijay;52.63;21.05;10.53;5.26;10.53;89.53;80.00
2516254289609471526;MA 103;Mudalgikar,Soham Milind;52.82;33.80;7.04;2.11;4.23;92.42;82.89
14111092558446642892;MA 103;Wang,Yiling;61.02;32.20;3.39;3.39;0.00;94.69;85.08
12257881257465229196;MA 103;Wenzel,Alyssa;40.71;30.09;15.04;11.50;2.65;88.88;79.47
3375624059339364863;MA 103;Kagy,Bryson Graham;52.67;27.48;11.45;3.44;4.96;91.47;81.95
2465757066078980272;MA 103;Stewart,Alexander Paul;53.25;29.22;6.49;6.49;4.55;91.55;82.01
2075092703160543780;MA 103;Zhoroev,Tilekbek;51.85;38.89;3.70;3.70;1.85;93.04;83.52
748190006716630925;MA 103;Paul,Stepan;64.38;21.24;7.19;3.92;3.27;93.60;83.95
14957410289240589390;MA 103;Lada,Thomas J.;39.58;33.33;13.54;7.29;6.25;88.67;79.27
16479090913147820559;MA 103;White,Dave;46.15;23.08;23.08;0.00;7.69;89.46;80.00
5399577922850384763;MA 103;Meike,Everett;54.27;30.34;9.83;2.99;2.56;92.62;83.08
1925638560044310473;MA 103;Geddes,Justen Robert;50.00;32.61;8.70;4.35;4.35;91.46;81.96
6395255654350419221;MA 103;Swain,Erica  ;53.21;35.78;6.42;2.75;1.83;93.11;83.58
351835049191508595;MA 103;Zajaczkowski,Claire Christine;89.89;7.87;0.00;1.12;1.12;98.33;88.43
10363488930163151050;MA 103;North,Evan  ;62.30;21.31;10.66;2.46;3.28;93.31;83.69
13141254280500240956;MA 103;Watkins,Seth Quentin;42.06;32.54;14.29;5.56;5.56;89.42;80.00
5770045104122123701;MA 103;King,Ethan  ;39.13;31.52;17.39;6.52;5.43;88.63;79.24
