Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
7006316120503760786;MAE 200;Horn,Tim;88.89;10.00;1.11;0.00;0.00;98.67;88.78
12712250470463246860;MAE 200;Eischen,Jeffrey W;63.51;31.08;2.70;0.00;2.70;94.91;85.27
15179158665600624581;MAE 201;Zadeh,Mary;31.41;31.41;17.80;9.42;9.95;85.81;76.49
9853796068366787730;MAE 201;Moore,Nancy Jennings;17.10;42.49;24.35;11.92;4.15;84.82;75.65
17004812324368892559;MAE 201;Saveliev,Alexei V.;54.93;28.17;11.27;2.82;2.82;92.51;82.96
6081870222435983908;MAE 201;Liu,Jun  ;23.14;38.43;24.38;8.26;5.79;85.72;76.49
4703207448634629723;MAE 201;Eades,Greg;41.61;32.12;17.52;4.38;4.38;89.64;80.22
13131857349444871483;MAE 201;Kota,Arun Kumar;60.69;32.06;6.49;0.38;0.38;94.84;85.23
14273433064258745335;MAE 201;Ungar,Eugene K;15.38;34.62;34.62;7.69;7.69;83.38;74.23
15603229773533768625;MAE 201;Bigham,Sajjad;39.53;31.40;19.77;5.81;3.49;89.16;79.77
4986322371647511137;MAE 201;O'Connor,Brendan Timothy;27.59;46.90;21.38;1.38;2.76;88.79;79.52
3136426147908848508;MAE 201;Paul Irudayaraj,Moses John Christy Appolo;26.67;45.33;20.00;5.33;2.67;88.07;78.80
5212878019116809278;MAE 201;Suresh Babu,Arun Vishnu;27.70;50.68;20.27;0.68;0.68;89.68;80.41
5006754722981186194;MAE 201;Kleinstreuer,Clement;16.13;42.58;21.94;10.97;8.39;83.87;74.71
9178678470065226741;MAE 201;Gould,Richard David;30.67;44.00;15.33;6.67;3.33;88.51;79.20
13719103997771440896;MAE 201;Kribs,James David;34.01;42.86;22.45;0.00;0.68;90.29;80.95
3167687760339545430;MAE 201;Lyons,Kevin M;56.30;31.09;11.76;0.00;0.84;93.76;84.20
8603118952000309414;MAE 201;Anand,Nadish;32.73;45.45;10.91;5.45;5.45;88.78;79.45
13315759648608679089;MAE 201;Erb,David A;40.54;35.14;16.22;2.70;5.41;89.68;80.27
5185511937904192776;MAE 206;Howard,Anna Kathleen Tyler;19.70;35.47;27.09;10.34;7.39;84.17;74.98
11744684860477467609;MAE 206;Watkins,Greg;13.89;35.19;29.63;13.89;7.41;82.56;73.43
6818726891490866875;MAE 206;Garcia,Nicholas  ;24.55;31.82;29.09;7.27;7.27;85.15;75.91
2234214641913387457;MAE 206;Hassan,Mehedi;41.67;25.00;16.67;8.33;8.33;87.75;78.33
10952094643980596328;MAE 206;Phan,Thanh Chi;63.64;18.18;9.09;9.09;0.00;93.27;83.64
284972050282781729;MAE 206;Zadeh,Mary;46.67;39.05;5.71;2.86;5.71;91.28;81.81
8535970141741502332;MAE 206;Ramsey,David A;27.38;28.57;29.76;4.76;9.52;85.23;75.95
7859178000778135162;MAE 206;McCandless,Brett Austin;17.39;43.48;34.78;0.00;4.35;86.13;76.96
959272662509056080;MAE 206;Dashti,Azadeh;47.83;30.43;13.04;0.00;8.70;90.35;80.87
13601938974170378062;MAE 206;Norouzzadeh,Parniyan;42.86;35.71;21.43;0.00;0.00;91.57;82.14
3235489458615943795;MAE 206;Gore,Matt  ;31.58;42.11;15.79;10.53;0.00;88.79;79.47
12748192959863635747;MAE 206;Kaul,Nayyan  ;31.82;50.00;13.64;4.55;0.00;90.23;80.91
17990949397077596706;MAE 206;Yousefian,Omid  ;32.43;29.73;24.32;13.51;0.00;87.43;78.11
1345167167216583644;MAE 206;Parish PhD,David W.;10.77;23.08;35.38;15.38;15.38;78.95;69.85
16245258788751405344;MAE 206;Bhagwat,Rutvij  ;33.33;53.33;13.33;0.00;0.00;91.33;82.00
8685838961741751526;MAE 206;Upadhayay,Swathi  ;23.08;42.31;26.92;3.85;3.85;86.92;77.69
7067663434468226996;MAE 206;Gemmer,Thomas Rankin;15.00;40.00;35.00;10.00;0.00;85.15;76.00
18291679149752065514;MAE 206;Tom,Josin  ;26.92;23.08;38.46;3.85;7.69;85.04;75.77
16158001952442604238;MAE 206;Tu,Juei Feng;37.70;50.82;9.84;1.64;0.00;91.84;82.46
3423317292315081292;MAE 206;Mailen,Russell William;22.58;54.84;16.13;3.23;3.23;88.26;79.03
14102626287900067874;MAE 206;Rajule,Nilesh Gunwantrao;43.48;39.13;17.39;0.00;0.00;92.04;82.61
6070636644644905184;MAE 206;Erb,David A;39.22;29.41;17.65;7.84;5.88;88.22;78.82
9817725591874924206;MAE 206;Huang,Hsiao-Ying Shadow;39.26;42.22;16.30;1.48;0.74;91.17;81.78
16678880371870695823;MAE 206;Ben Rejeb,Sami  ;6.67;37.78;35.56;15.56;4.44;81.73;72.67
16429150256096144136;MAE 206;Ro,Paul I;27.45;21.57;27.45;17.65;5.88;83.98;74.71
12643461389230079056;MAE 206;Padgett,David Alan;20.45;34.09;27.27;11.36;6.82;84.20;75.00
15869253948171036877;MAE 206;Klang,Eric Carl;10.53;32.63;35.79;10.53;10.53;81.32;72.21
