Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17173884158406600341;MB 101;Presutti,David G;82.93;17.07;0.00;0.00;0.00;98.12;88.29
2865263253245396436;MB 103;Brown,James W;73.33;17.78;6.67;2.22;0.00;95.96;86.22
14784694993298095680;MB 180;Andrus,Jason Michael;80.43;19.57;0.00;0.00;0.00;97.85;88.04
8556591172214488170;MB 200;Lee,Alice Mei;78.95;13.40;4.78;0.48;2.39;96.39;86.60
4761383280203017126;MB 200;Keen,Mark G.;28.00;36.00;22.00;12.00;2.00;86.88;77.60
3157726120260404057;MB 210;Mathews,Stephanie Lambeth;90.00;0.00;10.00;0.00;0.00;97.90;88.00
17183278328997544002;MB 351;Lee,Alice Mei;60.67;33.05;4.60;0.00;1.67;94.71;85.10
14602345003140298437;MB 351;Gazdik Stofer,Michaela Anne;74.51;19.61;3.92;1.96;0.00;96.41;86.67
14084415921381027438;MB 351;Mathews,Stephanie Lambeth;48.21;32.70;12.65;3.82;2.63;91.49;82.00
11692777407068950023;MB 351;Taveirne,Michael E;59.83;28.90;9.25;0.87;1.16;94.14;84.54
9528035742558967166;MB 351;Ohr,Ryan Jay;76.55;17.59;5.17;0.34;0.34;96.73;86.97
5397783586840894795;MB 351;Ramirez,Melissa Virginia;83.63;11.95;1.77;0.88;1.77;97.31;87.48
17204406040267054323;MB 351;Olson,Jonathan W;28.57;47.62;15.87;6.35;1.59;88.81;79.52
14596334281814917531;MB 351;Keen,Mark G.;14.29;41.31;31.27;10.04;3.09;84.51;75.37
11831452128427555898;MB 351;Hyman,Michael;33.20;24.51;20.16;11.46;10.67;85.14;75.81
14693581855647083503;MB 351;Brown,James W;25.53;59.57;14.89;0.00;0.00;90.32;81.06
14705465268859133338;MB 351;Zarilla,Kathy A;29.88;39.00;22.82;6.64;1.66;88.18;78.88
15790903145964068484;MB 351H;Hyman,Michael;50.00;33.33;16.67;0.00;0.00;92.83;83.33
5199209403311245604;MB 352;Lee,Alice Mei;94.37;4.23;1.41;0.00;0.00;99.24;89.30
16008880252983087732;MB 352;Taveirne,Michael E;81.67;18.33;0.00;0.00;0.00;97.98;88.17
11397916596862665429;MB 352;Ohr,Ryan Jay;76.12;11.94;2.99;4.48;4.48;94.84;85.07
15813301977706111434;MB 352;Olson,Jonathan W;72.22;11.11;16.67;0.00;0.00;95.28;85.56
17652659034829651243;MB 352;Jayaraman,Priya Anuradha;55.07;39.13;5.80;0.00;0.00;94.48;84.93
17846018876337527187;MB 352;Stevenson,Lindsey Caitlin;66.67;27.78;5.56;0.00;0.00;95.78;86.11
7621152781509785418;MB 352;Alayli,Farah Ahmed;40.91;54.55;4.55;0.00;0.00;93.05;83.64
14576047801454550067;MB 352;Pherwani,Prerna Nandlal;63.77;34.78;1.45;0.00;0.00;95.87;86.23
17943927753747328232;MB 352;Gardner,Susan Pandy;78.87;21.13;0.00;0.00;0.00;97.68;87.89
17213559639440720009;MB 352;Nag,Mukta  ;58.46;36.92;4.62;0.00;0.00;94.97;85.38
9856706623665627911;MB 352;Qiu,Cuiwei  ;67.69;27.69;4.62;0.00;0.00;95.98;86.31
15133623195332915419;MB 352;Devlin,Amy Ann;22.06;60.29;14.71;2.94;0.00;89.37;80.15
17658137479974637266;MB 352;Sivakumar,Aishwarya  ;65.71;27.14;7.14;0.00;0.00;95.51;85.86
14856800455845384379;MB 352;Ortiz,Alexander Charles;67.39;30.43;2.17;0.00;0.00;96.20;86.52
13831355947501195193;MB 352;Bradshaw PhD,Justin Michael;44.12;51.47;2.94;1.47;0.00;93.26;83.82
7100769091049494819;MB 352;Stone,Jennifer Lynn;90.14;9.86;0.00;0.00;0.00;98.92;89.01
5220595078477497570;MB 352;Amato,Heather Lee;54.41;30.88;13.24;0.00;1.47;93.22;83.68
2842550734547908086;MB 352;Jaqua,Stephen Alexander;97.01;2.99;0.00;0.00;0.00;99.67;89.70
12095666646629815588;MB 352;Bozdag,Ahmet;57.45;31.91;6.38;4.26;0.00;93.83;84.26
5414297649442963877;MB 352;Brown,Audrey Thompson;95.52;2.99;0.00;0.00;1.49;99.06;89.10
821774548395784845;MB 352;Oyegunwa,Akinbolade Olukorede;56.10;39.02;2.44;0.00;2.44;94.20;84.63
16237313678531806268;MB 352;Ananthakrishnan,Sudha;59.42;30.43;8.70;1.45;0.00;94.38;84.78
10145855489830444338;MB 352;Velayudham Muralidharan,Naveen Kumar;53.19;40.43;6.38;0.00;0.00;94.21;84.68
9142929420454833452;MB 352;Dutta,Vikrant;60.61;37.88;1.52;0.00;0.00;95.52;85.91
13031021467022357500;MB 352;Kottegoda,W. G. Samanthi Subashi;88.41;11.59;0.00;0.00;0.00;98.72;88.84
17591291483688509302;MB 352;Makwana,Satya Tejendra;50.00;45.45;4.55;0.00;0.00;94.05;84.55
13191037823369554858;MB 352;Keen,Mark G.;73.81;23.81;0.00;2.38;0.00;96.64;86.90
1514352778312147360;MB 352;Schneeweis,Thomas John;54.93;36.62;7.04;0.00;1.41;93.92;84.37
15431368215614418881;MB 352;Mixon,Gabriel Thomas;58.57;32.86;8.57;0.00;0.00;94.59;85.00
7873943993411144100;MB 352;So,Mark Jason Santos;70.21;19.15;10.64;0.00;0.00;95.66;85.96
15983544545478984141;MB 352;Rogers,Anna T;50.72;40.58;8.70;0.00;0.00;93.71;84.20
4268841947084004757;MB 352;Dancy,Jonathan Clinton;67.39;28.26;4.35;0.00;0.00;95.98;86.30
16315387694185760995;MB 352;Watson,Samuel Taylor;53.33;33.33;13.33;0.00;0.00;93.53;84.00
12382026976828698271;MB 352;Killens,Rushyannah Rychelle;62.50;35.42;2.08;0.00;0.00;95.67;86.04
8337383292818322669;MB 352;Troxell,Stephen B.;90.91;9.09;0.00;0.00;0.00;99.00;89.09
17633042725786976550;MB 352;Theriot,Casey Michelle;68.18;27.27;4.55;0.00;0.00;96.05;86.36
6189901254661001686;MB 352;Crook,Kristen Rae;81.43;14.29;2.86;0.00;1.43;97.24;87.43
9103928871561942378;MB 352;Pollara,Justin Joseph;78.26;21.74;0.00;0.00;0.00;97.61;87.83
14230626860341499429;MB 352;Luginbuhl,Sarah Christen;79.17;14.58;6.25;0.00;0.00;97.08;87.29
1827105591787054215;MB 352;Bryant,Anna Minnis;70.21;25.53;0.00;4.26;0.00;95.87;86.17
1489271655158452621;MB 352;Haney,Weaver Ballou;75.00;22.73;0.00;0.00;2.27;96.57;86.82
15322004456596807213;MB 352H;Keen,Mark G.;66.67;33.33;0.00;0.00;0.00;96.33;86.67
16605068068434775612;MB 354;Lee,Alice Mei;83.33;11.90;4.76;0.00;0.00;97.69;87.86
12892654106272500755;MB 354;Taveirne,Michael E;80.56;8.33;0.00;0.00;11.11;94.53;84.72
926147900259539701;MB 354;Keen,Mark G.;77.27;13.64;9.09;0.00;0.00;96.59;86.82
6606881843746014947;MB 360;Taveirne,Michael E;100.00;0.00;0.00;0.00;0.00;100.00;90.00
14084211501504649501;MB 360;Mathews,Stephanie Lambeth;70.00;30.00;0.00;0.00;0.00;96.70;87.00
1215299440494255168;MB 360;Lee,Alice Mei;77.78;16.67;5.56;0.00;0.00;97.00;87.22
6884113137750164932;MB 405;Johnston,Lynette Marie;60.00;40.00;0.00;0.00;0.00;95.60;86.00
15086716066079413433;MB 405;Arritt III,Fletcher M;9.09;50.00;36.36;0.00;4.55;85.00;75.91
12233092006221752758;MB 405;Kathariou,Sophia;60.00;20.00;20.00;0.00;0.00;93.60;84.00
13157952444271653470;MB 405;Jaykus,Lee-Ann;10.00;40.00;50.00;0.00;0.00;85.10;76.00
12937654341091284150;MB 411;Gazdik Stofer,Michaela Anne;90.41;6.39;1.83;0.00;1.37;98.35;88.45
1658043403628993344;MB 411;Ramirez,Melissa Virginia;88.60;6.99;1.84;0.00;2.57;97.79;87.90
10741409815843966832;MB 411;Ohr,Ryan Jay;44.44;27.78;20.83;5.56;1.39;90.28;80.83
18222328463897143194;MB 411;Morrison,Clayton Russell;36.11;50.00;11.11;2.78;0.00;91.31;81.94
10466828066061490374;MB 411;Taveirne,Michael E;44.44;41.67;9.72;4.17;0.00;92.08;82.64
16376723107316810078;MB 411;Petty,Tim;23.66;48.85;23.66;3.82;0.00;88.47;79.24
9535710883621523958;MB 412;Gazdik Stofer,Michaela Anne;92.86;5.36;1.79;0.00;0.00;99.04;89.11
11004980523877981464;MB 412;Olson,Jonathan W;82.76;10.34;0.00;0.00;6.90;96.03;86.21
11835953025976049760;MB 412;Ramirez,Melissa Virginia;90.48;4.76;0.00;0.00;4.76;97.52;87.62
13788115045021397105;MB 412;Morrison,Clayton Russell;95.00;2.50;2.50;0.00;0.00;99.20;89.25
