Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1662826915084930712;MBA 500;Porter,Bev;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4152235002926122919;MBA 500;Shamblin,Leigh;94.68;5.32;0.00;0.00;0.00;99.41;89.47
3376218373677195493;MBA 500;Bostic,Pam;87.50;10.58;1.92;0.00;0.00;98.43;88.56
18217947308426751925;MBA 500;Dowdy,Belinda Rose;97.56;0.00;0.00;0.00;2.44;99.00;89.02
467521735880515561;MBA 500;Taylor,Linda L.;91.24;6.57;2.19;0.00;0.00;98.82;88.91
17175906845907993116;MBA 501;Schmidt,Andrew Philip;78.89;20.10;1.01;0.00;0.00;97.58;87.79
12893329520751732864;MBA 501;McKittrick,Chris;90.00;8.00;0.00;0.00;2.00;98.30;88.40
15420357642087411212;MBA 501;Taylor,Eileen Z;77.83;17.83;3.91;0.00;0.43;97.04;87.26
5398611102961747724;MBA 501;Chen,Yuang Sung Al;76.04;19.79;1.04;2.08;1.04;96.53;86.77
7472889626526562345;MBA 501;Dow,Tom;78.45;18.97;2.59;0.00;0.00;97.37;87.59
7132365410999126998;MBA 501;Peterson,Greg;67.50;28.75;3.75;0.00;0.00;96.05;86.38
10741766852727513546;MBA 501;Showalter,D. Scott;59.73;31.54;8.72;0.00;0.00;94.70;85.10
2464341825471354523;MBA 501;Stewart,Jeff Allan;31.34;41.79;17.91;8.96;0.00;88.87;79.55
8334993532313404227;MBA 501;Lindsey,Bradley Paul;53.55;37.42;8.39;0.65;0.00;93.92;84.39
5407657037177574935;MBA 502;Chen,Yuang Sung Al;86.26;9.92;3.05;0.00;0.76;97.95;88.09
12566135133961952972;MBA 502;McKittrick,Chris;80.95;15.87;3.17;0.00;0.00;97.59;87.78
6960550611014376578;MBA 502;Dow,Tom;75.00;19.70;2.27;1.52;1.52;96.27;86.52
12299720183834907674;MBA 502;Taylor,Eileen Z;81.82;18.18;0.00;0.00;0.00;98.00;88.18
