Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
5542264422249408409;MEA 100;Congreve,Curtis;61.62;32.39;3.17;1.76;1.06;94.79;85.18
8000741216221056231;MEA 100;Falk,Lisa;67.28;17.28;10.49;2.47;2.47;94.12;84.44
13683149978630624785;MEA 100;Atkins,Rachel Marie;42.93;42.93;11.41;1.63;1.09;91.93;82.50
5722777973675601553;MEA 100;Chesnutt,Julian Matthews;51.16;33.72;13.95;0.00;1.16;92.88;83.37
14782363928333884453;MEA 100;Maudlin,Lindsay Catherine;54.55;37.37;4.04;2.02;2.02;93.59;84.04
3241364690419092461;MEA 100;DeMaster,David John;36.43;43.41;17.05;1.16;1.94;90.49;81.12
17096575315553851780;MEA 100;Michaelis,Allison Claire;62.35;23.53;7.06;1.18;5.88;93.15;83.53
3827976938888249885;MEA 100;McNeal,Karen Sue;36.41;41.30;12.50;7.07;2.72;89.53;80.16
17522098679030063613;MEA 100;Robinson,Walter A;10.00;44.00;30.00;4.00;12.00;82.70;73.60
9822382331792597748;MEA 100;Thomas,Carrie;29.47;51.58;17.89;0.00;1.05;90.14;80.84
9750941624070295398;MEA 100;Gates,Terry Allen;29.82;57.31;9.94;1.17;1.75;90.53;81.23
9223239260571247566;MEA 101;Sabatini,Stephanie Marie;35.24;40.97;19.82;2.64;1.32;89.97;80.62
6768251442578941787;MEA 101;Wegmann,Karl William;42.93;32.20;20.94;3.40;0.52;90.79;81.36
393835278997691454;MEA 101;Jones,Jason Patrick;42.44;38.05;17.07;1.46;0.98;91.38;81.95
425518736360752664;MEA 101;Congreve,Curtis;43.93;38.03;13.77;1.97;2.30;91.37;81.93
4235153534821836779;MEA 101;McConnell,David A;41.13;35.46;17.73;4.26;1.42;90.48;81.06
15257945328442703841;MEA 101;Czajka,Doug;29.81;40.38;22.76;4.88;2.17;88.38;79.08
5750082763567657892;MEA 101;Hyland,Ethan Gordon;11.86;42.37;28.81;13.56;3.39;83.69;74.58
15216091578990977127;MEA 101;Chesnutt,Julian Matthews;64.10;25.64;8.97;0.00;1.28;94.77;85.13
12828741949383694352;MEA 101;Atkins,Rachel Marie;32.43;52.70;8.11;0.00;6.76;89.73;80.41
13735961496829410855;MEA 101;Falk,Lisa;35.29;47.06;11.76;5.88;0.00;90.53;81.18
7022097857017696179;MEA 101;Chapman,LeeAnna;36.36;44.32;14.20;3.41;1.70;90.39;81.02
11153096536622082164;MEA 101;Pelch,Michael Anthony;26.20;42.78;22.46;5.88;2.67;87.66;78.40
10255467542997667213;MEA 101;Smith,Stephen Gerald;46.91;39.51;9.88;3.70;0.00;92.43;82.96
2317002254219910342;MEA 101;Fountain,John Crothers;24.27;37.54;25.89;7.12;5.18;86.10;76.86
18276701050624968140;MEA 101;Ryker,Katherine Dameron Almquist;26.60;42.42;19.53;6.73;4.71;87.21;77.95
7917593335901220410;MEA 101;Lukes,Laura Ann;31.87;42.86;15.38;2.20;7.69;88.22;78.90
6339011465427486939;MEA 101;Gates,Terry Allen;22.87;50.39;19.77;4.26;2.71;87.87;78.64
11828159896503932130;MEA 101;Kimberley,Michael M.;43.12;48.62;5.50;0.46;2.29;92.41;82.98
3970674203276531383;MEA 101;King,Robbie;40.19;36.45;21.50;0.93;0.93;90.80;81.40
12496380840171495818;MEA 101;Bohnenstiehl,DelWayne R;17.57;43.24;27.03;9.46;2.70;85.53;76.35
7788742349863865965;MEA 101;Fodor,Ronald V.;32.14;53.57;14.29;0.00;0.00;91.11;81.79
11108256372702174451;MEA 110;Sabatini,Stephanie Marie;56.90;31.03;6.90;3.45;1.72;93.36;83.79
16829011425194896098;MEA 110;McConnell,David A;40.48;30.95;23.81;2.38;2.38;89.88;80.48
17877387041395497202;MEA 110;Moore,Adam;27.78;44.44;27.78;0.00;0.00;89.28;80.00
11275709121315237400;MEA 110;Joyner,Catelyn  ;29.63;48.15;22.22;0.00;0.00;90.04;80.74
16474474693955739663;MEA 110;Clay,Kevin Rex;10.00;60.00;30.00;0.00;0.00;87.10;78.00
6089756006581222373;MEA 110;Jones,Jason Patrick;10.53;52.63;21.05;10.53;5.26;84.37;75.26
369404551938837129;MEA 110;Nickels,Lisa;73.68;26.32;0.00;0.00;0.00;97.11;87.37
13345442737271937375;MEA 110;Bayasgalan,Gantulga  ;90.00;10.00;0.00;0.00;0.00;98.90;89.00
7007018389745259105;MEA 110;Smith,Stephen Gerald;22.22;66.67;11.11;0.00;0.00;90.33;81.11
4829442028675814904;MEA 110;Cadena,Edwin;93.48;6.52;0.00;0.00;0.00;99.28;89.35
17681060989279297661;MEA 110;Lyons,Nathan Jay;54.35;36.96;6.52;0.00;2.17;93.67;84.13
553085765514063468;MEA 110;Dzikiewicz,Katherine Marie;18.00;60.00;20.00;0.00;2.00;88.38;79.20
699019092391320388;MEA 110;Nance,Dillon Mitchell;43.10;39.66;13.79;3.45;0.00;91.67;82.24
18082563573561589483;MEA 110;Burnette,Matthew  ;33.33;51.85;14.81;0.00;0.00;91.19;81.85
15336845791254656487;MEA 110;Wells,Earl Lassen;33.33;33.33;13.33;13.33;6.67;86.67;77.33
3021562455200453164;MEA 110;Rudder,James Donald;28.89;48.89;17.78;0.00;4.44;89.07;79.78
14777526362541814849;MEA 110;Moyer,Alison Elizabeth;37.25;43.14;13.73;5.88;0.00;90.55;81.18
9884040224905223824;MEA 110;Russ,Emily Rebecca;28.85;51.92;13.46;3.85;1.92;89.48;80.19
17318129305613685852;MEA 110;Becker,Scott Karl;36.54;44.23;13.46;3.85;1.92;90.33;80.96
5368369779128144686;MEA 110;Terblanche,Alet Anne;25.58;65.12;4.65;4.65;0.00;90.42;81.16
8229844473440074703;MEA 110;Voli,Mark Thomas;23.81;42.86;28.57;4.76;0.00;87.81;78.57
4734114245280028562;MEA 110;Johnson,Kelly Gilliam;62.16;24.32;13.51;0.00;0.00;94.49;84.86
7682303958868919053;MEA 110;Mikesh,Miranda  ;3.03;60.61;27.27;6.06;3.03;84.48;75.45
9947260520285474988;MEA 110;Shinpaugh,Joshua Erik;37.21;41.86;20.93;0.00;0.00;91.00;81.63
13558016739888150143;MEA 110;Weaver,Katherine Jo;14.29;69.39;14.29;0.00;2.04;88.53;79.39
17478151114204846820;MEA 110;Gurley,Walt;28.95;57.89;7.89;2.63;2.63;90.08;80.79
16656571855011502203;MEA 110;Cook,Kimberly Elicia;76.92;19.23;1.92;1.92;0.00;96.88;87.12
17511575884376513125;MEA 110;Warren,Kyle Wilson;27.78;57.41;12.96;0.00;1.85;90.20;80.93
8830644029990232058;MEA 110;Michaels,John;68.57;31.43;0.00;0.00;0.00;96.54;86.86
3721805133922960080;MEA 110;Gallen,Sean F.;34.48;46.55;13.79;1.72;3.45;90.03;80.69
8956417722182947195;MEA 110;Garner,William;15.79;68.42;15.79;0.00;0.00;89.16;80.00
13052985642228327562;MEA 110;Lewis,Robert Quay;69.64;28.57;1.79;0.00;0.00;96.48;86.79
10522172195198734160;MEA 110;Bunch Jr,Wendell Holmes;58.97;38.46;2.56;0.00;0.00;95.23;85.64
10656258391312040288;MEA 110;Gurley,Laura Nagy;24.14;56.90;17.24;1.72;0.00;89.59;80.34
17717053134031194391;MEA 110;O'Connor,Jeremiah Wycoff;62.50;33.93;3.57;0.00;0.00;95.52;85.89
17659030404467010958;MEA 110;Rumble,Megan Elizabeth;19.23;61.54;17.31;1.92;0.00;89.00;79.81
9400773478657203893;MEA 110;Hughes,Kenneth Stephen;14.81;70.37;12.96;0.00;1.85;88.78;79.63
10320787447280909570;MEA 110;Whitley,Jonathan Wade;67.44;27.91;4.65;0.00;0.00;95.95;86.28
19887969404933949;MEA 110;Scheip,Corey Michael;26.47;44.12;23.53;2.94;2.94;88.09;78.82
9220222972818216818;MEA 110;Zanon,Carlo;35.42;45.83;14.58;2.08;2.08;90.40;81.04
1747564628846618848;MEA 110;Ross,Kristen Grace;61.70;38.30;0.00;0.00;0.00;95.79;86.17
6933626691585413309;MEA 110;Johnston,Julie Anna Minnette;54.00;38.00;4.00;2.00;2.00;93.54;84.00
498727662129946126;MEA 110;Bowman,Jeffrey David;40.00;54.55;1.82;3.64;0.00;92.49;83.09
16487909657414726799;MEA 110;Riddle,Evan;81.13;16.98;1.89;0.00;0.00;97.74;87.92
11400752595579613693;MEA 110;Maas,John Robert;90.38;7.69;0.00;1.92;0.00;98.56;88.65
15909272125739984590;MEA 110;Ryker,Katherine Dameron Almquist;46.15;38.46;11.54;0.00;3.85;91.77;82.31
8606480087818111712;MEA 110;Munoz,Michael;85.96;10.53;1.75;0.00;1.75;97.75;87.89
6231908172062627698;MEA 110;Lyda,Andrew William;69.23;25.00;3.85;1.92;0.00;95.85;86.15
3989281238762775453;MEA 110;Boles,Zachary Michael;60.61;39.39;0.00;0.00;0.00;95.67;86.06
13086494719554563114;MEA 110;Cumberbatch,Keron;77.14;22.86;0.00;0.00;0.00;97.49;87.71
738307503540736547;MEA 110;Hunt,Michael Cody;23.08;58.97;15.38;2.56;0.00;89.49;80.26
4303702802663659207;MEA 110;Kurek,Jillian Marie;40.38;55.77;1.92;1.92;0.00;92.87;83.46
1790028625626624897;MEA 110;Dubrock,Alexandra Maria;41.18;41.18;5.88;5.88;5.88;90.00;80.59
11421769221147760950;MEA 110;Null,Kimberly A.;52.78;38.89;5.56;2.78;0.00;93.69;84.17
9744003788624718590;MEA 110;Green,Jeremy;75.00;25.00;0.00;0.00;0.00;97.25;87.50
13418743296137175657;MEA 110;Dombroski,Brian Anthony;80.00;15.56;4.44;0.00;0.00;97.36;87.56
11122828812877687330;MEA 110;Cleland,Timothy;30.00;53.33;13.33;3.33;0.00;90.30;81.00
3826184483920965358;MEA 110;Cessna,Jennifer Lynn;88.24;11.76;0.00;0.00;0.00;98.71;88.82
4388518717082834573;MEA 110;Kallander,Emily Gail;77.78;16.67;5.56;0.00;0.00;97.00;87.22
15179400022558790436;MEA 110;Childress,Laurel B;80.00;11.43;8.57;0.00;0.00;96.94;87.14
12348366099029950932;MEA 110;Brulet,Benjamin R;83.87;16.13;0.00;0.00;0.00;98.23;88.39
8852085682257763018;MEA 110;Viar,Brett Gilliam;31.25;53.13;6.25;6.25;3.13;89.63;80.31
8540166860821189840;MEA 110;Singer,Kaitlin Iris;61.76;38.24;0.00;0.00;0.00;95.79;86.18
11634277316436255103;MEA 120;Schweitzer,Mary Higby;10.91;48.18;28.64;10.45;1.82;84.70;75.59
