Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
8815581656058089373;MES 200;Fortney,William;96.30;1.85;1.85;0.00;0.00;99.41;89.44
8703951538837267310;MES 201;Fortney,William;75.56;13.33;6.67;2.22;2.22;95.53;85.78
10034738805073523372;MES 201;Nejad,Ali;26.67;51.11;13.33;8.89;0.00;88.82;79.56
2006078308391562096;MES 300;Fortney,William;64.00;34.00;2.00;0.00;0.00;95.84;86.20
2286178669617162456;MES 301;Fortney,William;89.29;10.71;0.00;0.00;0.00;98.82;88.93
6160080776321987697;MES 301;Nejad,Ali;45.95;37.84;16.22;0.00;0.00;92.43;82.97
742653868825921256;MES 302;Fortney,William;73.53;23.53;0.00;0.00;2.94;96.21;86.47
2023697822011013615;MES 302;Nejad,Ali;85.00;12.50;2.50;0.00;0.00;98.10;88.25
16377047224151536682;MES 400;Fortney,William;95.83;4.17;0.00;0.00;0.00;99.54;89.58
17397371142286535881;MES 400;Nejad,Ali;63.89;22.22;5.56;8.33;0.00;93.81;84.17
13078798655988923334;MES 401;Fortney,William;75.61;24.39;0.00;0.00;0.00;97.32;87.56
9407257464512879447;MES 403;Fortney,William;67.57;29.73;0.00;2.70;0.00;95.89;86.22
