Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4854083622648577695;MIE 201;Woodhull-Smith,Jenn;23.41;53.40;18.28;2.79;2.12;88.55;79.32
13007494570036544009;MIE 201;Shamblin,Leigh;38.89;46.87;12.25;1.42;0.57;91.60;82.21
4656806948615479785;MIE 201;Svec,Vaclav;46.15;46.15;7.69;0.00;0.00;93.31;83.85
11980423698002183040;MIE 201;Makanui,Missy;26.33;51.60;17.08;2.14;2.85;88.91;79.64
14770594181287316068;MIE 201;Michaelis,Tim L;72.18;20.66;6.06;0.83;0.28;96.09;86.36
4605464227795914663;MIE 201;Brown,Deborah M;26.63;52.37;17.46;1.48;2.07;89.27;80.00
8193733638998167769;MIE 201;Gloss,Alexander Edwin;53.54;39.37;6.30;0.79;0.00;94.10;84.57
629850301147668911;MIE 201;Ward,M.K. Kathrine;83.62;13.51;2.01;0.29;0.57;97.77;87.93
1674349901323342624;MIE 201;Podurgal,Richard Anthony;47.11;44.35;6.34;1.38;0.83;93.02;83.55
8212684464397770153;MIE 201;McNary I,Lisa Deane;35.48;48.39;16.13;0.00;0.00;91.29;81.94
9606775826407939293;MIE 201;Padilla,Arthur;39.13;52.17;4.35;4.35;0.00;92.00;82.61
11539842234008500488;MIE 201;Washington,David;19.69;57.14;17.37;3.86;1.93;88.08;78.88
8190619918677329651;MIE 209;Pollack,Jeffrey M;73.47;15.31;10.20;0.00;1.02;95.76;86.02
10557123555140704704;MIE 300;Brown,Lauren H.;89.25;10.75;0.00;0.00;0.00;98.82;88.92
3744853304674554754;MIE 305;Kuzenski,John C;17.39;29.64;31.82;15.81;5.34;82.97;73.79
5974058580970089119;MIE 305;Gilliam,Charles P;30.68;30.68;28.41;3.41;6.82;86.81;77.50
7066788060978729898;MIE 305;Bulich,Heidi;11.14;45.88;27.17;11.80;4.01;83.94;74.83
6811610627738348483;MIE 305;Baumer,David L.;30.19;53.77;12.26;2.83;0.94;90.25;80.94
15372549602129077743;MIE 305;Schanz,Stephen J;27.36;57.55;15.09;0.00;0.00;90.50;81.23
8722423720747530450;MIE 305;Lewis,Jeffrey P;11.54;45.77;36.54;4.62;1.54;85.23;76.12
4122511597608266307;MIE 306;Thomas,Jessica Yinka;64.86;29.39;5.41;0.34;0.00;95.53;85.88
13121390476152746250;MIE 306;Young,Greg;44.96;44.96;8.53;1.55;0.00;92.78;83.33
5073266016013373166;MIE 306;Brown,Deborah M;93.55;6.45;0.00;0.00;0.00;99.29;89.35
18073915103267791196;MIE 309;Pollack,Jeffrey M;64.80;26.40;6.40;0.00;2.40;94.77;85.12
916017422930952871;MIE 310;Woodhull-Smith,Jenn;45.05;45.56;8.53;0.51;0.34;92.90;83.45
7528145619978008484;MIE 310;Tracy,Liz;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8535507392689973574;MIE 310;Pollack,Jeffrey M;66.29;30.71;2.43;0.19;0.37;95.90;86.24
10044963618979419768;MIE 310;Cheatham,Demetris;87.36;9.48;2.28;0.38;0.51;98.15;88.28
17351072198207620514;MIE 310;Bhawe,Nachiket Meghashyam;59.68;39.92;0.00;0.00;0.40;95.44;85.85
1307295650874687539;MIE 310;Michaelis,Tim L;73.83;25.34;0.83;0.00;0.00;97.04;87.30
3212419756983893392;MIE 310;Keller,Cari;74.35;18.83;3.57;1.62;1.62;96.01;86.27
1702699199981577686;MIE 310;Sheats,Lewis;77.78;20.00;2.22;0.00;0.00;97.33;87.56
8856016892610196713;MIE 310;Kouri,Richard Ellis;64.86;35.14;0.00;0.00;0.00;96.14;86.49
12856886075600431175;MIE 310;Townsend,David M;38.67;50.67;6.67;1.33;2.67;91.52;82.13
17596491222840270742;MIE 310;Elam,Amanda Brickman;70.24;26.19;3.57;0.00;0.00;96.37;86.67
12227349216668229660;MIE 310;Capps,Jennifer;77.27;4.55;9.09;4.55;4.55;94.32;84.55
8353620398165870753;MIE 311;Capps,Jennifer;78.26;17.39;0.00;0.00;4.35;96.30;86.52
13549544996346028720;MIE 330;Mulvey,Paul W;26.39;59.03;12.96;1.16;0.46;90.24;80.97
10760076188593721816;MIE 330;Siderits,Ian Obus;65.52;27.62;5.24;1.01;0.60;95.30;85.65
13865665198875629208;MIE 330;Ritter,Beth Maiorano;43.53;41.96;11.83;2.01;0.67;92.00;82.57
15588379238858848508;MIE 330;Podurgal,Richard Anthony;80.28;18.31;1.41;0.00;0.00;97.69;87.89
12279684163917692773;MIE 330;Hobbs II,Gene;57.87;31.89;6.69;1.18;2.36;93.75;84.17
430055788690320291;MIE 330;Kucmierz,John;72.86;23.07;2.71;0.54;0.81;96.39;86.66
15611944936266688005;MIE 330;Zagenczyk,Tom;55.91;32.68;8.27;1.57;1.57;93.54;83.98
6696310718343276213;MIE 330;McChesney,Jenna  ;71.27;23.27;4.36;0.73;0.36;96.15;86.44
8994871515498887508;MIE 330;Flynn,Patrick J;87.50;12.50;0.00;0.00;0.00;98.63;88.75
9535378714775242548;MIE 330;Davis,K. Shannon;61.11;26.39;11.11;1.39;0.00;94.33;84.72
1785451776289488518;MIE 330;McNary I,Lisa Deane;23.30;34.29;25.93;12.97;3.52;85.32;76.09
14446039266645122474;MIE 330;Washington,David;41.93;49.16;8.19;0.24;0.48;92.60;83.18
4816589566625046487;MIE 330;Herrera,Jorge M;24.07;51.85;22.22;0.00;1.85;88.87;79.63
6166585945088520039;MIE 330;Brown,Deborah M;39.09;50.00;10.00;0.00;0.91;92.03;82.64
13578593848731318469;MIE 330;Davidson Jr,Harvey Clinton;66.67;30.67;1.33;0.00;1.33;95.80;86.13
12857239795227293956;MIE 330;Murphy,Deena Michelle;64.71;35.29;0.00;0.00;0.00;96.12;86.47
7071641135029204508;MIE 335;Mayer,Roger C;32.73;49.09;16.36;0.00;1.82;90.42;81.09
12445062805877948516;MIE 335;Mulvey,Paul W;48.00;36.00;16.00;0.00;0.00;92.68;83.20
15222882276714167982;MIE 335;Brown,Deborah M;65.52;24.14;9.20;1.15;0.00;95.06;85.40
16824773070992337690;MIE 410;Huie,Haley Elizabeth;93.06;4.17;2.78;0.00;0.00;98.96;89.03
10742784864104185637;MIE 410;Powell,Erin;42.86;42.86;11.76;0.84;1.68;91.87;82.44
12975395540336877096;MIE 410;Littel,Chris John;91.07;8.93;0.00;0.00;0.00;99.02;89.11
2115075648303372510;MIE 410;Markham,Stephen K;82.76;16.38;0.86;0.00;0.00;98.02;88.19
7037516297840930612;MIE 410;Sheats,Lewis;75.95;12.66;8.86;0.00;2.53;95.71;85.95
9174401243617407193;MIE 410;Bhawe,Nachiket Meghashyam;60.71;39.29;0.00;0.00;0.00;95.68;86.07
590300241071653967;MIE 410;Pollack,Jeffrey M;80.33;19.67;0.00;0.00;0.00;97.84;88.03
2507156491612496576;MIE 410;Kouri,Richard Ellis;60.00;38.18;1.82;0.00;0.00;95.42;85.82
12275219788101348585;MIE 410;Townsend,David M;34.09;43.18;20.45;2.27;0.00;90.25;80.91
10717314353238451051;MIE 411;Sheats,Lewis;76.27;23.73;0.00;0.00;0.00;97.39;87.63
12964246946948276870;MIE 412;Littel,Chris John;64.29;35.71;0.00;0.00;0.00;96.07;86.43
13347298370193893603;MIE 412;Sheats,Lewis;78.05;17.07;4.88;0.00;0.00;97.10;87.32
3950389358086550549;MIE 412;Michaelis,Tim L;72.73;12.12;6.06;3.03;6.06;93.97;84.24
