Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6250998632921281839;MIS 598;Sills,Erin O'Donnell;53.85;23.08;23.08;0.00;0.00;92.62;83.08
6533990451397196009;MIS 598;Hobbs,Heidi H;62.86;37.14;0.00;0.00;0.00;95.91;86.29
558452464946197382;MIS 598;McNary I,Lisa Deane;83.33;16.67;0.00;0.00;0.00;98.17;88.33
173952271278113604;MIS 598;Nance,Mark T;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12998027955203042175;MIS 598G;Deardorff,Darla Kay;52.63;36.84;5.26;5.26;0.00;93.21;83.68
9092200603412853278;MIS 601;Reardon,Robert John;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5684739191794992641;MIS 601;Hobbs,Heidi H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5226811728535062405;MIS 601;Nance,Mark T;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3613468377048972958;MIS 601;Kochtcheeva,Lada Vyacheslavovna;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15319287000250200354;MIS 601;Griffin,Clifford E;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18411703416882371195;MIS 601;Crane-Seeber,Jesse P;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8810878770086971963;MIS 630;Hobbs,Heidi H;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13544564049607738859;MIS 651;Appling,Tracy Ann;0.00;0.00;0.00;0.00;0.00;0.00;0.00
