Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
17179468683277893039;MLS 501;Garval,Michael D;70.97;29.03;0.00;0.00;0.00;96.81;87.10
16514091416322838586;MLS 501;Rieder,David M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
686136871513859034;MLS 501;Patterson,Robert P.;100.00;0.00;0.00;0.00;0.00;100.00;90.00
2818136249742284757;MLS 501;Dubljevic PhD,Veljko;27.27;63.64;9.09;0.00;0.00;91.09;81.82
17460409154361918774;MLS 501;Kramer,Jonathan Charles;82.93;17.07;0.00;0.00;0.00;98.12;88.29
6754844984925973535;MLS 501;Garrigan,Shelley E.;84.85;15.15;0.00;0.00;0.00;98.33;88.48
16441604770123635573;MLS 501;Murray,Seth;68.75;15.63;12.50;3.13;0.00;94.69;85.00
4207456253155130607;MLS 501;Mainland,Catherine;83.33;16.67;0.00;0.00;0.00;98.17;88.33
15037493429866668113;MLS 501;Isaacson,Nathaniel Kenneth;100.00;0.00;0.00;0.00;0.00;100.00;90.00
5811596262002428699;MLS 501;Mari,Jorge;81.25;15.63;3.13;0.00;0.00;97.63;87.81
8648765322632422348;MLS 501;Harwood,Karey Alison;73.91;26.09;0.00;0.00;0.00;97.13;87.39
12717796869931396465;MLS 501;Kochersberger,Robert C.;76.92;15.38;0.00;0.00;7.69;95.15;85.38
12519390449814738247;MLS 501;May,Leila S;64.71;23.53;5.88;0.00;5.88;93.76;84.12
6673147854425730092;MLS 501;McLaughlin,Levi;70.00;30.00;0.00;0.00;0.00;96.70;87.00
4049753551469203115;MLS 501;Vilches,Elvira Lopez;76.47;23.53;0.00;0.00;0.00;97.41;87.65
12774948533880253286;MLS 501;Arnold,Alison E.;63.64;36.36;0.00;0.00;0.00;96.00;86.36
7046443800980621545;MLS 501;Gustke,Nancy L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4489613016786874831;MLS 501;Fitzpatrick,Scott Michael;50.00;50.00;0.00;0.00;0.00;94.50;85.00
1288378622399096883;MLS 501;Martin-Hondros,Emily Caroline;83.33;16.67;0.00;0.00;0.00;98.17;88.33
4482102426648070593;MLS 501;Reid,Jeffrey Clinton;76.47;23.53;0.00;0.00;0.00;97.41;87.65
15227783934299568211;MLS 501;Kessler,Sanford H.;36.36;54.55;9.09;0.00;0.00;92.09;82.73
2543041135907780394;MLS 501;Harrison,Antony Howard;0.00;0.00;0.00;0.00;0.00;0.00;0.00
13610488677702059844;MLS 501A;Gustke,Nancy L;100.00;0.00;0.00;0.00;0.00;100.00;90.00
18316783438169920301;MLS 501B;Kramer,Jonathan Charles;77.78;22.22;0.00;0.00;0.00;97.56;87.78
3129643877083362209;MLS 501C;Earnshaw,Keith R;100.00;0.00;0.00;0.00;0.00;100.00;90.00
