Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
3798075670799955522;MS 101;Elias,Destonny;84.78;6.52;4.35;0.00;4.35;96.59;86.74
7444393042849044987;MS 101;Pendleton,Eric;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7575139150454345409;MS 101;Mcalexander,Michael A;94.44;0.00;5.56;0.00;0.00;98.83;88.89
7212496021419162997;MS 101;Tersillo,Tanya;88.89;0.00;0.00;0.00;11.11;95.44;85.56
9930070882452708030;MS 101;Jones,Arthur;90.00;0.00;10.00;0.00;0.00;97.90;88.00
16864969794335585573;MS 101;Fogarty,Daniel;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9408491526230070862;MS 101;Cato,Cedric;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3020662936926223307;MS 101;Salazar,Gerardo;100.00;0.00;0.00;0.00;0.00;100.00;90.00
12392366859728144014;MS 101;McDevitt,Michael Stephen;89.66;10.34;0.00;0.00;0.00;98.86;88.97
10981075093964241402;MS 101;Quarles,Tommy;96.55;3.45;0.00;0.00;0.00;99.62;89.66
15512039311251240683;MS 101;Shands,Kirk Kojac;85.71;14.29;0.00;0.00;0.00;98.43;88.57
10997421499169740817;MS 101;Cofiori,Joseph A;80.43;10.87;2.17;6.52;0.00;96.33;86.52
3582578552946229069;MS 101;Sisneros,Justin Wyatt;64.52;12.90;16.13;3.23;3.23;92.87;83.23
15120529024029491270;MS 101;Mahoney,Neely Marie;71.43;4.76;9.52;0.00;14.29;91.62;81.90
11641905865171055306;MS 102;Fairbanks,Garrett Robert;88.00;8.00;0.00;0.00;4.00;97.48;87.60
13127750301246650558;MS 102;Tersillo,Tanya;95.24;4.76;0.00;0.00;0.00;99.48;89.52
11280309374693610102;MS 102;Jones,Arthur;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11223182841706356072;MS 102;Fletcher,Matthew  ;100.00;0.00;0.00;0.00;0.00;100.00;90.00
4552231187667681852;MS 102;Cato,Cedric;100.00;0.00;0.00;0.00;0.00;100.00;90.00
3123699907768984365;MS 102;Salazar,Gerardo;94.12;5.88;0.00;0.00;0.00;99.35;89.41
3157357716063820864;MS 102;McDevitt,Michael Stephen;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6836849507911832302;MS 102;Quarles,Tommy;89.47;10.53;0.00;0.00;0.00;98.84;88.95
2055811672597013310;MS 102;Shands,Kirk Kojac;96.55;3.45;0.00;0.00;0.00;99.62;89.66
6189638497017529516;MS 102;Sisneros,Justin Wyatt;67.44;16.28;6.98;2.33;6.98;93.16;83.49
936324777178292999;MS 102;Cofiori,Joseph A;85.00;10.00;5.00;0.00;0.00;97.85;88.00
17238645963596268287;MS 102;Pearson,Leland George;79.31;17.24;3.45;0.00;0.00;97.38;87.59
8528468886452985143;MS 201;Fairbanks,Garrett Robert;81.82;18.18;0.00;0.00;0.00;98.00;88.18
13176075313323857626;MS 201;Jackson,Alexander;80.00;13.33;6.67;0.00;0.00;97.13;87.33
18295423634205279969;MS 201;Elias,Destonny;88.89;11.11;0.00;0.00;0.00;98.78;88.89
17161592355597979182;MS 201;Mcalexander,Michael A;83.72;13.95;2.33;0.00;0.00;97.98;88.14
7888789684117461101;MS 201;Tersillo,Tanya;72.73;18.18;0.00;0.00;9.09;94.27;84.55
15676925714485621726;MS 201;De Leon,Roger Antonio;94.59;2.70;2.70;0.00;0.00;99.14;89.19
11781433920568341882;MS 201;McDevitt,Michael Stephen;83.33;6.67;10.00;0.00;0.00;97.17;87.33
