Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
1337315479742982050;MSE 200;Thorne,Sharon Kiesel;41.94;34.41;16.49;3.23;3.94;90.14;80.72
15891122129462142683;MSE 200;Kautz,Elizabeth Jane;39.73;33.48;21.88;3.57;1.34;90.07;80.67
6883434131177870393;MSE 200;Kasichainula,Jagannadham;67.50;17.50;10.00;2.50;2.50;94.18;84.50
12413183265636850490;MSE 200;Reynolds,Lewis;21.45;50.14;21.73;4.18;2.51;87.60;78.38
11348074336436032488;MSE 200;Amassian,Aram;44.06;40.56;10.49;3.50;1.40;91.68;82.24
2087156894011884959;MSE 200;Liu,Yin;50.74;34.56;11.76;1.47;1.47;92.67;83.16
8153384982245030556;MSE 200;Gwalani,Bharat  ;19.44;39.81;28.70;9.26;2.78;85.58;76.39
11487865696338745462;MSE 200;Rizvi,Mehedi Hasan  ;54.35;33.15;7.61;1.09;3.80;92.86;83.32
8226115359780928622;MSE 200;Pillai,Shelby;41.89;35.09;13.96;4.53;4.53;89.95;80.53
14829687587814598331;MSE 200;Gupta,Rajeev K;53.03;37.12;6.82;1.52;1.52;93.39;83.86
6900226427810548926;MSE 200;Singh,Abhishek;88.37;11.63;0.00;0.00;0.00;98.72;88.84
4833859869486750597;MSE 200;Cao,Linyou;32.31;45.64;13.85;6.67;1.54;89.37;80.05
17658720920387376941;MSE 200;LeBeau,James Michael;24.48;36.36;25.17;9.79;4.20;85.96;76.71
1234363382133334331;MSE 200;Cass,Cheryl Parzel;24.44;33.33;22.22;17.78;2.22;85.24;76.00
12353614993015694153;MSE 200;Hunte,Frank L.;17.37;35.79;32.11;9.47;5.26;84.23;75.05
4520365586055031099;MSE 200;Ivanisevic,Albena;27.96;64.52;5.38;0.00;2.15;90.89;81.61
13151785394133820209;MSE 200;Patala,Srikanth;37.70;38.80;14.21;4.37;4.92;89.38;80.00
11734504964621024601;MSE 200;Rigsbee,James M;31.43;44.29;14.29;7.14;2.86;88.74;79.43
1349708219307494391;MSE 200;Luo,Mark Tzy-Jiun;16.34;49.01;27.23;5.94;1.49;86.44;77.28
17065148313999575181;MSE 200;Brenner,Donald W;18.89;43.33;36.67;0.00;1.11;87.08;77.89
10352386762587149736;MSE 200;Tracy,Joseph B.;20.99;30.86;37.04;6.17;4.94;84.89;75.68
7110069285263210775;MSE 200;Zhu,Yuntian T;27.94;48.53;20.10;2.94;0.49;89.33;80.05
4783375767960843264;MSE 200;Scattergood,Ronald O;22.22;46.91;25.93;1.23;3.70;87.49;78.27
15688385319868303897;MSE 200;ELMASRY,NADIA A;42.73;43.64;12.73;0.91;0.00;92.25;82.82
4758701441577669602;MSE 201;Unocic,Kinga Angelika;48.84;38.37;11.63;0.00;1.16;92.86;83.37
2030471618078440155;MSE 201;Thorne,Sharon Kiesel;29.90;37.11;22.16;8.25;2.58;87.65;78.35
1298223956698240804;MSE 201;Gulyuk,Alexey;27.59;37.93;20.69;10.34;3.45;86.86;77.59
18293606034604761695;MSE 201;Amassian,Aram;39.55;38.81;11.19;8.21;2.24;89.92;80.52
13077046434257243971;MSE 201;Seifrid,Martin;44.19;32.56;17.44;4.65;1.16;90.84;81.40
5925570542097731511;MSE 201;LaBean,Thomas H;45.50;32.23;16.11;4.74;1.42;91.02;81.56
1663107791680246924;MSE 201;Ahadi,Kaveh;31.43;46.43;17.14;2.14;2.86;89.46;80.14
11836712987024294057;MSE 201;Augustyn,Veronica;42.86;42.18;9.52;1.36;4.08;91.27;81.84
9877447719421807587;MSE 201;Newell II,Ryan;24.49;36.73;24.49;6.12;8.16;85.57;76.33
16355051921013511895;MSE 201;Irving,Douglas Lee;38.32;32.34;18.56;5.39;5.39;88.66;79.28
11444733959246622811;MSE 201;Balik,Maury;10.00;25.00;35.00;20.00;10.00;79.60;70.50
8532250581824455271;MSE 201;Singh,Abhishek;82.00;12.00;2.00;2.00;2.00;96.82;87.00
14957278910952320749;MSE 201;Reynolds,Lewis;35.48;48.39;12.90;3.23;0.00;90.97;81.61
4893905675554657243;MSE 201;Hunte,Frank L.;27.72;42.57;19.80;2.97;6.93;87.40;78.12
14887596881028567822;MSE 201;Miller,Tori Mayne;39.24;41.77;11.39;6.33;1.27;90.53;81.14
5624272842093788069;MSE 201;Cass,Cheryl Parzel;12.07;46.55;29.31;10.34;1.72;84.81;75.69
4148812495036958766;MSE 201;Patala,Srikanth;39.64;41.44;9.91;2.70;6.31;89.94;80.54
6139574470948860087;MSE 201;Yingling,Yaroslava G;39.38;36.25;13.13;8.13;3.13;89.46;80.06
14689624393099774371;MSE 201;ELMASRY,NADIA A;74.07;24.07;1.85;0.00;0.00;96.96;87.22
5062592515652616718;MSE 201;Fahmy,Yusef;21.21;31.82;27.27;12.12;7.58;83.91;74.70
12260120717419380099;MSE 201;Melechko,Anatoli V;52.87;24.14;13.79;5.75;3.45;91.25;81.72
12715893842550251110;MSE 203;LaBean,Thomas H;44.12;35.29;17.65;0.00;2.94;91.21;81.76
7597431062274518802;MSE 255;Gulyuk,Alexey;46.94;46.94;2.04;4.08;0.00;93.14;83.67
3494469698911631540;MSE 255;Reynolds,Lewis;23.36;41.12;25.23;3.74;6.54;86.34;77.10
12823719260489093307;MSE 260;Collazo,Ramon R;22.81;45.61;25.44;5.26;0.88;87.65;78.42
16956862466418465460;MSE 260;Brenner,Donald W;40.34;42.02;10.92;4.20;2.52;90.75;81.34
8307741982486713485;MSE 270;Brenner,Donald W;87.85;12.15;0.00;0.00;0.00;98.66;88.79
8542769185801214533;MSE 270;Cass,Cheryl Parzel;49.45;41.76;5.49;1.10;2.20;93.01;83.52
6130904869469576063;MSE 270;Dickey,Elizabeth Carol;90.28;5.56;4.17;0.00;0.00;98.51;88.61
11229560952966788109;MSE 270;Rozgonyi,George A.;73.08;26.92;0.00;0.00;0.00;97.04;87.31
11327491353831566350;MSE 300;Amassian,Aram;45.59;38.97;11.03;0.74;3.68;91.66;82.21
1830723419902568887;MSE 300;Cao,Linyou;31.25;50.00;12.50;2.08;4.17;89.52;80.21
4889576790712882672;MSE 300;Ivanisevic,Albena;100.00;0.00;0.00;0.00;0.00;100.00;90.00
8785151886516003564;MSE 300;Brenner,Donald W;48.33;44.44;7.22;0.00;0.00;93.59;84.11
