Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
4287423443312581645;MUS 100B;Garcia,Paul David;96.36;3.64;0.00;0.00;0.00;99.60;89.64
12949508703229431603;MUS 100D;Foy,Randolph M;100.00;0.00;0.00;0.00;0.00;100.00;90.00
9333641670934848038;MUS 100F;Garcia,Paul David;90.97;7.10;0.65;1.29;0.00;98.68;88.77
17592781292667290484;MUS 100G;Parker,Wes;100.00;0.00;0.00;0.00;0.00;100.00;90.00
7945221873148205413;MUS 100J;Sprague PhD,John L;88.24;11.76;0.00;0.00;0.00;98.71;88.82
3505770665668325505;MUS 100K;Parker,Wes;100.00;0.00;0.00;0.00;0.00;100.00;90.00
6581823652473332645;MUS 101;Lynch,Marilyn S;90.00;10.00;0.00;0.00;0.00;98.90;89.00
13105869896447996667;MUS 101H;Lynch,Marilyn S;100.00;0.00;0.00;0.00;0.00;100.00;90.00
11207810738391332083;MUS 102;Lynch,Marilyn S;80.00;10.00;10.00;0.00;0.00;96.80;87.00
6163038917226305624;MUS 102H;Lynch,Marilyn S;83.33;16.67;0.00;0.00;0.00;98.17;88.33
1780545814666526796;MUS 103;Koch,Tom;53.23;29.03;8.06;1.61;8.06;91.31;81.77
6453302533988584214;MUS 103;Boone III,Will;71.11;22.22;6.67;0.00;0.00;96.16;86.44
986207567135200028;MUS 103;Whitfield,Mark;51.06;27.66;17.02;0.00;4.26;91.64;82.13
6342146986442235091;MUS 103;Askim,Peter Andrew;59.09;22.73;18.18;0.00;0.00;93.68;84.09
1110331871444338868;MUS 103;Scearce,J Mark;44.44;33.33;22.22;0.00;0.00;91.67;82.22
17263389893956926145;MUS 103;Reali,Christopher Michael;62.07;34.48;0.00;0.00;3.45;94.79;85.17
16302270442257826698;MUS 103;Leary,Paul Steven;76.47;17.65;5.88;0.00;0.00;96.82;87.06
11693891369562190894;MUS 104;Larkin,Anatoly Ivanovich;46.15;33.33;12.82;5.13;2.56;91.00;81.54
9655824890600265990;MUS 104;Koch,Tom;36.11;16.67;33.33;8.33;5.56;86.31;76.94
15672188877161230703;MUS 104;Whitfield,Mark;46.15;38.46;7.69;7.69;0.00;91.77;82.31
3765303054418407754;MUS 104;Fuller,John A;45.00;27.50;15.00;7.50;5.00;89.45;80.00
