Unique Hash;Course Name;Instructor Name;A Average;B Average;C Average;D Average;F Average;Class Average Max;Class Average Min
6828485044518448072;NE 201;Eapen,Jacob;89.47;8.27;0.00;0.00;2.26;98.17;88.27
13096235912379647905;NE 201;Hou,Jason;10.53;60.53;18.42;3.95;6.58;85.55;76.45
264014660949193944;NE 201;Anderson,David Russell;46.34;35.37;9.76;6.10;2.44;91.17;81.71
15710004737984604444;NE 201;Hankins,Orlando Ellwood;42.59;27.78;18.52;7.41;3.70;89.24;79.81
6416518032603487697;NE 201;Gilligan,John G;32.67;39.60;17.82;4.95;4.95;88.34;79.01
6511114275631422563;NE 201;Anistratov,Dmitriy Y;70.09;23.08;3.42;0.85;2.56;95.43;85.73
1638420384158247417;NE 202;Hawari,Ayman I;14.75;45.08;22.13;7.38;10.66;83.74;74.59
15577996553634182751;NE 235;Fleming,Colby;0.00;0.00;0.00;0.00;0.00;0.00;0.00
8460493764530943296;NE 235;Lassell,Scott;0.00;0.00;0.00;0.00;0.00;0.00;0.00
14280480074066232376;NE 290;Hayes,Robert Bruce;50.00;33.33;8.33;8.33;0.00;92.00;82.50
15015356721001351225;NE 301;Palmtag,Scott;34.94;36.14;24.10;2.41;2.41;89.23;79.88
10309021358583392504;NE 301;Abdel Khalik,Hany Samy;31.30;40.00;22.61;2.61;3.48;88.62;79.30
11297178479842851001;NE 400;Diaconeasa,Mihai A;39.71;32.35;20.59;5.88;1.47;89.69;80.29
1463787129387030195;NE 400;Bolotnov,Igor A;15.49;53.52;19.72;5.63;5.63;85.92;76.76
1185652757218462900;NE 400;Doster,J. Michael;9.00;34.00;31.00;15.00;11.00;80.59;71.50
14167605536951107109;NE 401;Anistratov,Dmitriy Y;10.26;29.49;35.90;21.79;2.56;81.41;72.31
11324853972490479219;NE 402;Bolotnov,Igor A;34.72;40.28;13.89;9.72;1.39;89.07;79.72
15117265561061906960;NE 402;Hou,Jason;18.18;50.00;18.18;13.64;0.00;86.45;77.27
12097145131818104202;NE 402;Doster,J. Michael;10.48;34.29;38.10;8.57;8.57;82.06;72.95
2502601110548774369;NE 403;Hou,Jason;61.22;27.55;5.10;2.04;4.08;93.59;83.98
11283931307936827424;NE 404;Azmy,Yousry Y;16.13;51.61;19.35;9.68;3.23;85.94;76.77
10657414293055283398;NE 404;Wicks,Gerald D;61.64;31.51;5.48;1.37;0.00;94.96;85.34
373839248066117936;NE 404;Yim,Man-Sung;39.53;46.51;6.98;6.98;0.00;91.26;81.86
17186192940903009012;NE 405;Wu,Xu;40.85;43.66;12.68;1.41;1.41;91.52;82.11
